measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,1158.0140000000001,7233.0,126279.0
2003-02-01,1110.239,6934.0,121069.0
2003-03-01,1121.806,7007.0,122330.0
2003-04-01,1025.555,6405.0,111834.0
2003-05-01,1043.875,6520.0,113832.0
2003-06-01,1090.7720000000002,6813.0,118946.0
2003-07-01,1262.846,7887.0,137710.0
2003-08-01,1351.334,8440.0,147360.0
2003-09-01,1152.35,7197.0,125661.0
2003-10-01,1122.391,7010.0,122394.0
2003-11-01,1128.566,7049.0,123067.0
2003-12-01,1231.2530000000002,7690.0,134265.0
2004-01-01,3846.753,17205.53,368080.73
2004-02-01,1870.4820000000002,8366.18,178979.13
2004-03-01,1869.874,8363.46,178920.93
2004-04-01,2130.486,9529.11,203857.88
2004-05-01,1159.622,5186.69,110959.72
2004-06-01,1053.476,4711.92,100802.96
2004-07-01,771.5930000000001,3451.14,73830.74
2004-08-01,1020.8040000000001,4565.79,97676.71
2004-09-01,1062.762,4753.46,101691.5
2004-10-01,384.038,1717.7,36747.13
2004-11-01,615.823,2754.42,58925.72
2004-12-01,942.905,4217.37,90222.84
2005-01-01,825.5070000000001,3692.28,107478.03
2005-02-01,731.8330000000001,3273.3,95282.07
2005-03-01,873.315,3906.11,113702.44
2005-04-01,895.3620000000001,4004.72,116572.9
2005-05-01,726.3530000000001,3248.79,94568.52
2005-06-01,1235.741,5527.14,160888.99
2005-07-01,1592.4260000000002,7122.51,207328.11
2005-08-01,1702.5410000000002,7615.02,221664.77
2005-09-01,1126.247,5037.41,146633.28
2005-10-01,778.8580000000001,3483.63,101404.55
2005-11-01,699.113,3126.95,91022.02
2005-12-01,755.346,3378.47,98343.34
2006-01-01,244.977,1095.72,92497.31
2006-02-01,244.263,1092.53,92227.7
2006-03-01,266.478,1191.88,100615.44
2006-04-01,224.045,1002.09,84593.83
2006-05-01,217.339,972.1,82061.89
2006-06-01,278.019,1243.5,104972.98
2006-07-01,416.35,1862.23,157203.65
2006-08-01,391.983,1753.24,148003.01
2006-09-01,278.033,1243.57,104978.55
2006-10-01,310.076,1386.89,117076.92
2006-11-01,266.707,1192.91,100701.8
2006-12-01,260.61,1165.64,98399.94
2007-01-01,67.797,294.0,108474.0
2007-02-01,101.44800000000001,440.0,162314.0
2007-03-01,76.438,332.0,122299.0
2007-04-01,61.356,266.0,98168.0
2007-05-01,52.179,226.0,83485.0
2007-06-01,72.849,316.0,116556.0
2007-07-01,81.12700000000001,352.0,129800.0
2007-08-01,117.546,510.0,188071.0
2007-09-01,45.411,197.0,72656.0
2007-10-01,66.51700000000001,289.0,106426.0
2007-11-01,43.036,187.0,68857.0
2007-12-01,58.295,253.0,93270.0
2008-01-01,53.948,234.0,151531.0
2008-02-01,59.632000000000005,259.0,167494.0
2008-03-01,56.728,246.0,159339.0
2008-04-01,27.374000000000002,119.0,76887.0
2008-05-01,17.763,77.0,49894.0
2008-06-01,30.717000000000002,133.0,86279.0
2008-07-01,59.493,258.0,167104.0
2008-08-01,51.225,222.0,143882.0
2008-09-01,31.116000000000003,135.0,87401.0
2008-10-01,53.898,234.0,151391.0
2008-11-01,21.264,92.0,59727.0
2008-12-01,34.842,151.0,97864.0
2009-01-01,46.964000000000006,204.0,152636.0
2009-02-01,35.667,155.0,115920.0
2009-03-01,34.611000000000004,150.0,112487.0
2009-04-01,42.54,185.0,138254.0
2009-05-01,22.05,96.0,71663.0
2009-06-01,38.309000000000005,166.0,124504.0
2009-07-01,20.14,87.0,65456.0
2009-08-01,42.851,186.0,139265.0
2009-09-01,37.469,163.0,121775.0
2009-10-01,28.188000000000002,122.0,91610.0
2009-11-01,27.467000000000002,119.0,89268.0
2009-12-01,36.744,159.0,119417.0
2010-01-01,188.627,818.0,117848.0
2010-02-01,161.442,700.0,100862.0
2010-03-01,114.37700000000001,496.0,71458.0
2010-04-01,57.819,251.0,36123.0
2010-05-01,97.64,424.0,61001.0
2010-06-01,150.82500000000002,654.0,94229.0
2010-07-01,268.798,1166.0,167933.0
2010-08-01,268.177,1164.0,167545.0
2010-09-01,78.775,342.0,49215.0
2010-10-01,62.232000000000006,270.0,38880.0
2010-11-01,50.553000000000004,219.0,31583.0
2010-12-01,72.735,316.0,45441.0
2011-01-01,380.241,1650.0,65252.0
2011-02-01,389.069,1688.0,66766.0
2011-03-01,552.236,2396.0,94767.0
2011-04-01,352.13,1528.0,60428.0
2011-05-01,582.725,2528.0,99999.0
2011-06-01,464.576,2016.0,79724.0
2011-07-01,1053.462,4571.0,180780.0
2011-08-01,741.414,3217.0,127231.0
2011-09-01,205.342,891.0,35238.0
2011-10-01,461.744,2003.0,79238.0
2011-11-01,521.62,2263.0,89513.0
2011-12-01,621.441,2696.0,106643.0
2012-01-01,693.954,3011.0,73384.0
2012-02-01,938.544,4072.0,99249.0
2012-03-01,749.937,3254.0,79304.0
2012-04-01,788.297,3420.0,83361.0
2012-05-01,1140.782,4949.0,120635.0
2012-06-01,1164.692,5053.0,123164.0
2012-07-01,1653.767,7175.0,174883.0
2012-08-01,936.733,4064.0,99058.0
2012-09-01,486.408,2110.0,51437.0
2012-10-01,280.782,1218.0,29692.0
2012-11-01,584.839,2537.0,61846.0
2012-12-01,564.265,2448.0,59670.0
2013-01-01,1101.855,4780.0,99494.0
2013-02-01,944.858,4099.0,85319.0
2013-03-01,1196.961,5193.0,108083.0
2013-04-01,1090.008,4729.0,98426.0
2013-05-01,686.302,2978.0,61972.0
2013-06-01,954.634,4142.0,86202.0
2013-07-01,1432.339,6214.0,129338.0
2013-08-01,1465.305,6357.0,132314.0
2013-09-01,939.285,4075.0,84816.0
2013-10-01,959.187,4161.0,86613.0
2013-11-01,837.899,3635.0,75661.0
2013-12-01,803.367,3485.0,72543.0
2014-01-01,1061.57,4606.0,93779.0
2014-02-01,844.604,3664.0,74612.0
2014-03-01,737.432,3199.0,65144.0
2014-04-01,843.614,3660.0,74524.0
2014-05-01,1270.743,5513.0,112257.0
2014-06-01,976.512,4237.0,86265.0
2014-07-01,966.748,4194.0,85402.0
2014-08-01,1303.489,5655.0,115150.0
2014-09-01,912.303,3958.0,80592.0
2014-10-01,1577.833,6846.0,139385.0
2014-11-01,1187.95,5154.0,104943.0
2014-12-01,1087.202,4717.0,96043.0
2015-01-01,1046.569,4541.0,86050.0
2015-02-01,1172.046,5085.0,96366.0
2015-03-01,1189.682,5162.0,97816.0
2015-04-01,889.784,3860.0,73158.0
2015-05-01,957.602,4155.0,78734.0
2015-06-01,1059.281,4596.0,87095.0
2015-07-01,1405.678,6099.0,115575.0
2015-08-01,1090.994,4733.0,89702.0
2015-09-01,1125.505,4883.0,92540.0
2015-10-01,994.863,4316.0,81798.0
2015-11-01,995.388,4319.0,81841.0
2015-12-01,1314.608,5704.0,108088.0
2016-01-01,1050.014,11942.0,99496.0
2016-02-01,1088.231,12377.0,103115.0
2016-03-01,1411.029,16048.0,133702.0
2016-04-01,967.456,11003.0,91671.0
2016-05-01,954.761,10859.0,90468.0
2016-06-01,1177.132,13388.0,111539.0
2016-07-01,1326.817,15090.0,125723.0
2016-08-01,1407.994,16014.0,133414.0
2016-09-01,786.241,8942.0,74500.0
2016-10-01,501.756,5707.0,47544.0
2016-11-01,664.451,7557.0,62960.0
2016-12-01,653.118,7428.0,61886.0
2017-01-01,870.656,9902.0,88693.0
2017-02-01,813.52,9252.0,82873.0
2017-03-01,1165.031,13250.0,118681.0
2017-04-01,534.278,6077.0,54427.0
2017-05-01,510.16,5802.0,51970.0
2017-06-01,960.585,10925.0,97855.0
2017-07-01,1317.341,14983.0,134197.0
2017-08-01,1150.027,13080.0,117153.0
2017-09-01,948.204,10784.0,96593.0
2017-10-01,935.16,10636.0,95264.0
2017-11-01,960.714,10927.0,97868.0
2017-12-01,1030.324,11718.0,104959.0
2018-01-01,1154.708,13133.0,92721.0
2018-02-01,1234.575,14041.0,99134.0
2018-03-01,1269.514,14439.0,101939.0
2018-04-01,620.895,7062.0,49856.0
