measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,1666.0,17061.51,17061.51
2003-02-01,1083.0,11091.0,11091.0
2003-03-01,1769.0,18116.33,18116.33
2003-04-01,2568.0,26298.89,26298.89
2003-05-01,2766.0,28326.61,28326.61
2003-06-01,2193.0,22458.51,22458.51
2003-07-01,1536.0,15730.18,15730.18
2003-08-01,1236.0,12657.88,12657.88
2003-09-01,1046.0,10712.09,10712.09
2003-10-01,300.0,3072.3,3072.3
2003-11-01,1703.0,17440.42,17440.42
2003-12-01,2752.0,28183.23,28183.23
2004-01-01,203.21900000000002,2036.66,2036.66
2004-02-01,182.429,1828.3,1828.3
2004-03-01,212.274,2127.41,2127.41
2004-04-01,188.02800000000002,1884.42,1884.42
2004-05-01,194.86200000000002,1952.91,1952.91
2004-06-01,195.912,1963.43,1963.43
2004-07-01,201.252,2016.95,2016.95
2004-08-01,200.994,2014.36,2014.36
2004-09-01,190.854,1912.74,1912.74
2004-10-01,188.02100000000002,1884.35,1884.35
2004-11-01,206.95,2074.05,2074.05
2004-12-01,222.204,2226.93,2226.93
2005-01-01,2265.542,22653.15,22653.15
2005-02-01,1841.028,18408.44,18408.44
2005-03-01,2011.5110000000002,20113.1,20113.1
2005-04-01,2521.64,25213.87,25213.87
2005-05-01,1868.3220000000001,18681.35,18681.35
2005-06-01,1673.9070000000002,16737.4,16737.4
2005-07-01,1421.2430000000002,14211.01,14211.01
2005-08-01,1120.631,11205.19,11205.19
2005-09-01,968.043,9679.46,9679.46
2005-10-01,1969.0240000000001,19688.27,19688.27
2005-11-01,2162.257,21620.41,21620.41
2005-12-01,2286.8520000000003,22866.23,22866.23
2006-01-01,1582.05,15692.0,15692.0
2006-02-01,1426.5420000000001,14150.0,14150.0
2006-03-01,1256.804,12466.0,12466.0
2006-04-01,1367.989,13569.0,13569.0
2006-05-01,1617.419,16043.0,16043.0
2006-06-01,1589.219,15763.0,15763.0
2006-07-01,1666.5140000000001,16530.0,16530.0
2006-08-01,1654.471,16411.0,16411.0
2006-09-01,1073.9470000000001,10652.0,10652.0
2006-10-01,946.7610000000001,9391.0,9391.0
2006-11-01,1108.97,11000.0,11000.0
2006-12-01,1174.315,11648.0,11648.0
2007-01-01,2324.54,22976.0,22976.0
2007-02-01,1843.285,18219.0,18219.0
2007-03-01,2200.589,21751.0,21751.0
2007-04-01,1924.314,19020.0,19020.0
2007-05-01,2052.6420000000003,20288.0,20288.0
2007-06-01,1770.705,17502.0,17502.0
2007-07-01,1698.28,16786.0,16786.0
2007-08-01,1705.362,16856.0,16856.0
2007-09-01,1602.702,15841.0,15841.0
2007-10-01,1650.1380000000001,16310.0,16310.0
2007-11-01,1824.766,18036.0,18036.0
2007-12-01,1917.258,18950.0,18950.0
2008-01-01,2540.523,25034.0,25034.0
2008-02-01,2123.581,20926.0,20926.0
2008-03-01,2752.728,27125.0,27125.0
2008-04-01,2501.946,24654.0,24654.0
2008-05-01,2617.1730000000002,25790.0,25790.0
2008-06-01,2407.379,23722.0,23722.0
2008-07-01,2548.674,25115.0,25115.0
2008-08-01,2433.195,23977.0,23977.0
2008-09-01,2201.632,21695.0,21695.0
2008-10-01,2253.239,22203.0,22203.0
2008-11-01,2554.965,25177.0,25177.0
2008-12-01,2666.965,26280.0,26280.0
2009-01-01,2565.911,25043.0,25043.0
2009-02-01,2357.12,23005.0,23005.0
2009-03-01,2880.667,28115.0,28115.0
2009-04-01,2638.5660000000003,25752.0,25752.0
2009-05-01,2776.338,27097.0,27097.0
2009-06-01,2544.009,24830.0,24830.0
2009-07-01,2668.703,26047.0,26047.0
2009-08-01,2605.056,25425.0,25425.0
2009-09-01,2357.905,23013.0,23013.0
2009-10-01,2446.483,23878.0,23878.0
2009-11-01,2644.935,25815.0,25815.0
2009-12-01,2796.3070000000002,27292.0,27292.0
2010-01-01,2137.561,20854.0,20854.0
2010-02-01,1919.5430000000001,18727.0,18727.0
2010-03-01,2254.0,21990.0,21990.0
2010-04-01,1988.605,19401.0,19401.0
2010-05-01,2005.616,19567.0,19567.0
2010-06-01,2000.112,19513.0,19513.0
2010-07-01,2090.962,20399.0,20399.0
2010-08-01,2009.02,19600.0,19600.0
2010-09-01,1886.548,18405.0,18405.0
2010-10-01,1949.625,19021.0,19021.0
2010-11-01,2149.55,20971.0,20971.0
2010-12-01,2295.858,22398.0,22398.0
2011-01-01,2083.846,20247.0,20247.0
2011-02-01,1806.53,17552.0,17552.0
2011-03-01,2402.497,23343.0,23343.0
2011-04-01,2177.311,21155.0,21155.0
2011-05-01,2543.987,24717.0,24717.0
2011-06-01,2527.033,24553.0,24553.0
2011-07-01,2438.923,23697.0,23697.0
2011-08-01,2335.669,22693.0,22693.0
2011-09-01,2209.694,21469.0,21469.0
2011-10-01,2344.872,22783.0,22783.0
2011-11-01,2540.829,24687.0,24687.0
2011-12-01,2744.809,26669.0,26669.0
2012-01-01,2276.657,21665.0,21665.0
2012-02-01,2197.888,20915.0,20915.0
2012-03-01,2347.257,22336.0,22336.0
2012-04-01,1954.268,18597.0,18597.0
2012-05-01,1914.568,18219.0,18219.0
2012-06-01,1745.424,16609.0,16609.0
2012-07-01,1680.861,15995.0,15995.0
2012-08-01,1625.126,15465.0,15465.0
2012-09-01,1526.199,14523.0,14523.0
2012-10-01,1525.181,14514.0,14514.0
2012-11-01,1826.67,17383.0,17383.0
2012-12-01,1843.901,17547.0,17547.0
2013-01-01,802.513,7657.0,7657.0
2013-02-01,685.765,6543.0,6543.0
2013-03-01,791.212,7549.0,7549.0
2013-04-01,698.609,6665.0,6665.0
2013-05-01,719.769,6867.0,6867.0
2013-06-01,700.252,6681.0,6681.0
2013-07-01,805.481,7685.0,7685.0
2013-08-01,765.392,7303.0,7303.0
2013-09-01,703.539,6712.0,6712.0
2013-10-01,756.294,7216.0,7216.0
2013-11-01,850.491,8115.0,8115.0
2013-12-01,839.683,8011.0,8011.0
2014-01-01,1926.924,18325.0,18325.0
2014-02-01,1836.212,17462.0,17462.0
2014-03-01,2039.587,19396.0,19396.0
2014-04-01,1987.888,18905.0,18905.0
2014-05-01,2182.525,20756.0,20756.0
2014-06-01,2086.256,19840.0,19840.0
2014-07-01,2159.829,20540.0,20540.0
2014-08-01,2128.804,20245.0,20245.0
2014-09-01,1980.99,18839.0,18839.0
2014-10-01,2065.416,19642.0,19642.0
2014-11-01,2160.164,20543.0,20543.0
2014-12-01,2205.405,20973.0,20973.0
2015-01-01,1747.334,16283.0,16283.0
2015-02-01,1512.66,14096.0,14096.0
2015-03-01,1733.672,16156.0,16156.0
2015-04-01,1670.318,15566.0,15566.0
2015-05-01,1753.083,16337.0,16337.0
2015-06-01,1763.284,16432.0,16432.0
2015-07-01,2064.011,19235.0,19235.0
2015-08-01,2022.255,18845.0,18845.0
2015-09-01,1871.056,17436.0,17436.0
2015-10-01,1832.573,17078.0,17078.0
2015-11-01,1918.505,17879.0,17879.0
2015-12-01,1949.249,18165.0,18165.0
2016-01-01,1736.513,16031.0,16031.0
2016-02-01,1627.687,15027.0,15027.0
2016-03-01,1743.526,16096.0,16096.0
2016-04-01,1764.829,16293.0,16293.0
2016-05-01,1775.629,16393.0,16393.0
2016-06-01,1699.424,15689.0,15689.0
2016-07-01,1691.203,15613.0,15613.0
2016-08-01,1658.657,15313.0,15313.0
2016-09-01,1514.122,13978.0,13978.0
2016-10-01,1560.648,14408.0,14408.0
2016-11-01,1691.825,15619.0,15619.0
2016-12-01,1710.937,15795.0,15795.0
2017-01-01,1393.148,12835.0,12835.0
2017-02-01,1302.298,11998.0,11998.0
2017-03-01,1482.898,13662.0,13662.0
2017-04-01,1385.373,12763.0,12763.0
2017-05-01,1470.125,13544.0,13544.0
2017-06-01,1478.586,13622.0,13622.0
2017-07-01,1533.522,14128.0,14128.0
2017-08-01,1498.655,13807.0,13807.0
2017-09-01,1370.747,12629.0,12629.0
2017-10-01,1367.478,12599.0,12599.0
2017-11-01,1514.635,13954.0,13954.0
2017-12-01,1531.535,14110.0,14110.0
2018-01-01,1046.081,9524.0,9524.0
2018-02-01,1037.082,9442.0,9442.0
2018-03-01,1238.033,11271.0,11271.0
2018-04-01,1133.915,10323.0,10323.0
2018-05-01,1196.26,10891.0,10891.0
2018-06-01,1146.088,10434.0,10434.0
2018-07-01,1169.25,10645.0,10645.0
2018-08-01,1141.827,10395.0,10395.0
2018-09-01,1059.87,9649.0,9649.0
2018-10-01,1098.962,10005.0,10005.0
