measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other - Other - Other - Generation,Other - Other - Other - Quantity Consumed For Electricity,Other - Other - Other - Total Fuel Consumed
2013-01-01,,,,,,,1803.072,16429.0,16429.0,,,,,,
2013-02-01,,,,,,,4891.966,44573.0,44573.0,,,,,,
2013-03-01,,,,,,,4685.073,42689.0,42689.0,,,,,,
2013-04-01,,,,,,,13414.399,122227.0,122227.0,,,,,,
2013-05-01,,,,,,,18202.524,165854.0,165854.0,,,,,,
2013-06-01,,,,,,,13874.859,126422.0,126422.0,,,,,,
2013-07-01,,,,,,,27438.08,250005.0,250005.0,,,,,,
2013-08-01,,,,,,,9616.079,87618.0,87618.0,,,,,,
2013-09-01,,,,,,,15988.012,145676.0,145676.0,,,,,,
2013-10-01,,,,,,,12128.657,110511.0,110511.0,,,,,,
2013-11-01,,,,,,,3049.635,27787.0,27787.0,,,,,,
2013-12-01,,,,,,,12491.644,113819.0,113819.0,,,,,,
2014-01-01,,,,,,,6070.458,137424.0,137424.0,,,,,,
2014-02-01,,,,,,,5082.654,115061.0,115061.0,,,,,,
2014-03-01,,,,,,,9229.021,208927.0,208927.0,,,,,,
2014-04-01,,,,,,,6203.813,140442.0,140442.0,,,,,,
2014-05-01,,,,,,,11037.286,249862.0,249862.0,,,,,,
2014-06-01,,,,,,,14983.382,339194.0,339194.0,,,,,,
2014-07-01,,,,,,,19472.9,440828.0,440828.0,,,,,,
2014-08-01,,,,,,,19854.582,449469.0,449469.0,,,,,,
2014-09-01,,,,,,,12315.529,278800.0,278800.0,,,,,,
2014-10-01,,,,,,,10740.878,243153.0,243153.0,,,,,,
2014-11-01,,,,,,,6680.285,151229.0,151229.0,,,,,,
2014-12-01,,,,,,,8032.212,181834.0,181834.0,,,,,,
2015-01-01,,,,,,,3907.774,77874.0,77874.0,,,,,,
2015-02-01,,,,,,,5334.145,106299.0,106299.0,,,,,,
2015-03-01,,,,,,,6362.44,126791.0,126791.0,,,,,,
2015-04-01,,,,,,,11300.334,225193.0,225193.0,,,,,,
2015-05-01,,,,,,,17497.636,348693.0,348693.0,,,,,,
2015-06-01,,,,,,,18287.511,364433.0,364433.0,,,,,,
2015-07-01,,,,,,,26835.845,534785.0,534785.0,,,,,,
2015-08-01,,,,,,,20016.232,398883.0,398883.0,,,,,,
2015-09-01,,,,,,,16769.257,334178.0,334178.0,,,,,,
2015-10-01,,,,,,,12237.908,243877.0,243877.0,,,,,,
2015-11-01,,,,,,,13450.015,268032.0,268032.0,,,,,,
2015-12-01,,,,,,,10456.903,208385.0,208385.0,,,,,,
2016-01-01,,,,,,,4835.208,87945.0,87945.0,,,,,,
2016-02-01,,,,,,,8748.069,159113.0,159113.0,,,,,,
2016-03-01,,,,,,,14903.305,271068.0,271068.0,,,,,,
2016-04-01,,,,,,,12784.128,232524.0,232524.0,,,,,,
2016-05-01,,,,,,,14207.179,258406.0,258406.0,,,,,,
2016-06-01,,,,,,,13187.531,239860.0,239860.0,,,,,,
2016-07-01,,,,,,,32980.788,599869.0,599869.0,,,,,,
2016-08-01,,,,,,,35348.991,642943.0,642943.0,,,,,,
2016-09-01,,,,,,,18738.568,340826.0,340826.0,,,,,,
2016-10-01,,,,,,,12555.891,228372.0,228372.0,,,,,,
2016-11-01,,,,,,,1693.587,30804.0,30804.0,,,,,,
2016-12-01,,,,,,,2065.755,37573.0,37573.0,,,,,,
2017-01-01,,,,,,,15275.0,299138.0,299138.0,,,,,,
