measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,20864.0,196392.0,196392.0,,,,,,,,,
2003-02-01,18931.0,178200.0,178200.0,,,,,,,,,
2003-03-01,19166.0,180408.0,180408.0,,,,,,,,,
2003-04-01,14581.0,137256.0,137256.0,,,,,,,,,
2003-05-01,15798.0,148704.0,148704.0,,,,,,,,,
2003-06-01,18184.0,171168.0,171168.0,,,,,,,,,
2003-07-01,17083.0,160800.0,160800.0,,,,,,,,,
2003-08-01,19176.0,180504.0,180504.0,,,,,,,,,
2003-09-01,17401.0,163800.0,163800.0,,,,,,,,,
2003-10-01,19864.0,186984.0,186984.0,,,,,,,,,
2003-11-01,20836.0,196128.0,196128.0,,,,,,,,,
2003-12-01,20270.0,190800.0,190800.0,,,,,,,,,
2004-01-01,37037.0,559000.0,559000.0,,,,,,,20498.0,234400.0,234400.0
2004-02-01,32975.0,500520.0,500520.0,,,,,,,16637.0,197620.0,197620.0
2004-03-01,38288.0,624000.0,624000.0,,,,,,,18142.0,229600.0,229600.0
2004-04-01,27308.0,492560.0,492560.0,,,,,,,17993.0,250100.0,250100.0
2004-05-01,28775.0,547580.0,547580.0,,,,,,,15600.0,228780.0,228780.0
2004-06-01,21790.0,335400.0,335400.0,,,,,,,13819.0,166460.0,166460.0
