measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,0.08800000000000001,0.9,0.9
2003-02-01,0.08,0.82,0.82
2003-03-01,0.082,0.84,0.84
2003-04-01,0.07400000000000001,0.76,0.76
2003-05-01,0.075,0.77,0.77
2003-06-01,0.083,0.85,0.85
2003-07-01,0.096,0.98,0.98
2003-08-01,0.098,1.0,1.0
2003-09-01,0.082,0.84,0.84
2003-10-01,0.079,0.81,0.81
2003-11-01,0.077,0.79,0.79
2003-12-01,0.08700000000000001,0.89,0.89
2004-01-01,1191.305,11939.26,11939.26
2004-02-01,1069.431,10717.84,10717.84
2004-03-01,1244.386,12471.24,12471.24
2004-04-01,1102.255,11046.8,11046.8
2004-05-01,1142.315,11448.28,11448.28
2004-06-01,1148.471,11509.98,11509.98
2004-07-01,1179.7740000000001,11823.7,11823.7
2004-08-01,1178.262,11808.54,11808.54
2004-09-01,1118.819,11212.8,11212.8
2004-10-01,1102.211,11046.36,11046.36
2004-11-01,1213.1760000000002,12158.45,12158.45
2004-12-01,1302.596,13054.62,13054.62
2005-01-01,0.205,2.05,2.05
2005-02-01,0.167,1.67,1.67
2005-03-01,0.182,1.82,1.82
2005-04-01,0.228,2.28,2.28
2005-05-01,0.169,1.69,1.69
2005-06-01,0.151,1.51,1.51
2005-07-01,0.129,1.29,1.29
2005-08-01,0.101,1.01,1.01
2005-09-01,0.08800000000000001,0.88,0.88
2005-10-01,0.17800000000000002,1.78,1.78
2005-11-01,0.196,1.96,1.96
2005-12-01,0.20700000000000002,2.07,2.07
2006-01-01,1589.257,15764.0,15764.0
2006-02-01,1433.04,14214.0,14214.0
2006-03-01,1262.528,12523.0,12523.0
2006-04-01,1374.221,13631.0,13631.0
2006-05-01,1624.786,16116.0,16116.0
2006-06-01,1596.458,15835.0,15835.0
2006-07-01,1674.105,16605.0,16605.0
2006-08-01,1662.007,16485.0,16485.0
2006-09-01,1078.839,10701.0,10701.0
2006-10-01,951.0730000000001,9434.0,9434.0
2006-11-01,1114.021,11050.0,11050.0
2006-12-01,1179.664,11701.0,11701.0
2007-01-01,1269.9260000000002,12552.0,12552.0
2007-02-01,1007.01,9953.0,9953.0
2007-03-01,1202.21,11883.0,11883.0
2007-04-01,1051.277,10391.0,10391.0
2007-05-01,1121.384,11084.0,11084.0
2007-06-01,967.359,9561.0,9561.0
2007-07-01,927.792,9170.0,9170.0
2007-08-01,931.6610000000001,9209.0,9209.0
2007-09-01,875.576,8654.0,8654.0
2007-10-01,901.4910000000001,8910.0,8910.0
2007-11-01,996.893,9853.0,9853.0
2007-12-01,1047.422,10353.0,10353.0
2008-01-01,812.5690000000001,8007.0,8007.0
2008-02-01,679.2130000000001,6693.0,6693.0
2008-03-01,880.442,8676.0,8676.0
2008-04-01,800.231,7885.0,7885.0
2008-05-01,837.085,8249.0,8249.0
2008-06-01,769.984,7587.0,7587.0
2008-07-01,815.176,8033.0,8033.0
2008-08-01,778.241,7669.0,7669.0
2008-09-01,704.177,6939.0,6939.0
2008-10-01,720.683,7102.0,7102.0
2008-11-01,817.188,8053.0,8053.0
2008-12-01,853.0110000000001,8406.0,8406.0
2009-01-01,1230.377,12008.0,12008.0
2009-02-01,1130.26,11031.0,11031.0
2009-03-01,1381.306,13482.0,13482.0
2009-04-01,1265.2160000000001,12349.0,12349.0
2009-05-01,1331.279,12993.0,12993.0
