measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,,,,,,,-13.0,0.0,0.0,0.0,0.0,0.0,367.0,5093.0,5093.0,,,,27691.0,383925.0,383925.0
2003-02-01,,,,,,,-5.0,0.0,0.0,12.0,177.0,177.0,80.0,1145.0,1145.0,,,,25187.0,361407.0,361407.0
2003-03-01,,,,,,,-11.0,0.0,0.0,1.0,6.0,6.0,46.0,675.0,675.0,,,,27377.0,399770.0,399770.0
2003-04-01,,,,,,,-7.0,0.0,0.0,2.0,34.0,34.0,345.0,4729.0,4729.0,,,,23882.0,327538.0,327538.0
2003-05-01,,,,,,,-5.0,0.0,0.0,1.0,6.0,6.0,842.0,11492.0,11492.0,,,,24624.0,335688.0,335688.0
2003-06-01,,,,,,,-4.0,0.0,0.0,0.0,0.0,0.0,84.0,1321.0,1321.0,,,,19015.0,298301.0,298301.0
2003-07-01,,,,,,,-4.0,0.0,0.0,3.0,40.0,40.0,88.0,1298.0,1298.0,,,,28352.0,416863.0,416863.0
2003-08-01,,,,,,,134.0,1363.0,1363.0,6.0,56.0,56.0,532.0,5528.0,5528.0,,,,34610.0,464646.0,464646.0
2003-09-01,,,,,,,-5.0,0.0,0.0,2.0,23.0,23.0,17.0,258.0,258.0,,,,27370.0,405966.0,405966.0
2003-10-01,,,,,,,-6.0,0.0,0.0,6.0,106.0,106.0,301.0,4962.0,4962.0,,,,18805.0,309651.0,309651.0
2003-11-01,,,,,,,-8.0,0.0,0.0,1.0,6.0,6.0,43.0,484.0,484.0,,,,30806.0,450504.0,450504.0
2003-12-01,,,,,,,-9.0,0.0,0.0,4.0,55.0,55.0,444.0,6303.0,6303.0,,,,30737.0,435999.0,435999.0
2004-01-01,,,,,,,-0.893,12.0,12.0,2.414,37.0,37.0,474.27,6870.0,6870.0,,,,28754.674,422887.0,422887.0
2004-02-01,,,,,,,-0.448,6.0,6.0,0.6970000000000001,11.0,11.0,241.997,3506.0,3506.0,,,,28797.897,423523.0,423523.0
2004-03-01,,,,,,,-4.99,68.0,68.0,3.3160000000000003,51.0,51.0,251.673,3646.0,3646.0,,,,24342.621,358000.0,358000.0
2004-04-01,,,,,,,-7.0840000000000005,97.0,97.0,1.5290000000000001,24.0,24.0,271.857,3938.0,3938.0,,,,22796.541,335263.0,335263.0
2004-05-01,,,,,,,-12.404,170.0,170.0,3.625,56.0,56.0,180.135,2609.0,2609.0,,,,21109.792,310456.0,310456.0
2004-06-01,,,,,,,-3.975,54.0,54.0,3.899,60.0,60.0,240.834,3489.0,3489.0,,,,26134.354,384351.0,384351.0
2004-07-01,,,,,,,-4.329000000000001,59.0,59.0,1.2610000000000001,20.0,20.0,279.673,4051.0,4051.0,,,,28669.421000000002,421633.0,421633.0
2004-08-01,,,,,,,-12.466000000000001,171.0,171.0,2.213,34.0,34.0,205.96800000000002,2984.0,2984.0,,,,28583.639000000003,420372.0,420372.0
2004-09-01,,,,,,,-3.257,45.0,45.0,1.358,21.0,21.0,187.43800000000002,2715.0,2715.0,,,,27860.998,409744.0,409744.0
2004-10-01,,,,,,,-4.783,66.0,66.0,2.14,33.0,33.0,231.417,3352.0,3352.0,,,,27548.9,405154.0,405154.0
2004-11-01,,,,,,,-0.865,12.0,12.0,1.546,24.0,24.0,104.68700000000001,1517.0,1517.0,,,,25571.783,376077.0,376077.0
2004-12-01,,,,,,,-0.507,7.0,7.0,1.0010000000000001,16.0,16.0,280.04900000000004,4057.0,4057.0,,,,27475.379,404073.0,404073.0
2005-01-01,,,,13761.177,178418.73,178418.73,-4.901,153.61,153.61,,,,,,,,,,16575.112,214123.64,214123.64
2005-02-01,,,,11981.39,155343.13,155343.13,-1.6840000000000002,52.78,52.78,,,,,,,,,,14431.387999999999,186430.19,186430.19
2005-03-01,,,,12430.659,161168.06,161168.06,-1.866,58.49,58.49,,,,,,,,,,14972.525000000001,193420.8,193420.8
2005-04-01,,,,11078.162,143632.45,143632.45,-2.261,70.85,70.85,,,,,,,,,,13343.465,172375.98,172375.98
2005-05-01,,,,12161.595000000001,157679.56,157679.56,-2.099,65.8,65.8,,,,,,,,,,14648.442,189234.18,189234.18
2005-06-01,,,,13545.495,175622.31,175622.31,-2.725,85.41,85.41,,,,,,,,,,16315.326000000001,210767.63,210767.63
2005-07-01,,,,14319.021,185651.37,185651.37,-2.774,86.94,86.94,,,,,,,,,,17247.026,222803.68,222803.68
2005-08-01,,,,14478.333999999999,187716.92,187716.92,-3.258,102.13,102.13,,,,,,,,,,17438.916,225282.59,225282.59
2005-09-01,,,,13268.186,172026.91,172026.91,-2.133,66.85,66.85,,,,,,,,,,15981.313,206452.71,206452.71
2005-10-01,,,,12529.317,162447.2,162447.2,-2.369,74.25,74.25,,,,,,,,,,15091.357,194955.92,194955.92
2005-11-01,,,,12215.503,158378.49,158378.49,-1.9040000000000001,59.68,59.68,,,,,,,,,,14713.373,190072.98,190072.98
2005-12-01,,,,13642.159,176875.61,176875.61,-4.026,126.2,126.2,,,,,,,,,,16431.757,212271.71,212271.71
2006-01-01,,,,10779.26,152770.0,152770.0,-4.583,81.0,81.0,6.699000000000001,96.0,96.0,79.218,1115.0,1115.0,,,,15141.425,211404.0,211404.0
2006-02-01,,,,10266.062,145497.0,145497.0,-2.398,42.0,42.0,3.505,50.0,50.0,89.549,1261.0,1261.0,,,,14420.545,201339.0,201339.0
2006-03-01,,,,10490.016,148671.0,148671.0,-2.015,36.0,36.0,2.944,42.0,42.0,118.004,1661.0,1661.0,,,,14735.129,205732.0,205732.0
2006-04-01,,,,8924.668,126486.0,126486.0,-3.859,68.0,68.0,5.64,81.0,81.0,97.652,1375.0,1375.0,,,,12536.314,175032.0,175032.0
2006-05-01,,,,9537.613000000001,135173.0,135173.0,-3.607,64.0,64.0,5.272,75.0,75.0,128.633,1811.0,1811.0,,,,13397.306,187053.0,187053.0
2006-06-01,,,,10332.572,146440.0,146440.0,-3.2790000000000004,58.0,58.0,4.792,68.0,68.0,165.69400000000002,2333.0,2333.0,,,,14513.97,202644.0,202644.0
2006-07-01,,,,11753.282,166575.0,166575.0,-4.7490000000000006,84.0,84.0,6.942,99.0,99.0,296.504,4174.0,4174.0,,,,16509.615,230507.0,230507.0
2006-08-01,,,,11838.088,167777.0,167777.0,-4.607,82.0,82.0,6.7330000000000005,96.0,96.0,263.47,3709.0,3709.0,,,,16628.741,232170.0,232170.0
2006-09-01,,,,9836.023000000001,139402.0,139402.0,-2.117,37.0,37.0,3.093,44.0,44.0,154.978,2182.0,2182.0,,,,13816.477,192905.0,192905.0
2006-10-01,,,,10173.816,144190.0,144190.0,-2.236,40.0,40.0,3.2680000000000002,47.0,47.0,167.872,2363.0,2363.0,,,,14290.969000000001,199530.0,199530.0
2006-11-01,,,,10059.429,142568.0,142568.0,-2.633,47.0,47.0,3.8480000000000003,55.0,55.0,112.85900000000001,1589.0,1589.0,,,,14130.291000000001,197287.0,197287.0
2006-12-01,,,,10890.17,154342.0,154342.0,-2.9170000000000003,52.0,52.0,4.263,61.0,61.0,114.566,1613.0,1613.0,,,,15297.218,213579.0,213579.0
2007-01-01,,,,9358.448,128291.0,128291.0,-6.308000000000001,46.0,46.0,,,,38.619,529.0,529.0,,,,11997.932,164474.0,164474.0
2007-02-01,,,,10461.064,140242.0,140242.0,-14.012,104.0,104.0,,,,462.101,6195.0,6195.0,,,,15340.833999999999,205661.0,205661.0
2007-03-01,,,,8734.843,116010.0,116010.0,-3.7960000000000003,29.0,29.0,,,,40.634,540.0,540.0,,,,20245.522,268886.0,268886.0
2007-04-01,,,,168.52,2149.0,2149.0,-3.6790000000000003,29.0,29.0,,,,131.136,1672.0,1672.0,,,,28066.344,357930.0,357930.0
2007-05-01,,,,4745.976000000001,61711.0,61711.0,-4.133,29.0,29.0,,,,167.596,2179.0,2179.0,,,,22039.428,286574.0,286574.0
2007-06-01,,,,11270.435,145966.0,145966.0,-11.738000000000001,87.0,87.0,,,,89.123,1154.0,1154.0,,,,18267.442000000003,236586.0,236586.0
2007-07-01,,,,15300.122,165725.0,165725.0,-7.303,52.0,52.0,,,,612.856,6638.0,6638.0,,,,16040.022,173739.0,173739.0
2007-08-01,,,,24534.926,343533.0,343533.0,-5.679,41.0,41.0,,,,1148.165,16076.0,16076.0,,,,5509.909000000001,77149.0,77149.0
2007-09-01,,,,2053.5860000000002,28882.0,28882.0,-4.027,29.0,29.0,,,,322.666,4538.0,4538.0,,,,12635.748,177710.0,177710.0
2007-10-01,,,,6427.9130000000005,92523.0,92523.0,-6.569,46.0,46.0,,,,1321.678,19024.0,19024.0,,,,17007.409,244803.0,244803.0
2007-11-01,,,,0.0,0.0,0.0,-3.907,29.0,29.0,,,,1.258,17.0,17.0,,,,25638.742,355438.0,355438.0
2007-12-01,,,,0.0,0.0,0.0,-4.847,35.0,35.0,,,,87.664,1249.0,1249.0,,,,22416.336,319287.0,319287.0
2008-01-01,,,,9495.718,134669.0,134669.0,-9.884,65.0,65.0,0.0,0.0,0.0,21.8,309.0,309.0,,,,17625.482,249966.0,249966.0
2008-02-01,,,,7408.902,114140.0,114140.0,-8.906,47.0,47.0,1.5270000000000001,24.0,24.0,557.225,8584.0,8584.0,,,,13309.346,205041.0,205041.0
2008-03-01,,,,6659.104,97682.0,97682.0,-10.711,59.0,59.0,3.608,53.0,53.0,68.29,1002.0,1002.0,,,,17959.998,263454.0,263454.0
2008-04-01,,,,0.0,0.0,0.0,-6.66,35.0,35.0,0.399,6.0,6.0,28.683,423.0,423.0,,,,24450.918,360644.0,360644.0
2008-05-01,,,,0.0,0.0,0.0,-4.871,24.0,24.0,0.0,0.0,0.0,357.43100000000004,5362.0,5362.0,,,,21091.569,316383.0,316383.0
2008-06-01,,,,0.0,0.0,0.0,-16.911,88.0,88.0,2.68,41.0,41.0,319.358,4905.0,4905.0,,,,24783.962,380655.0,380655.0
2008-07-01,,,,6190.588000000001,93001.0,93001.0,-4.9,24.0,24.0,2.74,41.0,41.0,241.675,3631.0,3631.0,,,,15171.998,227930.0,227930.0
2008-08-01,,,,7189.143,108611.0,108611.0,-4.7540000000000004,24.0,24.0,1.9460000000000002,29.0,29.0,250.68900000000002,3787.0,3787.0,,,,13582.222,205194.0,205194.0
2008-09-01,,,,1239.028,18352.0,18352.0,-10.047,53.0,53.0,0.794,12.0,12.0,84.111,1246.0,1246.0,,,,11754.067,174098.0,174098.0
2008-10-01,,,,6940.838000000001,100817.0,100817.0,-4.792,24.0,24.0,0.81,12.0,12.0,67.776,984.0,984.0,,,,16511.576,239833.0,239833.0
2008-11-01,,,,7786.446000000001,115599.0,115599.0,-3.064,18.0,18.0,0.0,0.0,0.0,491.30100000000004,7294.0,7294.0,,,,13009.253,193137.0,193137.0
2008-12-01,,,,8871.817000000001,129684.0,129684.0,-5.5,29.0,29.0,0.0,0.0,0.0,36.874,539.0,539.0,,,,18412.308,269142.0,269142.0
2009-01-01,,,,2103.216,30156.0,30156.0,-3.898,23.0,23.0,4.921,71.0,71.0,57.382000000000005,823.0,823.0,,,,19891.481,285208.0,285208.0
2009-02-01,,,,0.0,0.0,0.0,-4.738,35.0,35.0,0.0,0.0,0.0,330.685,5006.0,5006.0,,,,11444.315,173260.0,173260.0
2009-03-01,,,,857.8330000000001,12812.0,12812.0,-5.308,41.0,41.0,0.0,0.0,0.0,2183.615,32612.0,32612.0,,,,11260.552,168173.0,168173.0
2009-04-01,,,,0.0,0.0,0.0,-4.8420000000000005,35.0,35.0,0.0,0.0,0.0,377.30600000000004,6345.0,6345.0,,,,2676.694,45015.0,45015.0
2009-05-01,,,,0.0,0.0,0.0,-12.96,99.0,99.0,0.0,0.0,0.0,29.474,612.0,612.0,,,,774.5260000000001,16089.0,16089.0
2009-06-01,,,,818.528,11760.0,11760.0,-5.008,41.0,41.0,0.0,0.0,0.0,965.046,13865.0,13865.0,,,,12586.426,180837.0,180837.0
2009-07-01,,,,74.07900000000001,1095.0,1095.0,-6.5920000000000005,52.0,52.0,0.0,0.0,0.0,315.14,4658.0,4658.0,,,,14684.780999999999,217063.0,217063.0
2009-08-01,,,,0.0,0.0,0.0,-9.204,70.0,70.0,0.39,6.0,6.0,1268.615,19126.0,19126.0,,,,10462.995,157741.0,157741.0
2009-09-01,,,,0.0,0.0,0.0,-4.399,35.0,35.0,0.0,0.0,0.0,343.94300000000004,5359.0,5359.0,,,,4878.057,75999.0,75999.0
2009-10-01,,,,0.0,0.0,0.0,-8.017000000000001,64.0,64.0,36.231,535.0,535.0,326.955,4829.0,4829.0,,,,8862.814,130892.0,130892.0
2009-11-01,,,,0.0,0.0,0.0,-6.502000000000001,52.0,52.0,0.0,0.0,0.0,169.137,2785.0,2785.0,,,,2859.8630000000003,47091.0,47091.0
2009-12-01,,,,0.0,0.0,0.0,-7.532,58.0,58.0,0.415,6.0,6.0,375.135,5310.0,5310.0,,,,23522.45,332956.0,332956.0
2010-01-01,,,,4058.5330000000004,56765.0,56765.0,-10.25,87.0,87.0,0.0,0.0,0.0,1096.546,15337.0,15337.0,,,,21943.921,306919.0,306919.0
2010-02-01,,,,2302.168,31514.0,31514.0,-2.443,17.0,17.0,0.0,0.0,0.0,401.68800000000005,5499.0,5499.0,,,,19245.144,263444.0,263444.0
2010-03-01,,,,775.7950000000001,10841.0,10841.0,-3.2590000000000003,29.0,29.0,0.0,0.0,0.0,218.125,3048.0,3048.0,,,,15139.08,211544.0,211544.0
2010-04-01,,,,0.0,0.0,0.0,-5.6370000000000005,46.0,46.0,0.0,0.0,0.0,226.734,3270.0,3270.0,,,,6804.2660000000005,98126.0,98126.0
2010-05-01,,,,0.0,0.0,0.0,-10.947000000000001,87.0,87.0,0.0,0.0,0.0,193.51600000000002,3067.0,3067.0,,,,5174.484,82019.0,82019.0
2010-06-01,,,,2545.7110000000002,40143.0,40143.0,-7.258,58.0,58.0,0.0,0.0,0.0,493.023,7774.0,7774.0,,,,9301.266,146669.0,146669.0
2010-07-01,,,,6166.860000000001,95112.0,95112.0,-4.617,35.0,35.0,0.0,0.0,0.0,1789.4370000000001,27599.0,27599.0,,,,10421.703,160734.0,160734.0
2010-08-01,,,,7923.118,126013.0,126013.0,-5.025,41.0,41.0,0.0,0.0,0.0,3019.849,48029.0,48029.0,,,,9967.033000000001,158520.0,158520.0
2010-09-01,,,,1656.17,26083.0,26083.0,-4.2940000000000005,35.0,35.0,0.368,6.0,6.0,535.027,8426.0,8426.0,,,,3897.4350000000004,61380.0,61380.0
2010-10-01,,,,-53.556000000000004,1270.0,1270.0,-7.735,64.0,64.0,0.0,0.0,0.0,-4.1690000000000005,99.0,99.0,,,,-123.275,2924.0,2924.0
2010-11-01,,,,549.892,9242.0,9242.0,-8.132,64.0,64.0,0.0,0.0,0.0,310.236,5214.0,5214.0,,,,1958.872,32922.0,32922.0
2010-12-01,,,,2152.884,33332.0,33332.0,-3.403,29.0,29.0,0.0,0.0,0.0,854.565,13231.0,13231.0,,,,11255.551,174263.0,174263.0
2011-01-01,,,,4563.593,65240.0,65240.0,-2.515,23.0,23.0,0.0,0.0,0.0,1429.301,20433.0,20433.0,,,,24054.106,343872.0,343872.0
