measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2021-08-01,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0
2022-01-01,20.104,306.0,306.0
2022-02-01,17.9,272.0,272.0
2022-03-01,14.254,217.0,217.0
2022-04-01,14.859,226.0,226.0
2022-05-01,21.951,334.0,334.0
2022-06-01,26.72,407.0,407.0
2022-07-01,31.487,479.0,479.0
2022-08-01,31.651,481.0,481.0
2022-09-01,26.68,406.0,406.0
2022-10-01,20.62,313.0,313.0
2022-11-01,19.326,294.0,294.0
2022-12-01,21.448,326.0,326.0
2023-01-01,27.817,424.0,424.0
2023-02-01,26.236,398.0,398.0
2023-03-01,25.892,394.0,394.0
2023-04-01,25.006,380.0,380.0
2023-05-01,35.701,542.0,542.0
2023-06-01,41.241,628.0,628.0
2023-07-01,45.229,688.0,688.0
2023-08-01,49.782,757.0,757.0
2023-09-01,41.939,637.0,637.0
2023-10-01,30.957,470.0,470.0
2023-11-01,28.702,437.0,437.0
2023-12-01,30.498,463.0,463.0
2024-01-01,24.712,353.0,353.0
2024-02-01,17.061,245.0,245.0
2024-03-01,19.361,278.0,278.0
2024-04-01,18.19,262.0,262.0
2024-05-01,24.304,349.0,349.0
2024-06-01,27.419,394.0,394.0
2024-07-01,29.638,426.0,426.0
2024-08-01,33.489,481.0,481.0
2024-09-01,27.787,400.0,400.0
2024-10-01,24.07,346.0,346.0
2024-11-01,19.283,277.0,277.0
2024-12-01,20.686,298.0,298.0
