measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,15211.345000000001,130337.0,277725.0
2003-02-01,13409.472,114898.0,244827.0
2003-03-01,13317.213,114108.0,243143.0
2003-04-01,13430.792000000001,115081.0,245216.0
2003-05-01,15981.1,136933.0,291779.0
2003-06-01,16684.313000000002,142958.0,304618.0
2003-07-01,18201.753,155960.0,332323.0
2003-08-01,19239.624,164853.0,351273.0
2003-09-01,15795.472000000002,135342.0,288390.0
2003-10-01,14318.769,122689.0,261429.0
2003-11-01,13557.917000000001,116170.0,247537.0
2003-12-01,14022.23,120148.0,256015.0
2004-01-01,15127.785,175564.63,264071.08
2004-02-01,14679.431,170361.29,256244.59
2004-03-01,15673.279,181895.34,273593.25
2004-04-01,16337.078000000001,189599.02,285180.53
2004-05-01,15443.344000000001,179226.83,269579.48
2004-06-01,17938.383,208182.86,313132.96
2004-07-01,17102.746,198484.93,298546.07
2004-08-01,16544.747,192009.11,288805.61
2004-09-01,16788.836,194841.86,293066.44
2004-10-01,17290.795,200667.32,301828.65
2004-11-01,14585.803,169274.69,254610.22
2004-12-01,17341.174,201251.99,302708.06
2005-01-01,10444.969,121218.48,187053.65
2005-02-01,9427.674,109412.32,168835.43
2005-03-01,10174.37,118078.06,182207.63
2005-04-01,10223.234,118645.16,183082.72
2005-05-01,11228.239,130308.68,201080.84
2005-06-01,14422.019,167373.91,258276.63
2005-07-01,18467.664,214325.41,330728.03
2005-08-01,19138.378,222109.35,342739.52
2005-09-01,14434.422999999999,167517.86,258498.76
2005-10-01,11203.901,130026.22,200644.98
2005-11-01,9996.554,116014.44,179023.22
2005-12-01,11405.774,132369.05,204260.23
2006-01-01,6671.61,77426.99,131366.29
2006-02-01,5882.19,68265.41,115822.34
