measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,14486.0,216665.0,216665.0,735.0,8272.0,8272.0,660.0,6851.0,6851.0
2001-02-01,-394.0,0.0,0.0,-46.0,0.0,0.0,0.0,0.0,0.0
2001-03-01,11199.0,150038.0,150038.0,-37.0,5381.0,5381.0,2338.0,24824.0,24824.0
2001-04-01,26725.0,367010.0,367010.0,0.0,0.0,0.0,13843.0,150667.0,150667.0
2001-05-01,22464.0,287890.0,287890.0,0.0,0.0,0.0,992.0,10073.0,10073.0
2001-06-01,27508.0,388444.0,388444.0,0.0,0.0,0.0,7084.0,79276.0,79276.0
2001-07-01,29682.0,436855.0,436855.0,0.0,0.0,0.0,15195.0,177245.0,177245.0
2001-08-01,39852.0,434045.0,434045.0,0.0,0.0,0.0,261.0,2250.0,2250.0
2001-09-01,1450.0,18164.0,18164.0,4.0,52.0,52.0,1446.0,15676.0,15676.0
2001-10-01,-441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,-428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,-440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,589.0,11999.0,11999.0,-44.0,0.0,0.0,5171.0,83644.0,83644.0
2002-02-01,1606.0,33125.0,33125.0,-32.0,0.0,0.0,270.0,4300.0,4300.0
2002-03-01,2067.0,26547.0,26547.0,-32.0,0.0,0.0,102.0,1022.0,1022.0
2002-04-01,2314.0,44833.0,44833.0,0.0,0.0,0.0,4650.0,71291.0,71291.0
2002-05-01,7517.0,115403.0,115403.0,-20.0,0.0,0.0,13798.0,164794.0,164794.0
2002-06-01,18079.0,248550.0,248550.0,-16.0,0.0,0.0,2463.0,26039.0,26039.0
2002-07-01,17343.0,268311.0,268311.0,-17.0,0.0,0.0,26190.0,318901.0,318901.0
2002-08-01,22383.0,307721.0,307721.0,-17.0,0.0,0.0,945.0,12713.0,12713.0
2002-09-01,15505.0,218596.0,218596.0,-14.0,0.0,0.0,1002.0,13986.0,13986.0
2002-10-01,-207.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,-157.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,-124.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0
