measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2005-01-01,0.161,2.8,2.8,7.215,59.74,59.74
2005-02-01,0.039,0.68,0.68,6.5120000000000005,53.92,53.92
2005-03-01,0.056,0.97,0.97,7.0280000000000005,58.19,58.19
2005-04-01,0.046,0.8,0.8,7.061,58.47,58.47
2005-05-01,0.048,0.83,0.83,7.756,64.22,64.22
2005-06-01,0.042,0.73,0.73,9.962,82.48,82.48
2005-07-01,0.12200000000000001,2.12,2.12,12.756,105.62,105.62
2005-08-01,0.14700000000000002,2.56,2.56,13.219000000000001,109.46,109.46
2005-09-01,0.12100000000000001,2.11,2.11,9.97,82.55,82.55
2005-10-01,0.051000000000000004,0.89,0.89,7.739000000000001,64.08,64.08
2005-11-01,0.051000000000000004,0.89,0.89,6.905,57.17,57.17
2005-12-01,0.116,2.01,2.01,7.878,65.23,65.23
2006-01-01,0.0,0.0,0.0,50.117000000000004,7059.0,7059.0
2006-02-01,0.0,0.0,0.0,44.187000000000005,6224.0,6224.0
2006-03-01,0.0,0.0,0.0,48.943000000000005,6894.0,6894.0
2006-04-01,0.0,0.0,0.0,46.633,6568.0,6568.0
2006-05-01,0.0,0.0,0.0,54.355,7656.0,7656.0
2006-06-01,0.0,0.0,0.0,57.613,8115.0,8115.0
2006-07-01,0.0,0.0,0.0,64.87,9137.0,9137.0
2006-08-01,0.0,0.0,0.0,67.015,9439.0,9439.0
2006-09-01,0.0,0.0,0.0,54.566,7686.0,7686.0
2006-10-01,0.0,0.0,0.0,57.201,8057.0,8057.0
2006-11-01,0.0,0.0,0.0,48.318000000000005,6806.0,6806.0
2006-12-01,0.0,0.0,0.0,54.184000000000005,7632.0,7632.0
2007-01-01,0.612,0.0,0.0,25.738,299.0,7514.0
2007-02-01,0.546,0.0,0.0,23.826,276.0,6956.0
2007-03-01,5.572,23.0,23.0,20.199,234.0,5897.0
2007-04-01,1.991,6.0,6.0,27.775,322.0,8109.0
2007-05-01,0.185,0.0,0.0,28.107000000000003,326.0,8205.0
2007-06-01,0.401,0.0,0.0,31.528000000000002,366.0,9204.0
2007-07-01,0.08,0.0,0.0,38.893,451.0,11355.0
2007-08-01,0.17800000000000002,0.0,0.0,52.508,610.0,15329.0
2007-09-01,0.11900000000000001,0.0,0.0,34.504000000000005,401.0,10074.0
2007-10-01,0.385,0.0,0.0,32.595,378.0,9516.0
2007-11-01,0.57,0.0,0.0,19.973000000000003,232.0,5831.0
2007-12-01,0.14,0.0,0.0,24.993000000000002,290.0,7297.0
2008-01-01,0.057,0.0,0.0,46.929,874.0,874.0
2008-02-01,0.366,6.0,6.0,34.973,652.0,652.0
2008-03-01,0.34600000000000003,6.0,6.0,33.975,633.0,633.0
2008-04-01,0.24700000000000003,0.0,0.0,37.846000000000004,705.0,705.0
2008-05-01,0.29400000000000004,6.0,6.0,36.617000000000004,682.0,682.0
2008-06-01,0.019,0.0,0.0,56.697,1056.0,1056.0
2008-07-01,0.125,0.0,0.0,64.715,1206.0,1206.0
2008-08-01,0.062,0.0,0.0,66.44500000000001,1238.0,1238.0
2008-09-01,0.26,6.0,6.0,45.08,840.0,840.0
2008-10-01,0.04,0.0,0.0,45.977000000000004,857.0,857.0
2008-11-01,0.153,0.0,0.0,35.612,663.0,663.0
2008-12-01,0.031,0.0,0.0,47.134,878.0,878.0
2009-01-01,0.825,12.0,12.0,37.592,7569.0,7569.0
2009-02-01,0.29400000000000004,6.0,6.0,34.307,6909.0,6909.0
2009-03-01,0.047,0.0,0.0,38.238,7701.0,7701.0
2009-04-01,0.091,0.0,0.0,29.888,6019.0,6019.0
2009-05-01,0.338,6.0,6.0,34.26,6899.0,6899.0
2009-06-01,0.269,6.0,6.0,49.744,10018.0,10018.0
2009-07-01,0.17300000000000001,0.0,0.0,54.126000000000005,10899.0,10899.0
2009-08-01,0.182,0.0,0.0,53.931000000000004,10861.0,10861.0
2009-09-01,0.17900000000000002,0.0,0.0,40.007000000000005,8056.0,8056.0
2009-10-01,0.029,0.0,0.0,23.576,4748.0,4748.0
2009-11-01,0.513,6.0,6.0,22.791,4590.0,4590.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0
