measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed
2001-01-01,14288.0,195620.0,195620.0,,,
2001-02-01,9322.0,356396.0,356396.0,,,
2001-03-01,11292.0,247809.0,247809.0,,,
2001-04-01,19279.0,212462.0,212462.0,,,
2001-05-01,41355.0,582261.0,582261.0,,,
2001-06-01,39959.0,487779.0,487779.0,,,
2001-07-01,38314.0,548274.0,548274.0,,,
2001-08-01,56814.0,657924.0,657924.0,,,
2001-09-01,7818.0,126905.0,126905.0,,,
2001-10-01,8939.0,92749.0,92749.0,,,
2001-11-01,6445.0,94092.0,94092.0,,,
2001-12-01,22017.0,301417.0,301417.0,,,
2002-01-01,23669.0,357413.0,357413.0,,,
2002-02-01,10515.0,93946.0,93946.0,,,
2002-03-01,11002.0,158265.0,158265.0,,,
2002-04-01,22814.0,342995.0,342995.0,,,
2002-05-01,10756.0,86379.0,86379.0,,,
2002-06-01,24287.0,347930.0,347930.0,,,
2002-07-01,63628.0,917253.0,917253.0,,,
2002-08-01,56901.0,853824.0,853824.0,,,
2002-09-01,11556.0,168757.0,168757.0,,,
2002-10-01,7812.0,68359.0,68359.0,,,
2002-11-01,15803.0,197025.0,197025.0,,,
2002-12-01,2939.0,27966.0,27966.0,,,
2003-01-01,40807.0,540757.0,540757.0,,,
2003-02-01,31459.0,398837.0,398837.0,,,
2003-03-01,35689.0,465531.0,465531.0,,,
2003-04-01,12751.0,178797.0,178797.0,,,
2003-05-01,12713.0,154547.0,154547.0,,,
2003-06-01,24867.0,391007.0,391007.0,,,
2003-07-01,16757.0,221148.0,221148.0,,,
2003-08-01,53228.0,764997.0,764997.0,,,
2003-09-01,8948.0,107700.0,107700.0,,,
2003-10-01,5241.0,74385.0,74385.0,,,
2003-11-01,10467.0,153427.0,153427.0,,,
2003-12-01,30188.0,399748.0,399748.0,,,
2004-01-01,35401.0,460636.0,460636.0,,,
2004-02-01,16576.0,220823.0,220823.0,,,
2004-03-01,12558.0,156281.0,156281.0,,,
2004-04-01,3658.0,48221.0,48221.0,,,
2004-05-01,12050.0,138162.0,138162.0,,,
2004-06-01,11313.0,127826.0,127826.0,,,
2004-07-01,9820.0,130401.0,130401.0,,,
2004-08-01,9118.0,114828.0,114828.0,,,
2004-09-01,4067.0,97260.0,97260.0,,,
2004-10-01,4411.0,62646.0,62646.0,,,
2004-11-01,8479.0,105641.0,105641.0,,,
2004-12-01,21028.0,292362.0,292362.0,,,
2005-01-01,33809.0,430098.57,430098.57,,,
2005-02-01,6233.0,87411.93,87411.93,,,
2005-03-01,8582.0,130058.57,130058.57,,,
2005-04-01,6828.0,90176.69,90176.69,,,
2005-05-01,3079.0,45878.0,45878.0,,,
2005-06-01,16716.0,235711.1,235711.1,,,
2005-07-01,18673.0,269314.39,269314.39,,,
2005-08-01,28015.0,403532.26,403532.26,,,
2005-09-01,4504.0,109995.03,109995.03,,,
2005-10-01,2739.0,40064.82,40064.82,,,
2005-11-01,675.0,13372.2,13372.2,,,
2005-12-01,5367.0,72716.89,72716.89,,,
2006-01-01,181.0,7350.0,7350.0,,,
2006-02-01,930.0,15105.0,15105.0,,,
2006-03-01,524.0,9746.0,9746.0,,,
2006-04-01,1933.0,30126.0,30126.0,,,
2006-05-01,4833.0,69358.0,69358.0,,,
2006-06-01,8746.0,125146.0,125146.0,,,
2006-07-01,21387.0,337330.0,337330.0,,,
2006-08-01,20357.0,268448.0,268448.0,,,
2006-09-01,176.0,5748.0,5748.0,,,
2006-10-01,899.0,16110.0,16110.0,,,
2006-11-01,522.0,10465.0,10465.0,,,
2006-12-01,1443.0,21654.0,21654.0,,,
2007-01-01,4869.0,64225.0,64225.0,,,
2007-02-01,13271.0,171856.0,171856.0,,,
2007-03-01,2690.0,39083.0,39083.0,,,
2007-04-01,1324.0,12477.0,12477.0,,,
2007-05-01,12617.0,175159.0,175159.0,,,
2007-06-01,7601.0,123615.0,123615.0,,,
2007-07-01,9356.0,120572.0,120572.0,,,
2007-08-01,16577.0,261144.0,261144.0,,,
2007-09-01,4225.0,64118.0,64118.0,,,
2007-10-01,1373.0,23305.0,23305.0,,,
2007-11-01,9139.0,125541.0,125541.0,,,
2007-12-01,1226.0,16860.0,16860.0,,,
2008-01-01,661.0,14476.0,14476.0,,,
2008-02-01,1148.0,19156.0,19156.0,,,
2008-03-01,1124.0,16798.0,16798.0,,,
2008-04-01,829.0,14562.0,14562.0,,,
2008-05-01,973.0,18659.0,18659.0,,,
2008-06-01,12632.0,180330.0,180330.0,,,
2008-07-01,27067.0,381287.0,381287.0,,,
2008-08-01,6313.0,123844.0,123844.0,,,
2008-09-01,3750.0,57221.0,57221.0,,,
2008-10-01,2297.0,35940.0,35940.0,,,
2008-11-01,-71.0,1224.0,1224.0,,,
2008-12-01,2550.0,29413.0,29413.0,,,
2009-01-01,5862.0,91829.0,91829.0,,,
2009-02-01,1577.0,23825.0,23825.0,,,
2009-03-01,2191.0,31927.0,31927.0,,,
2009-04-01,4571.0,62233.0,62233.0,,,
2009-05-01,2239.0,40754.0,40754.0,,,
2009-06-01,2092.0,32634.0,32634.0,,,
2009-07-01,4870.0,74482.0,74482.0,,,
2009-08-01,17413.0,256656.0,256656.0,,,
2009-09-01,130.0,5516.0,5516.0,,,
2009-10-01,645.0,13283.0,13283.0,,,
