measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2020-04-01,593.842,5206.0,5206.0
2020-05-01,686.983,6023.0,6023.0
2020-06-01,582.311,5105.0,5105.0
2020-07-01,630.593,5528.0,5528.0
2020-08-01,574.045,5033.0,5033.0
2020-09-01,452.59,3968.0,3968.0
2020-10-01,461.901,4049.0,4049.0
2020-11-01,384.112,3368.0,3368.0
2020-12-01,369.623,3240.0,3240.0
2021-01-01,327.709,2898.0,2898.0
2021-02-01,333.243,2947.0,2947.0
2021-03-01,517.692,4578.0,4578.0
2021-04-01,595.658,5268.0,5268.0
2021-05-01,720.877,6375.0,6375.0
2021-06-01,567.699,5021.0,5021.0
2021-07-01,581.816,5146.0,5146.0
2021-08-01,532.346,4708.0,4708.0
2021-09-01,535.533,4736.0,4736.0
2021-10-01,468.288,4142.0,4142.0
2021-11-01,454.149,4016.0,4016.0
2021-12-01,291.99,2582.0,2582.0
2022-01-01,396.622,1353.0,1353.0
2022-02-01,440.808,1504.0,1504.0
2022-03-01,555.869,1897.0,1897.0
2022-04-01,629.652,2148.0,2148.0
2022-05-01,672.376,2294.0,2294.0
2022-06-01,686.603,2343.0,2343.0
2022-07-01,596.912,2037.0,2037.0
2022-08-01,526.113,1795.0,1795.0
2022-09-01,534.579,1824.0,1824.0
2022-10-01,565.815,1931.0,1931.0
2022-11-01,330.592,1128.0,1128.0
2022-12-01,316.059,1078.0,1078.0
2023-01-01,425.0,1450.0,1450.0
2023-02-01,433.0,1477.0,1477.0
2023-03-01,591.0,2016.0,2016.0
2023-04-01,565.0,1928.0,1928.0
2023-05-01,626.0,2136.0,2136.0
2023-06-01,646.0,2204.0,2204.0
2023-07-01,663.0,2262.0,2262.0
2023-08-01,649.0,2214.0,2214.0
2023-09-01,594.0,2027.0,2027.0
2023-10-01,537.0,1832.0,1832.0
2023-11-01,381.0,1300.0,1300.0
2023-12-01,360.0,1228.0,1228.0
2024-01-01,394.0,1344.0,1344.0
2024-02-01,484.0,1651.0,1651.0
2024-03-01,540.0,1842.0,1842.0
2024-04-01,711.0,2426.0,2426.0
2024-05-01,665.0,2269.0,2269.0
2024-06-01,702.0,2395.0,2395.0
2024-07-01,626.0,2136.0,2136.0
2024-08-01,627.0,2139.0,2139.0
2024-09-01,328.0,1119.0,1119.0
2024-10-01,536.0,1829.0,1829.0
2024-11-01,373.0,1273.0,1273.0
2024-12-01,369.0,1259.0,1259.0
