measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,1232.0,12616.91,12616.91
2003-02-01,0.0,0.0,0.0,2165.0,22171.77,22171.77
2003-03-01,0.0,0.0,0.0,5466.0,55977.31,55977.31
2003-04-01,0.0,0.0,0.0,6547.0,67047.83,67047.83
2003-05-01,189.0,2939.0,2939.0,7302.0,74779.78,74779.78
2003-06-01,2212.0,30804.0,30804.0,9270.0,94934.07,94934.07
2003-07-01,4085.0,55982.0,55982.0,6812.0,69761.69,69761.69
2003-08-01,4397.0,61333.0,61333.0,6824.0,69884.58,69884.58
2003-09-01,4696.0,65006.0,65006.0,5963.0,61067.08,61067.08
2003-10-01,3828.0,52973.0,52973.0,3933.0,40277.85,40277.85
2003-11-01,4442.0,62636.0,62636.0,1776.0,18188.02,18188.02
2003-12-01,281.0,4388.0,4388.0,810.0,8295.21,8295.21
2004-01-01,0.0,1531.0,1531.0,1267.0,12697.87,12697.87
2004-02-01,2112.0,366.0,366.0,0.0,0.0,0.0
2004-03-01,0.0,102.0,102.0,5638.0,56504.04,56504.04
2004-04-01,0.0,10.0,10.0,6454.0,64681.99,64681.99
2004-05-01,0.0,0.0,0.0,8309.0,83272.8,83272.8
2004-06-01,668.0,10759.0,10759.0,9538.0,95589.84,95589.84
2004-07-01,719.0,11252.0,11252.0,9084.0,91039.85,91039.85
2004-08-01,1845.0,26026.0,26026.0,7990.0,80075.78,80075.78
2004-09-01,4668.0,65204.0,65204.0,6297.0,63108.53,63108.53
2004-10-01,351.0,5249.0,5249.0,3802.0,38103.64,38103.64
2004-11-01,15.0,155.0,155.0,2223.0,22278.91,22278.91
2004-12-01,25.0,253.0,253.0,1404.0,14070.89,14070.89
2005-01-01,0.0,519.14,519.14,945.0,9449.06,9449.06
2005-02-01,0.0,313.54,313.54,741.0,7409.26,7409.26
2005-03-01,0.0,0.0,0.0,4183.0,41825.82,41825.82
2005-04-01,0.0,0.0,0.0,6444.0,64433.56,64433.56
2005-05-01,71.0,1060.8,1060.8,8199.0,81981.8,81981.8
2005-06-01,677.0,10665.8,10665.8,9109.0,91080.89,91080.89
2005-07-01,1123.0,15389.76,15389.76,7565.0,75642.44,75642.44
2005-08-01,963.0,14231.98,14231.98,7689.0,76882.31,76882.31
2005-09-01,1487.0,18416.05,18416.05,5773.0,57724.23,57724.23
2005-10-01,0.0,0.0,0.0,3884.0,38836.12,38836.12
2005-11-01,0.0,0.0,0.0,1771.0,17708.23,17708.23
2005-12-01,360.0,5016.7,5016.7,46.0,459.95,459.95
2006-01-01,0.0,0.0,0.0,1464.0,14521.0,14521.0
2006-02-01,0.0,0.0,0.0,2427.0,24073.0,24073.0
2006-03-01,0.0,0.0,0.0,3759.0,37286.0,37286.0
2006-04-01,0.0,0.0,0.0,5545.0,55001.0,55001.0
2006-05-01,116.0,1439.0,1439.0,7482.0,74214.0,74214.0
2006-06-01,1376.0,18650.0,18650.0,7253.0,71943.0,71943.0
2006-07-01,1982.0,28081.0,28081.0,6312.0,62609.0,62609.0
2006-08-01,806.0,12214.0,12214.0,8113.0,80473.0,80473.0
2006-09-01,3884.0,53911.0,53911.0,5147.0,51053.0,51053.0
2006-10-01,0.0,0.0,0.0,3313.0,32862.0,32862.0
2006-11-01,0.0,0.0,0.0,1559.0,15464.0,15464.0
