measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2004-01-01,0.0,5463.15,5463.15,0.0,4469.85,4469.85
2004-02-01,0.0,5124.9,5124.9,0.0,4193.1,4193.1
2004-03-01,0.0,5982.35,5982.35,0.0,4894.65,4894.65
2004-04-01,0.0,4634.3,4634.3,0.0,3791.7,3791.7
2004-05-01,0.0,4896.1,4896.1,0.0,4005.9,4005.9
2004-06-01,0.0,5407.6,5407.6,0.0,4424.4,4424.4
2004-07-01,0.0,5491.75,5491.75,0.0,4493.25,4493.25
2004-08-01,0.0,5541.8,5541.8,0.0,4534.2,4534.2
2004-09-01,0.0,4909.3,4909.3,0.0,4016.7,4016.7
2004-10-01,0.0,5595.15,5595.15,0.0,4577.85,4577.85
2004-11-01,0.0,5126.55,5126.55,0.0,4194.45,4194.45
2004-12-01,0.0,5105.1,5105.1,0.0,4176.9,4176.9
