measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,,,,-34.0,0.0,0.0,0.0,0.0,0.0
2001-02-01,-61.0,0.0,0.0,,,,327.0,6415.0,6415.0,1364.0,35302.0,35302.0
2001-03-01,-47.0,0.0,0.0,,,,259.0,9555.0,9555.0,-906.0,0.0,0.0
2001-04-01,0.0,0.0,0.0,,,,352.0,5420.0,5420.0,-879.0,0.0,0.0
2001-05-01,-39.0,0.0,0.0,,,,-112.0,0.0,2207.0,-502.0,0.0,0.0
2001-06-01,293.0,5359.0,5359.0,,,,8461.0,162922.0,162922.0,12550.0,240724.0,240724.0
2001-07-01,7.0,168.0,168.0,,,,10811.0,268874.0,268874.0,6605.0,163637.0,163637.0
2001-08-01,137.0,1400.0,1400.0,,,,66293.0,711447.0,711447.0,22322.0,279976.0,279976.0
2001-09-01,886.0,8534.0,8534.0,,,,21539.0,218057.0,218057.0,-369.0,0.0,0.0
2001-10-01,557.0,4978.0,4978.0,,,,16879.0,158609.0,158609.0,-523.0,0.0,0.0
2001-11-01,81.0,756.0,756.0,,,,18072.0,177376.0,177376.0,-619.0,0.0,0.0
2001-12-01,719.0,6535.0,6535.0,,,,16181.0,154684.0,154684.0,-696.0,0.0,0.0
2002-01-01,,,,0.0,0.0,0.0,209.0,2460.0,2460.0,-747.0,0.0,0.0
2002-02-01,,,,0.0,0.0,0.0,3954.0,51529.0,51529.0,-700.0,0.0,0.0
2002-03-01,,,,0.0,0.0,0.0,209.0,2460.0,2460.0,-747.0,0.0,0.0
2002-04-01,,,,0.0,0.0,0.0,8958.0,74923.0,74923.0,-538.0,0.0,0.0
2002-05-01,,,,0.0,0.0,0.0,13641.0,131529.0,131529.0,-433.0,0.0,0.0
2002-06-01,,,,0.0,0.0,0.0,19169.0,206165.0,206165.0,-382.0,11705.0,11705.0
2002-07-01,,,,0.0,0.0,0.0,49880.0,525293.0,525293.0,15050.0,185982.0,185982.0
2002-08-01,,,,0.0,0.0,0.0,39967.0,415294.0,415294.0,52684.0,628898.0,628898.0
2002-09-01,,,,0.0,0.0,0.0,23461.0,235514.0,235514.0,7052.0,99603.0,99603.0
2002-10-01,,,,0.0,0.0,0.0,14576.0,142692.0,142692.0,-479.0,0.0,0.0
2002-11-01,,,,0.0,0.0,0.0,4115.0,33748.0,33748.0,-721.0,0.0,0.0
2002-12-01,,,,11.0,140.0,140.0,4291.0,56646.0,56646.0,-992.0,0.0,0.0
2003-01-01,,,,2390.0,23324.0,23324.0,2350.0,22939.0,22939.0,-1001.0,0.0,0.0
2003-02-01,,,,5357.0,60480.0,60480.0,2261.0,25530.0,25530.0,-893.0,0.0,0.0
2003-03-01,,,,865.0,8585.0,8585.0,9063.0,89993.0,89993.0,-762.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,9265.0,97448.0,97448.0,-427.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,14176.0,133976.0,133976.0,-386.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0,18644.0,195742.0,195742.0,,,
2003-07-01,,,,0.0,0.0,0.0,33384.0,340853.0,340853.0,5104.0,65797.0,65797.0
2003-08-01,,,,0.0,0.0,0.0,37793.0,396260.0,396260.0,2571.0,48409.0,48409.0
2003-09-01,,,,0.0,0.0,0.0,23149.0,236325.0,236325.0,-361.0,0.0,0.0
2003-10-01,,,,0.0,0.0,0.0,19370.0,194418.0,194418.0,-603.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0,14574.0,138567.0,138567.0,-726.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0,13918.0,137055.0,137055.0,-882.0,0.0,0.0
2004-01-01,,,,2329.0,19015.0,19015.0,8757.0,71495.0,71495.0,-945.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0,10214.0,106447.0,106447.0,-889.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0,14267.0,144757.0,144757.0,-686.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0,13135.0,158455.0,158455.0,-530.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0,15151.0,177401.0,177401.0,-300.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0,12383.0,160648.0,160648.0,-383.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0,15472.0,155449.0,155449.0,2139.0,41392.0,41392.0
2004-08-01,,,,0.0,0.0,0.0,32315.0,348169.0,348169.0,-369.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0,15792.0,147549.0,147549.0,-360.0,0.0,0.0
2004-10-01,,,,76.0,745.0,745.0,6152.0,60347.0,60347.0,-414.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0,28123.0,299157.0,299157.0,0.0,0.0,0.0
2004-12-01,,,,2504.0,25367.0,25367.0,26362.0,267080.0,267080.0,-835.0,0.0,0.0
2005-01-01,,,,1412.0,13400.8,13400.8,15510.0,147156.02,147156.02,-929.0,0.0,0.0
2005-02-01,,,,0.0,0.0,0.0,16256.0,162604.53,162604.53,-806.0,0.0,0.0
2005-03-01,,,,0.0,0.0,0.0,12603.0,131182.38,131182.38,-868.0,0.0,0.0
2005-04-01,,,,0.0,0.0,0.0,20653.0,215067.5,215067.5,-429.0,0.0,0.0
2005-05-01,,,,0.0,0.0,0.0,11307.0,113330.43,113330.43,-265.0,0.0,0.0
2005-06-01,,,,0.0,0.0,0.0,14977.0,179827.21,179827.21,-244.0,0.0,0.0
2005-07-01,,,,0.0,0.0,0.0,20018.0,257186.79,257186.79,-251.0,0.0,0.0
2005-08-01,,,,0.0,0.0,0.0,13918.0,156100.67,156100.67,-227.0,0.0,0.0
2005-09-01,,,,0.0,0.0,0.0,28058.0,280769.34,280769.34,-191.0,0.0,0.0
2005-10-01,,,,0.0,0.0,0.0,2151.0,39781.06,39781.06,-509.0,0.0,0.0
2005-11-01,,,,0.0,0.0,0.0,3285.0,55710.24,55710.24,-620.0,0.0,0.0
