measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2013-03-01,27.005,264.0,264.0,521.882,5079.0,5079.0
2013-04-01,23.238,226.0,226.0,473.652,4610.0,4610.0
2013-05-01,24.541,238.0,238.0,525.384,5114.0,5114.0
2013-06-01,29.033,283.0,283.0,511.628,4980.0,4980.0
2013-07-01,36.84,358.0,358.0,526.154,5121.0,5121.0
2013-08-01,37.572,365.0,365.0,581.361,5659.0,5659.0
2013-09-01,37.478,364.0,364.0,530.319,5162.0,5162.0
2013-10-01,32.519,317.0,317.0,578.964,5636.0,5636.0
2013-11-01,32.076,313.0,313.0,575.708,5604.0,5604.0
2013-12-01,37.352,363.0,363.0,601.074,5850.0,5850.0
2014-01-01,20.137,190.0,190.0,714.356,6779.0,6779.0
2014-02-01,18.805,179.0,179.0,623.476,5916.0,5916.0
2014-03-01,16.318,155.0,155.0,651.577,6182.0,6182.0
2014-04-01,15.517,148.0,148.0,572.211,5430.0,5430.0
2014-05-01,15.646,149.0,149.0,589.584,5594.0,5594.0
2014-06-01,15.424,147.0,147.0,625.341,5933.0,5933.0
2014-07-01,21.824,207.0,207.0,625.512,5935.0,5935.0
2014-08-01,22.527,214.0,214.0,613.08,5817.0,5817.0
2014-09-01,23.564,224.0,224.0,617.952,5863.0,5863.0
2014-10-01,23.246,221.0,221.0,621.053,5893.0,5893.0
2014-11-01,16.8,159.0,159.0,533.261,5060.0,5060.0
2014-12-01,18.274,173.0,173.0,568.515,5394.0,5394.0
2015-01-01,44.296,406.0,406.0,737.583,6770.0,6770.0
2015-02-01,32.799,301.0,301.0,686.119,6297.0,6297.0
2015-03-01,38.425,353.0,353.0,715.087,6563.0,6563.0
2015-04-01,36.874,338.0,338.0,631.441,5795.0,5795.0
2015-05-01,35.998,330.0,330.0,689.669,6329.0,6329.0
2015-06-01,50.62,464.0,464.0,775.12,7114.0,7114.0
2015-07-01,57.093,524.0,524.0,789.983,7250.0,7250.0
2015-08-01,60.222,553.0,553.0,760.971,6984.0,6984.0
2015-09-01,59.806,549.0,549.0,744.795,6836.0,6836.0
2015-10-01,57.611,528.0,528.0,717.081,6581.0,6581.0
2015-11-01,42.478,390.0,390.0,664.498,6099.0,6099.0
2015-12-01,45.436,417.0,417.0,756.995,6948.0,6948.0
2016-01-01,144.205,860.0,1394.0,829.529,4950.0,8022.0
2016-02-01,114.446,683.0,1106.0,784.636,4682.0,7588.0
2016-03-01,89.008,531.0,861.0,722.266,4310.0,6985.0
2016-04-01,85.121,508.0,824.0,713.82,4259.0,6903.0
2016-05-01,91.883,548.0,889.0,836.91,4994.0,8094.0
2016-06-01,139.784,834.0,1352.0,825.555,4926.0,7984.0
2016-07-01,164.878,984.0,1594.0,797.244,4757.0,7710.0
2016-08-01,182.361,1088.0,1764.0,771.257,4602.0,7459.0
2016-09-01,150.967,901.0,1460.0,814.727,4861.0,7879.0
2016-10-01,148.917,889.0,1441.0,793.218,4733.0,7671.0
2016-11-01,114.505,683.0,1107.0,809.255,4829.0,7826.0
2016-12-01,129.665,774.0,1254.0,802.843,4790.0,7764.0
2017-01-01,164.8,981.0,1615.0,932.135,5546.0,9134.0
2017-02-01,125.788,748.0,1233.0,843.255,5017.0,8264.0
2017-03-01,104.169,620.0,1021.0,944.305,5618.0,9254.0
2017-04-01,93.055,554.0,912.0,848.836,5050.0,8319.0
2017-05-01,115.443,687.0,1131.0,925.155,5505.0,9067.0
2017-06-01,151.883,904.0,1488.0,946.83,5633.0,9279.0
2017-07-01,207.119,1232.0,2030.0,938.813,5586.0,9201.0
2017-08-01,233.808,1391.0,2291.0,941.715,5603.0,9229.0
2017-09-01,192.38,1145.0,1885.0,883.084,5254.0,8655.0
2017-10-01,182.197,1084.0,1785.0,745.065,4433.0,7301.0
2017-11-01,158.343,942.0,1552.0,889.439,5292.0,8717.0
2017-12-01,167.869,999.0,1645.0,979.514,5828.0,9599.0
2018-01-01,173.694,1032.0,1715.0,1024.51,6089.0,10122.0
2018-02-01,152.507,906.0,1507.0,957.432,5691.0,9459.0
2018-03-01,158.612,943.0,1567.0,950.778,5651.0,9393.0
2018-04-01,119.369,709.0,1179.0,903.163,5368.0,8923.0
2018-05-01,108.967,648.0,1076.0,923.893,5491.0,9127.0
2018-06-01,149.062,886.0,1473.0,924.952,5498.0,9138.0
2018-07-01,260.113,1546.0,2570.0,992.867,5901.0,9809.0
2018-08-01,240.628,1430.0,2377.0,1034.645,6150.0,10221.0
2018-09-01,193.658,1151.0,1913.0,1000.094,5944.0,9880.0
2018-10-01,216.465,1287.0,2138.0,1007.863,5990.0,9957.0
2018-11-01,193.511,1150.0,1912.0,988.211,5874.0,9763.0
2018-12-01,194.963,1159.0,1927.0,1051.043,6247.0,10384.0
2019-01-01,216.014,1283.0,2096.0,1136.313,6750.0,11029.0
2019-02-01,200.29,1190.0,1945.0,1039.735,6176.0,10092.0
2019-03-01,174.663,1037.0,1696.0,1151.973,6843.0,11181.0
2019-04-01,122.56,728.0,1189.0,1068.728,6348.0,10373.0
2019-05-01,105.612,627.0,1025.0,994.33,5906.0,9651.0
2019-06-01,141.222,839.0,1370.0,1010.158,6000.0,9805.0
2019-07-01,222.623,1322.0,2161.0,1114.649,6621.0,10819.0
2019-08-01,261.498,1553.0,2539.0,1162.874,6907.0,11287.0
2019-09-01,230.099,1367.0,2233.0,1070.592,6359.0,10391.0
2019-10-01,235.671,1400.0,2288.0,953.195,5662.0,9252.0
2019-11-01,231.131,1373.0,2244.0,1036.686,6158.0,10062.0
2019-12-01,239.727,1424.0,2326.0,1118.657,6645.0,10858.0
2020-01-01,313.595,1870.0,3278.0,1026.731,6122.0,10732.0
2020-02-01,276.934,1651.0,2895.0,923.561,5506.0,9653.0
2020-03-01,307.415,1833.0,3213.0,973.163,5802.0,10171.0
