measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,47.0,1035.0,1035.0,1430.0,19902.0,19902.0,2238.0,33807.0,33807.0
2001-02-01,0.0,0.0,0.0,112.0,1899.0,1899.0,1209.0,15526.0,15526.0,3620.0,50481.0,50481.0
2001-03-01,0.0,0.0,0.0,112.0,1899.0,1899.0,0.0,0.0,0.0,3620.0,50481.0,50481.0
2001-04-01,0.0,0.0,0.0,36.0,870.0,870.0,157.0,3824.0,3824.0,263.0,6980.0,6980.0
2001-05-01,0.0,0.0,0.0,436.0,6709.0,6709.0,2024.0,23715.0,23715.0,7279.0,92641.0,92641.0
2001-06-01,0.0,0.0,0.0,-10.0,0.0,0.0,6690.0,76683.0,76683.0,6732.0,83809.0,83809.0
2001-07-01,0.0,0.0,0.0,180.0,3005.0,3005.0,17887.0,262333.0,262333.0,0.0,0.0,0.0
2001-08-01,0.0,0.0,0.0,651.0,10837.0,10837.0,19202.0,234663.0,234663.0,0.0,0.0,0.0
2001-09-01,0.0,0.0,0.0,-8.0,0.0,0.0,-176.0,1494.0,1494.0,0.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,2.0,235.0,235.0,2323.0,30530.0,30530.0,250.0,3576.0,3576.0
2001-11-01,0.0,0.0,0.0,-10.0,100.0,100.0,-197.0,1971.0,1971.0,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,-13.0,6.0,6.0,-233.0,4366.0,4366.0,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,-6.0,180.0,180.0,3048.0,46510.0,46510.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,-14.0,0.0,0.0,199.0,2688.0,2688.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,44.0,847.0,847.0,8909.0,116581.0,116581.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,-11.0,0.0,0.0,1870.0,27216.0,27216.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,-11.0,6.0,6.0,0.0,0.0,0.0,15.0,359.0,359.0
2002-06-01,0.0,0.0,0.0,198.0,3225.0,3225.0,0.0,0.0,0.0,1719.0,22497.0,22497.0
2002-07-01,0.0,0.0,0.0,-10.0,0.0,0.0,26612.0,342107.0,342107.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,64.0,1180.0,1180.0,23103.0,269158.0,269158.0,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,197.0,3304.0,3304.0,12434.0,142104.0,142104.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,-11.0,0.0,0.0,3222.0,36236.0,36236.0,598.0,6744.0,6744.0
2002-11-01,0.0,0.0,0.0,-13.0,0.0,0.0,1201.0,19148.0,19148.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,-15.0,17.0,17.0,-232.0,4059.0,4059.0,0.0,0.0,0.0
2003-01-01,,,,-8.5,0.0,0.0,2817.0,29863.0,29863.0,8069.0,85833.0,85833.0
2003-02-01,,,,-9.5,0.0,0.0,10356.0,110761.0,110761.0,2692.0,28886.0,28886.0
2003-03-01,,,,0.0,0.0,0.0,4464.0,43645.0,43645.0,0.0,0.0,0.0
2003-04-01,,,,-5.0,0.0,0.0,17241.0,191177.0,191177.0,0.0,0.0,0.0
2003-05-01,,,,-5.0,0.0,0.0,1982.0,22908.0,22908.0,4198.0,48693.0,48693.0
2003-06-01,,,,-4.5,0.0,0.0,5572.0,60224.0,60224.0,685.0,7428.0,7428.0
2003-07-01,,,,63.0,1062.0,1062.0,6214.0,76401.0,76401.0,0.0,0.0,0.0
2003-08-01,,,,341.0,5481.0,5481.0,29803.0,340885.0,340885.0,0.0,0.0,0.0
2003-09-01,,,,39.0,672.5,672.5,4429.0,54764.0,54764.0,0.0,0.0,0.0
2003-10-01,,,,62.5,1212.5,1212.5,1668.0,20624.0,20624.0,0.0,0.0,0.0
2003-11-01,,,,104.5,1693.5,1693.5,23593.0,265364.0,265364.0,0.0,0.0,0.0
2003-12-01,,,,77.5,1230.0,1230.0,5130.0,54176.0,54176.0,6783.0,71886.0,71886.0
2004-01-01,,,,102.36800000000001,1781.5,1781.5,1353.018,15698.0,15698.0,8771.282000000001,92811.0,92811.0
2004-02-01,,,,2.8755,50.0,50.0,1228.391,14252.0,14252.0,8651.843,91548.0,91548.0
2004-03-01,,,,32.344,563.0,563.0,1269.449,14728.0,14728.0,6550.2970000000005,69311.0,69311.0
2004-04-01,,,,3.854,67.0,67.0,1209.246,14030.0,14030.0,557.903,5903.0,5903.0
2004-05-01,,,,29.053,505.5,505.5,1339.75,15544.0,15544.0,337.028,3566.0,3566.0
2004-06-01,,,,114.5525,1993.5,1993.5,1240.596,14393.0,14393.0,348.744,3690.0,3690.0
2004-07-01,,,,94.83800000000001,1650.5,1650.5,987.359,11455.0,11455.0,29.045,307.0,307.0
2004-08-01,,,,0.0,0.0,0.0,901.0490000000001,10454.0,10454.0,63.915,676.0,676.0
2004-09-01,,,,36.1685,629.5,629.5,1071.035,12426.0,12426.0,0.0,0.0,0.0
2004-10-01,,,,14.111500000000001,245.5,245.5,1001.796,11623.0,11623.0,0.0,0.0,0.0
2004-11-01,,,,1.601,28.0,28.0,891.3,10341.0,10341.0,4526.3330000000005,47894.0,47894.0
2004-12-01,,,,74.23400000000001,1292.0,1292.0,1270.011,14735.0,14735.0,4666.61,49379.0,49379.0
2005-01-01,,,,921.509,18069.09,18069.09,1293.967,14873.07,14873.07,4939.3060000000005,52959.81,52959.81
2005-02-01,,,,316.601,6207.96,6207.96,1035.182,11898.55,11898.55,3699.6380000000004,39667.95,39667.95
2005-03-01,,,,350.913,6880.75,6880.75,1436.507,16511.45,16511.45,3134.791,33611.6,33611.6
2005-04-01,,,,425.055,8334.55,8334.55,1363.613,15673.59,15673.59,2511.614,26929.82,26929.82
