measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,4623.0,47344.14,47344.14
2003-02-01,2819.0,28869.38,28869.38
2003-03-01,4882.0,49996.56,49996.56
2003-04-01,4548.0,46576.07,46576.07
2003-05-01,5674.0,58107.43,58107.43
2003-06-01,5460.0,55915.86,55915.86
2003-07-01,5884.0,60258.04,60258.04
2003-08-01,4451.0,45582.69,45582.69
2003-09-01,3956.0,40513.4,40513.4
2003-10-01,2592.0,26544.67,26544.67
2003-11-01,6697.0,68583.98,68583.98
2003-12-01,5674.0,58107.43,58107.43
2004-01-01,3677.637,36857.28,36857.28
2004-02-01,3991.235,40000.16,40000.16
2004-03-01,2812.936,28191.24,28191.24
2004-04-01,2141.239,21459.5,21459.5
2004-05-01,2265.234,22702.18,22702.18
2004-06-01,2802.949,28091.15,28091.15
2004-07-01,3332.905,33402.37,33402.37
2004-08-01,3759.3590000000004,37676.3,37676.3
2004-09-01,6765.298000000001,67801.82,67801.82
2004-10-01,3920.21,39288.34,39288.34
2004-11-01,3759.9350000000004,37682.07,37682.07
2004-12-01,6317.064,63309.62,63309.62
2005-01-01,5741.077,57405.03,57405.03
2005-02-01,4963.72,49632.23,49632.23
2005-03-01,5437.548000000001,54370.04,54370.04
2005-04-01,5193.9710000000005,51934.51,51934.51
2005-05-01,4698.407,46979.38,46979.38
2005-06-01,5292.312,52917.83,52917.83
2005-07-01,5680.643,56800.75,56800.75
2005-08-01,4806.535,48060.55,48060.55
2005-09-01,3977.1420000000003,39767.44,39767.44
2005-10-01,3394.427,33940.87,33940.87
2005-11-01,3632.7110000000002,36323.48,36323.48
2005-12-01,4446.5070000000005,44460.62,44460.62
2006-01-01,2932.054,29083.0,29083.0
2006-02-01,2643.846,26224.0,26224.0
2006-03-01,2329.266,23104.0,23104.0
2006-04-01,2535.329,25148.0,25148.0
2006-05-01,2997.603,29733.0,29733.0
2006-06-01,2945.34,29215.0,29215.0
2006-07-01,3088.592,30636.0,30636.0
2006-08-01,3066.273,30414.0,30414.0
2006-09-01,1990.374,19743.0,19743.0
2006-10-01,1754.655,17404.0,17404.0
2006-11-01,2055.281,20386.0,20386.0
2006-12-01,2176.387,21588.0,21588.0
2007-01-01,2401.994,23741.0,23741.0
2007-02-01,1635.796,16168.0,16168.0
2007-03-01,1863.3010000000002,18417.0,18417.0
2007-04-01,1272.71,12579.0,12579.0
2007-05-01,1602.81,15842.0,15842.0
2007-06-01,1716.17,16963.0,16963.0
2007-07-01,1863.851,18422.0,18422.0
2007-08-01,2028.914,20054.0,20054.0
2007-09-01,1711.996,16921.0,16921.0
2007-10-01,1850.195,18287.0,18287.0
2007-11-01,1518.736,15011.0,15011.0
2007-12-01,1104.528,10917.0,10917.0
2008-01-01,1984.4470000000001,19555.0,19555.0
2008-02-01,2327.312,22933.0,22933.0
2008-03-01,2119.859,20889.0,20889.0
2008-04-01,1790.843,17647.0,17647.0
2008-05-01,1858.4360000000001,18313.0,18313.0
2008-06-01,1700.817,16760.0,16760.0
2008-07-01,1759.6170000000002,17339.0,17339.0
2008-08-01,2390.681,23558.0,23558.0
2008-09-01,2344.569,23103.0,23103.0
2008-10-01,2419.2940000000003,23840.0,23840.0
2008-11-01,2204.121,21719.0,21719.0
2008-12-01,2148.004,21166.0,21166.0
2009-01-01,3426.886,33446.0,33446.0
2009-02-01,2751.079,26851.0,26851.0
2009-03-01,3998.732,39028.0,39028.0
2009-04-01,4062.84,39653.0,39653.0
2009-05-01,3528.9260000000004,34442.0,34442.0
2009-06-01,3643.5750000000003,35561.0,35561.0
2009-07-01,3837.8720000000003,37458.0,37458.0
2009-08-01,3807.0660000000003,37157.0,37157.0
2009-09-01,4563.479,44540.0,44540.0
2009-10-01,5052.854,49316.0,49316.0
2009-11-01,5540.859,54079.0,54079.0
2009-12-01,8948.832,87341.0,87341.0
2010-01-01,5125.502,50004.0,50004.0
2010-02-01,6239.015,60868.0,60868.0
2010-03-01,4706.1900000000005,45914.0,45914.0
2010-04-01,3119.875,30438.0,30438.0
2010-05-01,3970.833,38739.0,38739.0
2010-06-01,3423.076,33396.0,33396.0
2010-07-01,3255.4120000000003,31760.0,31760.0
2010-08-01,3049.731,29753.0,29753.0
2010-09-01,2599.8410000000003,25364.0,25364.0
2010-10-01,2468.2780000000002,24081.0,24081.0
2010-11-01,2255.259,22002.0,22002.0
2010-12-01,2967.9880000000003,28956.0,28956.0
2011-01-01,2552.28,24798.0,24798.0
2011-02-01,2734.589,26569.0,26569.0
2011-03-01,3970.705,38579.0,38579.0
2011-04-01,3525.387,34253.0,34253.0
2011-05-01,2887.153,28052.0,28052.0
2011-06-01,2719.352,26421.0,26421.0
2011-07-01,2675.504,25995.0,25995.0
2011-08-01,3073.42,29861.0,29861.0
2011-09-01,2857.851,27767.0,27767.0
2011-10-01,2431.574,23625.0,23625.0
2011-11-01,2428.269,23593.0,23593.0
2011-12-01,2527.916,24561.0,24561.0
2012-01-01,2890.402,27505.0,27505.0
2012-02-01,2341.483,22282.0,22282.0
2012-03-01,2238.503,21302.0,21302.0
2012-04-01,2101.469,19998.0,19998.0
2012-05-01,2483.439,23632.0,23632.0
2012-06-01,2418.175,23011.0,23011.0
2012-07-01,2423.479,23062.0,23062.0
2012-08-01,2539.718,24168.0,24168.0
2012-09-01,2369.394,22547.0,22547.0
2012-10-01,2760.178,26266.0,26266.0
2012-11-01,2504.463,23832.0,23832.0
2012-12-01,2271.297,21614.0,21614.0
2013-01-01,3983.944,38011.0,38011.0
2013-02-01,5335.037,50902.0,50902.0
2013-03-01,4334.957,41360.0,41360.0
2013-04-01,4407.487,42052.0,42052.0
2013-05-01,6264.143,59766.0,59766.0
2013-06-01,4250.504,40554.0,40554.0
2013-07-01,9524.279,90871.0,90871.0
2013-08-01,6515.384,62163.0,62163.0
2013-09-01,3912.381,37328.0,37328.0
2013-10-01,4116.058,39271.0,39271.0
2013-11-01,3609.59,34439.0,34439.0
2013-12-01,7566.236,72189.0,72189.0
2014-01-01,5236.189,49796.0,49796.0
2014-02-01,3426.227,32583.0,32583.0
2014-03-01,2752.522,26176.0,26176.0
2014-04-01,4235.373,40278.0,40278.0
2014-05-01,2613.219,24852.0,24852.0
2014-06-01,2127.552,20233.0,20233.0
2014-07-01,2656.314,25262.0,25262.0
2014-08-01,2650.693,25208.0,25208.0
2014-09-01,2167.817,20616.0,20616.0
2014-10-01,2318.152,22046.0,22046.0
2014-11-01,2078.033,19762.0,19762.0
2014-12-01,2616.909,24887.0,24887.0
2015-01-01,3482.716,32455.0,32455.0
2015-02-01,2965.05,27631.0,27631.0
2015-03-01,2755.144,25675.0,25675.0
2015-04-01,3258.214,30363.0,30363.0
2015-05-01,2397.426,22342.0,22342.0
2015-06-01,2712.146,25274.0,25274.0
2015-07-01,2856.663,26621.0,26621.0
2015-08-01,2755.051,25674.0,25674.0
2015-09-01,2480.892,23119.0,23119.0
2015-10-01,2636.384,24568.0,24568.0
2015-11-01,4884.003,45514.0,45514.0
2015-12-01,4923.311,45880.0,45880.0
2016-01-01,7014.244,64756.0,64756.0
2016-02-01,4260.657,39334.0,39334.0
2016-03-01,3544.438,32722.0,32722.0
2016-04-01,2557.116,23607.0,23607.0
2016-05-01,2148.82,19838.0,19838.0
2016-06-01,2024.088,18686.0,18686.0
2016-07-01,1748.336,16141.0,16141.0
2016-08-01,2146.681,19818.0,19818.0
2016-09-01,1744.564,16106.0,16106.0
2016-10-01,1815.707,16763.0,16763.0
2016-11-01,1727.602,15949.0,15949.0
