measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,7.597,183.0,183.0,73.001,1796.0,1796.0
2003-02-01,6.277,151.0,151.0,60.322,1484.0,1484.0
2003-03-01,6.666,161.0,161.0,64.062,1576.0,1576.0
2003-04-01,6.35,153.0,153.0,61.019000000000005,1502.0,1502.0
2003-05-01,6.54,158.0,158.0,62.845,1547.0,1547.0
2003-06-01,6.899,166.0,166.0,66.3,1632.0,1632.0
2003-07-01,8.306000000000001,200.0,200.0,79.816,1964.0,1964.0
2003-08-01,8.028,194.0,194.0,77.15100000000001,1899.0,1899.0
2003-09-01,6.464,156.0,156.0,62.118,1529.0,1529.0
2003-10-01,6.178,149.0,149.0,59.364000000000004,1461.0,1461.0
2003-11-01,5.175,125.0,125.0,49.731,1224.0,1224.0
2003-12-01,7.521000000000001,181.0,181.0,72.271,1779.0,1779.0
2004-01-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-02-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-03-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-04-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-05-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-06-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-07-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-08-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-09-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-10-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-11-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2004-12-01,7.083,97.0,97.0,77.917,1081.0,1081.0
2005-01-01,17.778000000000002,317.59,317.59,127.54400000000001,2347.92,2347.92
2005-02-01,9.023,161.19,161.19,105.88,1949.11,1949.11
2005-03-01,10.92,195.08,195.08,131.12300000000002,2413.81,2413.81
2005-04-01,11.379000000000001,203.28,203.28,129.197,2378.35,2378.35
2005-05-01,13.408000000000001,239.53,239.53,152.30200000000002,2803.69,2803.69
2005-06-01,12.14,216.87,216.87,192.21,3538.34,3538.34
2005-07-01,19.439,347.26,347.26,240.89600000000002,4434.59,4434.59
2005-08-01,21.512,384.29,384.29,249.542,4593.76,4593.76
2005-09-01,21.362000000000002,381.63,381.63,189.886,3495.56,3495.56
2005-10-01,12.747,227.71,227.71,151.696,2792.53,2792.53
2005-11-01,10.16,181.51,181.51,129.422,2382.49,2382.49
2005-12-01,22.132,395.38,395.38,126.302,2325.06,2325.06
2006-01-01,12.039,231.0,231.0,67.166,1307.0,1307.0
2006-02-01,11.913,229.0,229.0,79.686,1551.0,1551.0
2006-03-01,10.446,200.0,200.0,90.88900000000001,1769.0,1769.0
2006-04-01,13.78,264.0,264.0,101.662,1979.0,1979.0
2006-05-01,12.453000000000001,239.0,239.0,117.75,2292.0,2292.0
2006-06-01,14.894,286.0,286.0,150.045,2920.0,2920.0
2006-07-01,14.448,277.0,277.0,188.64,3671.0,3671.0
2006-08-01,15.549000000000001,298.0,298.0,191.019,3718.0,3718.0
2006-09-01,11.046000000000001,212.0,212.0,129.97,2529.0,2529.0
2006-10-01,14.218,273.0,273.0,117.676,2290.0,2290.0
2006-11-01,12.41,238.0,238.0,87.393,1701.0,1701.0
2006-12-01,13.806000000000001,265.0,265.0,91.105,1773.0,1773.0
2007-01-01,19.416,209.0,209.0,21.276,227.0,227.0
2007-02-01,13.424000000000001,143.0,143.0,62.906000000000006,672.0,672.0
2007-03-01,18.142,193.0,193.0,37.948,405.0,405.0
2007-04-01,20.09,215.0,215.0,17.747,190.0,190.0
