measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2020-03-01,-71.35,0.0,0.0
2020-04-01,-68.432,0.0,0.0
2020-05-01,-61.259,0.0,0.0
2020-06-01,-68.234,0.0,0.0
2020-07-01,-76.533,0.0,0.0
2020-08-01,-91.141,0.0,0.0
2020-09-01,-79.53,0.0,0.0
2020-10-01,-90.395,0.0,0.0
2020-11-01,-83.728,0.0,0.0
2020-12-01,-79.398,0.0,0.0
2024-01-01,-138.0,0.0,0.0
2024-02-01,-137.0,0.0,0.0
2024-03-01,-161.0,0.0,0.0
2024-04-01,-164.0,0.0,0.0
2024-05-01,-155.0,0.0,0.0
2024-06-01,-145.0,0.0,0.0
2024-07-01,-182.0,0.0,0.0
2024-08-01,-137.0,0.0,0.0
2024-09-01,-154.0,0.0,0.0
2024-10-01,-97.0,0.0,0.0
2024-11-01,-108.0,0.0,0.0
2024-12-01,-172.0,0.0,0.0
