measured_on,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2014-06-01,2024.101,19249.0,19249.0
2014-07-01,1600.982,15225.0,15225.0
2014-08-01,1624.311,15447.0,15447.0
2014-09-01,1727.613,16430.0,16430.0
2014-10-01,3232.631,30742.0,30742.0
2014-11-01,3802.629,36163.0,36163.0
2014-12-01,3329.733,31666.0,31666.0
2015-01-01,3916.252,36496.0,36496.0
2015-02-01,2540.953,23679.0,23679.0
2015-03-01,3616.829,33705.0,33705.0
2015-04-01,2228.457,20767.0,20767.0
2015-05-01,1535.558,14310.0,14310.0
2015-06-01,1240.41,11559.0,11559.0
2015-07-01,2009.271,18724.0,18724.0
2015-08-01,1775.311,16544.0,16544.0
2015-09-01,2147.708,20014.0,20014.0
2015-10-01,2515.385,23441.0,23441.0
2015-11-01,3171.309,29553.0,29553.0
2015-12-01,3147.557,29332.0,29332.0
2016-01-01,3272.836,30215.0,30215.0
2016-02-01,4371.573,40358.0,40358.0
2016-03-01,3711.367,34263.0,34263.0
2016-04-01,2698.018,24908.0,24908.0
2016-05-01,2330.226,21513.0,21513.0
2016-06-01,2490.019,22988.0,22988.0
2016-07-01,2074.958,19156.0,19156.0
2016-08-01,1873.147,17293.0,17293.0
2016-09-01,2799.32,25843.0,25843.0
2016-10-01,2492.202,23008.0,23008.0
2016-11-01,3397.988,31370.0,31370.0
2016-12-01,4036.346,37264.0,37264.0
2017-01-01,2851.627,26272.0,26272.0
2017-02-01,2789.385,25699.0,25699.0
2017-03-01,2939.038,27077.0,27077.0
2017-04-01,2913.851,26845.0,26845.0
2017-05-01,2787.827,25684.0,25684.0
2017-06-01,2104.205,19386.0,19386.0
2017-07-01,1736.242,15996.0,15996.0
2017-08-01,1887.144,17386.0,17386.0
2017-09-01,1959.939,18057.0,18057.0
2017-10-01,2963.953,27307.0,27307.0
2017-11-01,2834.614,26115.0,26115.0
2017-12-01,3007.175,27705.0,27705.0
2018-01-01,2825.705,25725.0,25725.0
2018-02-01,2623.374,23883.0,23883.0
