measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,18.13215,91.29,866.42,,,,2802.78685,14111.47,133926.56
2004-02-01,,,,8.93423,44.98,425.98,,,,2093.95577,10542.65,99838.84
2004-03-01,,,,8.35135,42.05,398.01,,,,2184.41365,10998.09,104106.14
2004-04-01,,,,4.43125,22.31,210.87,,,,1938.8967499999999,9761.96,92264.61
2004-05-01,,,,11.53451,58.07,551.24,,,,1743.44749,8777.91,83319.81
2004-06-01,,,,6.4595199999999995,32.52,307.92,,,,1594.50248,8028.0,76008.91
2004-07-01,,,,7.98807,40.22,381.44,,,,1383.45293,6965.41,66060.68
2004-08-01,,,,8.05771,40.57,383.97,,,,2178.82829,10969.96,103827.09
2004-09-01,,,,4.70208,23.67,223.73,,,,2168.52892,10918.11,103179.93
2004-10-01,,,,4.7508099999999995,23.92,226.44,,,,1207.11719,6077.59,57535.92
2004-11-01,,,,5.2643,26.5,250.81,,,,1503.9977000000001,7572.33,71655.55
2004-12-01,,,,8.60778,43.34,410.58,,,,1840.63022,9267.2,87795.95
2005-01-01,,,,24.82547,124.99,1244.62,,,,1377.15553,6933.7,69043.38
