measured_on,Natural Gas-Other Generation,Natural Gas-Other Quantity Consumed For Electricity,Natural Gas-Other Total Fuel Consumed,Other-Other Generation,Other-Other Quantity Consumed For Electricity,Other-Other Total Fuel Consumed
2004-01-01,865.916,102673.0,102673.0,,,
2004-02-01,739.874,87728.0,87728.0,,,
2004-03-01,516.0,61183.0,61183.0,,,
2004-04-01,865.916,102673.0,102673.0,,,
2004-05-01,1220.382,144703.0,144703.0,,,
2004-06-01,1004.4720000000001,119102.0,119102.0,,,
2004-07-01,533.746,63287.0,63287.0,,,
2004-08-01,560.5930000000001,66470.0,66470.0,,,
2004-09-01,572.196,67846.0,67846.0,,,
2004-10-01,394.281,46751.0,46751.0,,,
2004-11-01,170.635,20232.0,20232.0,,,
2004-12-01,505.99,59996.0,59996.0,,,
2005-01-01,621.493,60194.39,60194.39,,,
2005-02-01,560.962,54331.71,54331.71,,,
2005-03-01,605.392,58634.93,58634.93,,,
2005-04-01,608.3,58916.53,58916.53,,,
2005-05-01,668.099,64708.38,64708.38,,,
2005-06-01,858.134,83114.14,83114.14,,,
2005-07-01,1098.857,106429.21,106429.21,,,
2005-08-01,1138.765,110294.54,110294.54,,,
2005-09-01,858.8720000000001,83185.62,83185.62,,,
2005-10-01,666.6510000000001,64568.12,64568.12,,,
2005-11-01,594.812,57610.17,57610.17,,,
2005-12-01,678.663,65731.51,65731.51,,,
2007-01-01,915.3090000000001,5830.0,5830.0,,,
2007-02-01,822.3960000000001,5238.0,5238.0,,,
2007-03-01,945.7,6023.0,6023.0,,,
2007-04-01,943.023,6007.0,6007.0,,,
2007-05-01,1069.767,6814.0,6814.0,,,
2007-06-01,1177.885,7503.0,7503.0,,,
2007-07-01,1214.587,7736.0,7736.0,,,
2007-08-01,1571.833,10012.0,10012.0,,,
2007-09-01,1185.625,7552.0,7552.0,,,
2007-10-01,1160.258,7390.0,7390.0,,,
2007-11-01,870.937,5547.0,5547.0,,,
2007-12-01,887.6790000000001,5654.0,5654.0,,,
2008-01-01,599.605,6626.0,6626.0,,,
2008-02-01,466.565,5156.0,5156.0,,,
2008-03-01,521.956,5767.0,5767.0,,,
2008-04-01,465.755,5146.0,5146.0,,,
2008-05-01,638.373,7054.0,7054.0,,,
