measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2019-03-01,1651.467,18783.0,95550.0
2019-04-01,1265.769,14396.0,73235.0
2019-05-01,1459.171,16596.0,84424.0
2019-06-01,1942.068,22088.0,112364.0
2019-07-01,2938.431,33420.0,170012.0
2019-08-01,3012.133,34258.0,174276.0
2019-09-01,2184.774,24848.0,126407.0
2019-10-01,1621.912,18447.0,93840.0
2019-11-01,1519.973,17287.0,87942.0
2019-12-01,2012.302,22887.0,116428.0
2020-01-01,1827.883,21432.0,107847.0
2020-02-01,2171.401,25460.0,128114.0
2020-03-01,911.643,10689.0,53788.0
2020-04-01,1138.509,13349.0,67173.0
2020-05-01,1692.956,19850.0,99886.0
2020-06-01,1886.297,22117.0,111292.0
2020-07-01,3089.548,36225.0,182286.0
2020-08-01,1740.674,20410.0,102701.0
2020-09-01,1354.624,15883.0,79924.0
2020-10-01,1408.45,16514.0,83099.0
2020-11-01,1141.625,13386.0,67357.0
2020-12-01,1956.92,22945.0,115460.0
2021-01-01,1381.352,15711.0,133150.0
2021-02-01,537.071,6108.0,51768.0
2021-03-01,1106.854,12589.0,106689.0
2021-04-01,1147.509,13051.0,110608.0
2021-05-01,738.381,8398.0,71172.0
2021-06-01,2710.402,30826.0,261255.0
2021-07-01,3233.286,36773.0,311656.0
2021-08-01,2868.075,32620.0,276454.0
2021-09-01,1897.722,21583.0,182921.0
2021-10-01,2222.838,25281.0,214259.0
2021-11-01,2042.427,23229.0,196869.0
2021-12-01,2203.083,25056.0,212354.0
2022-01-01,1700.202,19337.0,98198.0
2022-02-01,1424.658,16203.0,82284.0
2022-03-01,1227.727,13963.0,70909.0
2022-04-01,571.637,6501.0,33016.0
2022-05-01,1663.658,18921.0,96088.0
2022-06-01,2481.459,28222.0,143321.0
2022-07-01,3079.038,35019.0,177835.0
2022-08-01,3051.917,34710.0,176269.0
2022-09-01,2238.91,25464.0,129313.0
2022-10-01,1506.706,17136.0,87022.0
2022-11-01,1245.667,14167.0,71946.0
2022-12-01,1776.421,20204.0,102600.0
2023-01-01,1902.714,21640.0,115891.0
2023-02-01,1256.405,14290.0,76526.0
2023-03-01,1786.535,20319.0,108815.0
2023-04-01,547.783,6230.0,33364.0
2023-05-01,1994.038,22679.0,121454.0
2023-06-01,2356.71,26804.0,143544.0
2023-07-01,2701.161,30721.0,164524.0
2023-08-01,2469.275,28084.0,150401.0
2023-09-01,1990.985,22644.0,121268.0
2023-10-01,1266.948,14409.0,77168.0
2023-11-01,1264.564,14382.0,77022.0
2023-12-01,1795.882,20425.0,109385.0
2024-01-01,1894.312,22211.0,115241.0
2024-02-01,1723.623,20210.0,104859.0
2024-03-01,1077.278,12631.0,65538.0
2024-04-01,684.617,8027.0,41650.0
2024-05-01,2038.684,23904.0,124025.0
2024-06-01,2065.65,24220.0,125666.0
2024-07-01,2920.692,34245.0,177684.0
2024-08-01,2958.32,34687.0,179973.0
2024-09-01,2064.733,24209.0,125610.0
2024-10-01,1161.891,13623.0,70685.0
2024-11-01,1340.287,15715.0,81538.0
2024-12-01,1765.903,20705.0,107431.0
