measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2016-09-01,573.199,5292.0,5292.0
2016-10-01,502.763,4642.0,4642.0
2016-11-01,440.151,4063.0,4063.0
2016-12-01,352.887,3258.0,3258.0
2017-01-01,126.753,1168.0,1168.0
2017-02-01,206.51,1903.0,1903.0
2017-03-01,283.523,2612.0,2612.0
2017-04-01,298.96,2754.0,2754.0
2017-05-01,296.73,2734.0,2734.0
2017-06-01,356.419,3284.0,3284.0
2017-07-01,348.529,3211.0,3211.0
2017-08-01,345.613,3184.0,3184.0
2017-09-01,279.063,2571.0,2571.0
2017-10-01,246.474,2271.0,2271.0
2017-11-01,151.452,1395.0,1395.0
2017-12-01,110.974,1022.0,1022.0
2018-01-01,135.536,1234.0,1234.0
2018-02-01,148.382,1351.0,1351.0
2018-03-01,239.09,2177.0,2177.0
2018-04-01,266.878,2430.0,2430.0
2018-05-01,336.351,3062.0,3062.0
2018-06-01,327.962,2986.0,2986.0
2018-07-01,385.375,3508.0,3508.0
2018-08-01,311.446,2835.0,2835.0
2018-09-01,192.687,1754.0,1754.0
2018-10-01,184.823,1683.0,1683.0
2018-11-01,110.369,1005.0,1005.0
2018-12-01,153.101,1394.0,1394.0
2019-01-01,63.385,564.0,564.0
2019-02-01,73.203,652.0,652.0
2019-03-01,102.902,916.0,916.0
2019-04-01,112.781,1004.0,1004.0
2019-05-01,113.885,1014.0,1014.0
2019-06-01,125.605,1119.0,1119.0
2019-07-01,150.395,1339.0,1339.0
2019-08-01,124.501,1109.0,1109.0
2019-09-01,117.383,1045.0,1045.0
2019-10-01,79.401,707.0,707.0
2019-11-01,64.122,571.0,571.0
2019-12-01,40.437,360.0,360.0
2020-01-01,128.641,1128.0,1128.0
2020-02-01,168.498,1477.0,1477.0
2020-03-01,256.384,2248.0,2248.0
2020-04-01,245.822,2155.0,2155.0
2020-05-01,346.562,3038.0,3038.0
2020-06-01,327.431,2871.0,2871.0
2020-07-01,322.448,2827.0,2827.0
2020-08-01,304.811,2672.0,2672.0
2020-09-01,264.655,2320.0,2320.0
2020-10-01,192.413,1687.0,1687.0
2020-11-01,137.609,1206.0,1206.0
2020-12-01,104.726,918.0,918.0
2021-01-01,150.43,1330.0,1330.0
2021-02-01,118.815,1051.0,1051.0
2021-03-01,376.072,3326.0,3326.0
2021-04-01,304.384,2692.0,2692.0
2021-05-01,378.305,3346.0,3346.0
2021-06-01,392.173,3468.0,3468.0
2021-07-01,308.614,2729.0,2729.0
2021-08-01,311.082,2751.0,2751.0
2021-09-01,289.106,2557.0,2557.0
2021-10-01,213.656,1890.0,1890.0
2021-11-01,211.306,1869.0,1869.0
2021-12-01,113.057,1000.0,1000.0
2022-01-01,262.773,897.0,897.0
2022-02-01,172.928,590.0,590.0
2022-03-01,258.084,881.0,881.0
2022-04-01,315.327,1076.0,1076.0
2022-05-01,354.907,1211.0,1211.0
2022-06-01,356.978,1218.0,1218.0
2022-07-01,394.05,1344.0,1344.0
2022-08-01,347.601,1186.0,1186.0
2022-09-01,288.178,983.0,983.0
2022-10-01,228.427,779.0,779.0
2022-11-01,188.411,643.0,643.0
2022-12-01,122.336,417.0,417.0
2023-01-01,111.0,379.0,379.0
2023-02-01,196.0,669.0,669.0
2023-03-01,280.0,955.0,955.0
2023-04-01,307.0,1047.0,1047.0
2023-05-01,439.0,1498.0,1498.0
2023-06-01,324.0,1105.0,1105.0
2023-07-01,343.0,1170.0,1170.0
2023-08-01,288.0,983.0,983.0
2023-09-01,250.0,853.0,853.0
2023-10-01,253.0,863.0,863.0
2023-11-01,223.0,761.0,761.0
2023-12-01,131.0,447.0,447.0
2024-01-01,131.0,447.0,447.0
2024-02-01,202.0,689.0,689.0
2024-03-01,244.0,833.0,833.0
2024-04-01,297.0,1013.0,1013.0
2024-05-01,327.0,1116.0,1116.0
2024-06-01,360.0,1228.0,1228.0
2024-07-01,310.0,1058.0,1058.0
2024-08-01,315.0,1075.0,1075.0
2024-09-01,267.0,911.0,911.0
2024-10-01,297.0,1013.0,1013.0
2024-11-01,213.0,727.0,727.0
2024-12-01,168.0,573.0,573.0
