measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,4.0,104.0,104.0,-10.0,0.0,0.0,146.0,3988.0,3988.0,0.0,0.0,0.0
2003-02-01,4.0,99.0,99.0,0.0,0.0,0.0,117.0,3011.0,3011.0,0.0,0.0,0.0
2003-03-01,-55.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,1.0,29.0,29.0,-10.0,0.0,0.0,,,,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,8.0,162.0,162.0,,,,555.0,12027.0,12027.0,0.0,0.0,0.0
2003-07-01,19.0,284.0,284.0,10.0,197.0,197.0,333.0,4977.0,4977.0,0.0,0.0,0.0
2003-08-01,6.0,133.0,133.0,-1.0,0.0,0.0,316.0,7270.0,7270.0,0.0,0.0,0.0
2003-09-01,10.0,197.0,197.0,-2.0,0.0,0.0,665.0,13028.0,13028.0,0.0,0.0,0.0
2003-10-01,,,,-3.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,,,,-12.0,0.0,0.0,164.0,4643.0,4643.0,0.0,0.0,0.0
2003-12-01,-5.0,0.0,0.0,-12.0,0.0,0.0,-73.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,2.0,58.0,58.0,-12.0,17.0,17.0,77.0,2898.0,2898.0,0.0,0.0,0.0
2004-02-01,1.0,41.0,41.0,-4.0,64.0,64.0,71.0,2583.0,2583.0,0.0,0.0,0.0
2004-03-01,1.0,41.0,41.0,-11.0,0.0,0.0,104.0,2942.0,2942.0,0.0,0.0,0.0
2004-04-01,0.0,41.0,41.0,-12.0,0.0,0.0,-27.0,290.0,290.0,0.0,0.0,0.0
2004-05-01,11.0,209.0,209.0,42.0,545.0,545.0,1653.0,30650.0,30650.0,0.0,0.0,0.0
2004-06-01,7.0,151.0,151.0,-4.0,46.0,46.0,198.0,4397.0,4397.0,0.0,0.0,0.0
2004-07-01,5.0,116.0,116.0,-11.0,0.0,0.0,359.0,8272.0,8272.0,0.0,0.0,0.0
2004-08-01,0.0,29.0,29.0,-11.0,0.0,0.0,-34.0,69.0,69.0,0.0,0.0,0.0
2004-09-01,3.0,58.0,58.0,-9.0,0.0,0.0,194.0,4082.0,4082.0,0.0,0.0,0.0
2004-10-01,7.0,215.0,215.0,27.0,365.0,365.0,234.0,7730.0,7730.0,0.0,0.0,0.0
2004-11-01,1.0,58.0,58.0,-8.0,52.0,52.0,46.0,2205.0,2205.0,0.0,0.0,0.0
2004-12-01,4.0,104.0,104.0,-10.0,29.0,29.0,407.0,9538.0,9538.0,0.0,0.0,0.0
2005-01-01,4.0,104.5,104.5,1.0,121.0,121.0,203.0,5591.2,5591.2,,,
2005-02-01,-2.0,11.12,11.12,-5.0,66.7,66.7,-64.0,325.38,325.38,,,
2005-03-01,-1.0,38.5,38.5,-11.0,0.0,0.0,-24.0,1010.61,1010.61,,,
2005-04-01,4.0,83.4,83.4,-2.0,72.28,72.28,355.0,6512.0,6512.0,,,
2005-05-01,1.0,38.85,38.85,-6.0,0.0,0.0,9.0,1170.18,1170.18,,,
2005-06-01,6.0,104.5,104.5,-9.0,0.0,0.0,306.0,5785.89,5785.89,,,
2005-07-01,22.0,689.44,689.44,-9.0,0.0,0.0,55.0,1728.64,1728.64,,,
2005-08-01,-3.0,60.5,60.5,10.0,170.5,170.5,-16.0,378.24,378.24,,,
2005-09-01,7.0,154.0,154.0,-9.0,0.0,0.0,389.0,8761.5,8761.5,,,
2005-10-01,1.0,66.0,66.0,45.0,500.5,500.5,71.0,3292.2,3292.2,,,
2005-11-01,13.0,266.88,266.88,-11.0,0.0,0.0,554.0,11601.33,11601.33,,,
2005-12-01,12.0,263.2,263.2,-8.0,52.2,52.2,686.0,14685.1,14685.1,,,
2006-01-01,17.0,363.0,363.0,6.0,182.0,182.0,1835.0,38551.0,38551.0,,,
2006-02-01,12.0,325.0,325.0,12.0,226.0,226.0,772.0,20208.0,20208.0,,,
2006-03-01,2.0,61.0,61.0,-8.0,44.0,44.0,131.0,4696.0,4696.0,,,
2006-04-01,0.0,0.0,0.0,-12.0,0.0,0.0,-67.0,0.0,0.0,,,
2006-05-01,1.0,56.0,56.0,5.0,122.0,122.0,38.0,1552.0,1552.0,,,
2006-06-01,12.0,248.0,248.0,25.0,336.0,336.0,771.0,16078.0,16078.0,,,
2006-07-01,6.0,139.0,139.0,6.0,178.0,178.0,204.0,4977.0,4977.0,,,
2006-08-01,7.0,193.0,193.0,-10.0,0.0,0.0,143.0,3870.0,3870.0,,,
2006-09-01,6.0,121.0,121.0,-7.0,33.0,33.0,421.0,9045.0,9045.0,,,
2006-10-01,19.0,416.0,416.0,3.0,122.0,122.0,1540.0,33131.0,33131.0,,,
2006-11-01,14.0,286.0,286.0,-3.0,77.0,77.0,783.0,16184.0,16184.0,,,
2006-12-01,15.0,325.0,325.0,10.0,193.0,193.0,665.0,14762.0,14762.0,,,
2007-01-01,8.106,207.0,207.0,-2.0,90.0,90.0,271.894,6950.0,6950.0,,,
2007-02-01,5.523000000000001,174.0,174.0,2.0,95.0,95.0,151.477,4761.0,4761.0,,,
2007-03-01,-5.152,11.0,11.0,-14.0,0.0,0.0,-67.848,148.0,148.0,,,
2007-04-01,8.112,162.0,162.0,-13.0,0.0,0.0,605.888,12130.0,12130.0,,,
2007-05-01,11.001000000000001,336.0,336.0,11.0,258.0,258.0,118.99900000000001,3634.0,3634.0,,,
2007-06-01,73.87400000000001,1445.0,1445.0,117.0,1165.0,1165.0,1285.126,25134.0,25134.0,,,
2007-07-01,24.062,454.0,454.0,8.0,185.0,185.0,702.938,13251.0,13251.0,,,
2007-08-01,39.228,801.0,801.0,-4.0,45.0,45.0,1592.7720000000002,32515.0,32515.0,,,
2007-09-01,0.234,11.0,11.0,-9.0,0.0,0.0,15.766,755.0,755.0,,,
2007-10-01,9.335,218.0,218.0,-2.0,78.0,78.0,421.665,9865.0,9865.0,,,
2007-11-01,16.576,347.0,347.0,-4.0,50.0,50.0,1168.424,24473.0,24473.0,,,
2007-12-01,4.7860000000000005,101.0,101.0,-10.0,0.0,0.0,334.214,7039.0,7039.0,,,
2008-01-01,12.815000000000001,319.0,319.0,-1.1460000000000001,132.0,132.0,666.909,16544.0,16544.0,,,
2008-02-01,11.728,292.0,292.0,-1.0490000000000002,121.0,121.0,610.436,15145.0,15145.0,,,
2008-03-01,7.848000000000001,193.0,193.0,-0.7020000000000001,83.0,83.0,408.466,10136.0,10136.0,,,
2008-04-01,7.9190000000000005,198.0,198.0,-0.7080000000000001,83.0,83.0,412.19,10225.0,10225.0,,,
2008-05-01,8.284,204.0,204.0,-0.741,88.0,88.0,431.17900000000003,10697.0,10697.0,,,
2008-06-01,5.549,138.0,138.0,-0.496,61.0,61.0,288.84200000000004,7169.0,7169.0,,,
2008-07-01,5.766,143.0,143.0,-0.516,61.0,61.0,300.12800000000004,7446.0,7446.0,,,
2008-08-01,5.707,143.0,143.0,-0.51,61.0,61.0,297.015,7369.0,7369.0,,,
2008-09-01,5.954000000000001,149.0,149.0,-0.532,61.0,61.0,309.906,7688.0,7688.0,,,
2008-10-01,6.7780000000000005,171.0,171.0,-0.606,72.0,72.0,352.80600000000004,8756.0,8756.0,,,
2008-11-01,8.267000000000001,204.0,204.0,-0.739,88.0,88.0,430.269,10673.0,10673.0,,,
2008-12-01,14.029,347.0,347.0,-1.2550000000000001,149.0,149.0,730.21,18119.0,18119.0,,,
2009-01-01,28.786,638.0,638.0,24.586000000000002,391.0,391.0,1397.981,30916.0,30916.0,,,
2009-02-01,21.127000000000002,468.0,468.0,18.044,286.0,286.0,1026.018,22691.0,22691.0,,,
2009-03-01,21.944000000000003,484.0,484.0,18.741,297.0,297.0,1065.689,23565.0,23565.0,,,
2009-04-01,22.547,501.0,501.0,19.256,308.0,308.0,1094.973,24214.0,24214.0,,,
2009-05-01,13.517000000000001,297.0,297.0,11.545,182.0,182.0,656.461,14520.0,14520.0,,,
2009-06-01,13.274000000000001,292.0,292.0,11.337,182.0,182.0,644.647,14254.0,14254.0,,,
2009-07-01,14.965,330.0,330.0,12.781,204.0,204.0,726.779,16072.0,16072.0,,,
2009-08-01,14.888,330.0,330.0,12.715,204.0,204.0,723.0120000000001,15989.0,15989.0,,,
2009-09-01,9.917,220.0,220.0,8.47,138.0,138.0,481.62100000000004,10650.0,10650.0,,,
2009-10-01,9.826,220.0,220.0,8.392000000000001,132.0,132.0,477.202,10555.0,10555.0,,,
2009-11-01,18.678,413.0,413.0,15.952,253.0,253.0,907.087,20060.0,20060.0,,,
2009-12-01,18.946,418.0,418.0,16.181,259.0,259.0,920.115,20349.0,20349.0,,,
2010-01-01,22.031000000000002,506.0,506.0,-7.877000000000001,110.0,110.0,1340.1770000000001,30645.0,30645.0,,,
2010-02-01,17.503,402.0,402.0,-6.257000000000001,94.0,94.0,1064.797,24355.0,24355.0,,,
2010-03-01,15.492,352.0,352.0,-5.538,83.0,83.0,942.4680000000001,21559.0,21559.0,,,
2010-04-01,13.716000000000001,314.0,314.0,-4.9030000000000005,72.0,72.0,834.4050000000001,19087.0,19087.0,,,
2010-05-01,11.405000000000001,259.0,259.0,-4.077,61.0,61.0,693.8480000000001,15871.0,15871.0,,,
2010-06-01,8.953000000000001,204.0,204.0,-3.201,50.0,50.0,544.6560000000001,12461.0,12461.0,,,
2010-07-01,10.272,237.0,237.0,-3.672,55.0,55.0,624.8910000000001,14296.0,14296.0,,,
2010-08-01,10.473,242.0,242.0,-3.744,55.0,55.0,637.097,14573.0,14573.0,,,
2010-09-01,9.589,220.0,220.0,-3.4280000000000004,50.0,50.0,583.3530000000001,13346.0,13346.0,,,
2010-10-01,11.494,264.0,264.0,-4.109,61.0,61.0,699.2660000000001,15995.0,15995.0,,,
2010-11-01,13.092,297.0,297.0,-4.68,66.0,66.0,796.461,18219.0,18219.0,,,
2010-12-01,23.814,545.0,545.0,-8.514000000000001,127.0,127.0,1448.747,33140.0,33140.0,,,
2011-01-01,28.365,688.0,688.0,-2.52,149.0,149.0,997.126,24302.0,24302.0,,,
2011-02-01,25.33,616.0,616.0,-2.249,132.0,132.0,890.476,21706.0,21706.0,,,
2011-03-01,22.177,539.0,539.0,-1.969,116.0,116.0,779.602,19004.0,19004.0,,,
2011-04-01,14.368,352.0,352.0,-1.276,72.0,72.0,505.113,12313.0,12313.0,,,
2011-05-01,15.059,369.0,369.0,-1.337,77.0,77.0,529.401,12903.0,12903.0,,,
2011-06-01,13.991,341.0,341.0,-1.242,72.0,72.0,491.856,11989.0,11989.0,,,
2011-07-01,14.785,363.0,363.0,-1.313,77.0,77.0,519.767,12667.0,12667.0,,,
2011-08-01,13.345,325.0,325.0,-1.185,66.0,66.0,469.131,11434.0,11434.0,,,
2011-09-01,14.789,363.0,363.0,-1.313,77.0,77.0,519.9,12673.0,12673.0,,,
2011-10-01,26.146,638.0,638.0,-2.322,132.0,132.0,919.129,22402.0,22402.0,,,
2011-11-01,24.207,589.0,589.0,-2.15,127.0,127.0,850.98,20739.0,20739.0,,,
2011-12-01,23.924,583.0,583.0,-2.124,121.0,121.0,841.033,20497.0,20497.0,,,
2012-01-01,16.568,380.0,380.0,-6.858,77.0,77.0,1170.3,27164.0,27164.0,,,
2012-02-01,9.772,226.0,226.0,-4.045,44.0,44.0,690.241,16019.0,16019.0,,,
2012-03-01,14.821,347.0,347.0,-6.135,66.0,66.0,1046.881,24296.0,24296.0,,,
2012-04-01,9.385,220.0,220.0,-3.885,44.0,44.0,662.87,15381.0,15381.0,,,
2012-05-01,11.744,275.0,275.0,-4.861,55.0,55.0,829.487,19252.0,19252.0,,,
2012-06-01,9.583,220.0,220.0,-3.967,44.0,44.0,676.89,15712.0,15712.0,,,
2012-07-01,14.984,347.0,347.0,-6.203,72.0,72.0,1058.366,24562.0,24562.0,,,
2012-08-01,13.962,325.0,325.0,-5.78,66.0,66.0,986.195,22886.0,22886.0,,,
2012-09-01,12.998,303.0,303.0,-5.381,61.0,61.0,918.112,21305.0,21305.0,,,
2012-10-01,9.655,226.0,226.0,-3.997,44.0,44.0,681.96,15830.0,15830.0,,,
2012-11-01,10.355,242.0,242.0,-4.286,50.0,50.0,731.396,16974.0,16974.0,,,
2012-12-01,15.949,369.0,369.0,-6.602,72.0,72.0,1126.526,26143.0,26143.0,,,
2013-01-01,11.692,286.0,286.0,-13.884,6.0,6.0,797.879,19488.0,19488.0,,,
2013-02-01,8.068,198.0,198.0,-9.578,11.0,11.0,550.507,13452.0,13452.0,,,
2013-03-01,8.161,198.0,198.0,-9.688,11.0,11.0,556.838,13605.0,13605.0,,,
2013-04-01,9.413,231.0,231.0,-11.175,17.0,17.0,642.289,15694.0,15694.0,,,
2013-05-01,9.487,231.0,231.0,-11.263,17.0,17.0,647.31,15812.0,15812.0,,,
2013-06-01,6.813,165.0,165.0,-8.088,11.0,11.0,464.86,11358.0,11358.0,,,
2013-07-01,6.451,160.0,160.0,-7.658,11.0,11.0,440.154,10756.0,10756.0,,,
2013-08-01,6.364,154.0,154.0,-7.556,11.0,11.0,434.277,10608.0,10608.0,,,
2013-09-01,7.469,182.0,182.0,-8.868,11.0,11.0,509.67,12455.0,12455.0,,,
2013-10-01,7.188,176.0,176.0,-8.533,11.0,11.0,490.442,11983.0,11983.0,,,
2013-11-01,9.369,231.0,231.0,-11.122,17.0,17.0,639.255,15617.0,15617.0,,,
