measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2012-02-01,1025.234,8702.0,8702.0
2012-03-01,1176.012,9983.0,9983.0
2012-04-01,1114.939,9464.0,9464.0
2012-05-01,1188.762,10091.0,10091.0
2012-06-01,1392.705,11822.0,11822.0
2012-07-01,1618.991,13743.0,13743.0
2012-08-01,1717.434,14578.0,14578.0
2012-09-01,1130.4,9595.0,9595.0
2012-10-01,1070.247,9085.0,9085.0
2012-11-01,840.655,7136.0,7136.0
2012-12-01,1008.621,8562.0,8562.0
2013-01-01,926.324,7972.0,7972.0
2013-02-01,859.978,7400.0,7400.0
2013-03-01,843.917,7262.0,7262.0
2013-04-01,1147.261,9872.0,9872.0
2013-05-01,1132.32,9743.0,9743.0
2013-06-01,1269.459,10924.0,10924.0
2013-07-01,1403.108,12074.0,12074.0
2013-08-01,1558.248,13409.0,13409.0
2013-09-01,1269.221,10922.0,10922.0
2013-10-01,878.862,7562.0,7562.0
2013-11-01,988.881,8510.0,8510.0
2013-12-01,1151.421,9908.0,9908.0
2014-01-01,5317.553,49233.0,49233.0
2014-02-01,4355.323,40323.0,40323.0
2014-03-01,5467.925,50623.0,50623.0
2014-04-01,5294.462,49018.0,49018.0
2014-05-01,5893.54,54564.0,54564.0
2014-06-01,6503.916,60215.0,60215.0
2014-07-01,6818.722,63130.0,63130.0
2014-08-01,7662.385,70940.0,70940.0
2014-09-01,5240.946,48522.0,48522.0
2014-10-01,4364.211,40405.0,40405.0
2014-11-01,4539.04,42023.0,42023.0
2014-12-01,5156.977,47744.0,47744.0
2015-01-01,2635.77,24982.0,24982.0
2015-02-01,2347.019,22246.0,22246.0
2015-03-01,2599.986,24643.0,24643.0
2015-04-01,2577.475,24430.0,24430.0
2015-05-01,1946.322,18448.0,18448.0
2015-06-01,2222.358,21064.0,21064.0
2015-07-01,3137.24,29736.0,29736.0
2015-08-01,3447.83,32680.0,32680.0
2015-09-01,2678.466,25388.0,25388.0
2015-10-01,2425.172,22986.0,22986.0
2015-11-01,2361.708,22385.0,22385.0
2015-12-01,2912.654,27608.0,27608.0
2016-01-01,4601.617,42187.0,42187.0
2016-02-01,4132.046,37880.0,37880.0
2016-03-01,4261.674,39070.0,39070.0
2016-04-01,3911.263,35857.0,35857.0
2016-05-01,4230.791,38786.0,38786.0
2016-06-01,4646.663,42598.0,42598.0
2016-07-01,5798.937,53163.0,53163.0
2016-08-01,5527.183,50671.0,50671.0
2016-09-01,4723.764,43305.0,43305.0
2016-10-01,4534.06,41567.0,41567.0
2016-11-01,3089.236,28321.0,28321.0
2016-12-01,4262.766,39079.0,39079.0
2017-01-01,3565.683,33422.0,33422.0
2017-02-01,2952.506,27675.0,27675.0
2017-03-01,2945.193,27606.0,27606.0
2017-04-01,2463.202,23088.0,23088.0
2017-05-01,3387.523,31752.0,31752.0
2017-06-01,4100.11,38431.0,38431.0
2017-07-01,4675.43,43824.0,43824.0
2017-08-01,3956.444,37084.0,37084.0
2017-09-01,3302.977,30959.0,30959.0
2017-10-01,3319.126,31111.0,31111.0
2017-11-01,2465.271,23107.0,23107.0
2017-12-01,3414.535,32005.0,32005.0
2018-01-01,2544.568,23378.0,23378.0
2018-02-01,2736.355,25140.0,25140.0
2018-03-01,3155.401,28990.0,28990.0
2018-04-01,3722.957,34205.0,34205.0
2018-05-01,4130.954,37954.0,37954.0
2018-06-01,4707.724,43253.0,43253.0
2018-07-01,4514.072,41474.0,41474.0
2018-08-01,5032.004,46232.0,46232.0
2018-09-01,4460.21,40978.0,40978.0
2018-10-01,3183.766,29251.0,29251.0
2018-11-01,3809.196,34998.0,34998.0
2018-12-01,4418.793,40598.0,40598.0
2019-01-01,3576.353,34294.0,34294.0
2019-02-01,3639.096,34896.0,34896.0
2019-03-01,3267.108,31329.0,31329.0
2019-04-01,3479.121,33362.0,33362.0
2019-05-01,3503.904,33599.0,33599.0
2019-06-01,3656.15,35060.0,35060.0
2019-07-01,4885.852,46851.0,46851.0
2019-08-01,5855.8,56152.0,56152.0
2019-09-01,4544.605,43579.0,43579.0
2019-10-01,3997.378,38332.0,38332.0
2019-11-01,3296.058,31607.0,31607.0
2019-12-01,4393.575,42131.0,42131.0
2020-01-01,2373.549,22758.0,22758.0
2020-02-01,2145.865,20574.0,20574.0
2020-03-01,2118.544,20313.0,20313.0
2020-04-01,2206.804,21158.0,21158.0
2020-05-01,2175.748,20860.0,20860.0
2020-06-01,2138.106,20500.0,20500.0
2020-07-01,3031.896,29070.0,29070.0
2020-08-01,3121.858,29932.0,29932.0
2020-09-01,2673.239,25631.0,25631.0
2020-10-01,2153.082,20643.0,20643.0
2020-11-01,1940.633,18606.0,18606.0
2020-12-01,1984.676,19028.0,19028.0
2021-01-01,5564.33,53708.0,53708.0
2021-02-01,4507.473,43507.0,43507.0
2021-03-01,4784.832,46185.0,46185.0
2021-04-01,4097.764,39553.0,39553.0
2021-05-01,5638.59,54425.0,54425.0
2021-06-01,6648.753,64176.0,64176.0
2021-07-01,7019.93,67759.0,67759.0
2021-08-01,6913.392,66730.0,66730.0
2021-09-01,5417.648,52293.0,52293.0
2021-10-01,3768.798,36378.0,36378.0
2021-11-01,3749.467,36191.0,36191.0
2021-12-01,4096.023,39536.0,39536.0
2022-01-01,5488.108,50871.0,50871.0
2022-02-01,5052.218,46831.0,46831.0
2022-03-01,4382.735,40626.0,40626.0
2022-04-01,3900.278,36154.0,36154.0
2022-05-01,6293.962,58342.0,58342.0
2022-06-01,6591.317,61099.0,61099.0
2022-07-01,8589.275,79618.0,79618.0
2022-08-01,8694.059,80590.0,80590.0
2022-09-01,7620.41,70638.0,70638.0
2022-10-01,7012.089,64999.0,64999.0
2022-11-01,7065.638,65495.0,65495.0
2022-12-01,8215.911,76158.0,76158.0
2023-01-01,3826.18,36913.0,36913.0
2023-02-01,3064.056,29560.0,29560.0
2023-03-01,3469.36,33470.0,33470.0
2023-04-01,2899.081,27968.0,27968.0
2023-05-01,3877.024,37403.0,37403.0
2023-06-01,3835.006,36997.0,36997.0
2023-07-01,4139.333,39933.0,39933.0
2023-08-01,4664.024,44995.0,44995.0
2023-09-01,3879.637,37429.0,37429.0
2023-10-01,3071.251,29630.0,29630.0
2023-11-01,3593.676,34669.0,34669.0
2023-12-01,3777.372,36442.0,36442.0
2024-01-01,9744.713,90154.0,90154.0
2024-02-01,9232.506,85414.0,85414.0
2024-03-01,8434.258,78029.0,78029.0
2024-04-01,6711.221,62089.0,62089.0
2024-05-01,8871.592,82075.0,82075.0
2024-06-01,10079.88,93253.0,93253.0
2024-07-01,11292.632,104473.0,104473.0
2024-08-01,9187.74,85000.0,85000.0
2024-09-01,7501.435,69399.0,69399.0
2024-10-01,5816.139,53807.0,53807.0
2024-11-01,4870.297,45057.0,45057.0
2024-12-01,8921.587,82538.0,82538.0
