measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,32.307,402.0,402.0
2003-02-01,30.975,385.0,385.0
2003-03-01,31.297,389.0,389.0
2003-04-01,28.612000000000002,356.0,356.0
2003-05-01,29.123,362.0,362.0
2003-06-01,30.431,379.0,379.0
2003-07-01,35.232,438.0,438.0
2003-08-01,37.701,469.0,469.0
2003-09-01,32.149,400.0,400.0
2003-10-01,31.314,390.0,390.0
2003-11-01,31.486,392.0,392.0
2003-12-01,34.351,427.0,427.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,15.009,153.67,153.67
2005-02-01,5.157,52.8,52.8
2005-03-01,5.715,58.52,58.52
2005-04-01,6.923,70.88,70.88
2005-05-01,6.43,65.83,65.83
2005-06-01,8.345,85.45,85.45
2005-07-01,8.494,86.97,86.97
2005-08-01,9.979000000000001,102.17,102.17
2005-09-01,6.532,66.88,66.88
2005-10-01,7.2540000000000004,74.28,74.28
2005-11-01,5.832,59.71,59.71
2005-12-01,12.331000000000001,126.25,126.25
2006-01-01,4.583,46.0,46.0
2006-02-01,2.398,24.0,24.0
2006-03-01,2.015,20.0,20.0
2006-04-01,3.859,39.0,39.0
2006-05-01,3.607,36.0,36.0
2006-06-01,3.2790000000000004,33.0,33.0
2006-07-01,4.7490000000000006,48.0,48.0
2006-08-01,4.607,46.0,46.0
2006-09-01,2.117,21.0,21.0
2006-10-01,2.236,22.0,22.0
2006-11-01,2.633,26.0,26.0
2006-12-01,2.9170000000000003,29.0,29.0
2007-01-01,3.869,70.0,70.0
2007-02-01,11.952,209.0,209.0
2007-03-01,2.251,41.0,41.0
2007-04-01,2.2,41.0,41.0
2007-05-01,2.4170000000000003,41.0,41.0
2007-06-01,3.4970000000000003,58.0,58.0
2007-07-01,3.1620000000000004,52.0,52.0
2007-08-01,6.299,110.0,110.0
2007-09-01,3.0370000000000004,52.0,52.0
2007-10-01,1.985,35.0,35.0
2007-11-01,2.116,35.0,35.0
2007-12-01,2.214,41.0,41.0
2008-01-01,11.402000000000001,70.0,70.0
2008-02-01,11.095,70.0,70.0
2008-03-01,6.7010000000000005,41.0,41.0
2008-04-01,7.131,46.0,46.0
2008-05-01,3.9290000000000003,23.0,23.0
2008-06-01,12.229000000000001,75.0,75.0
2008-07-01,6.541,41.0,41.0
2008-08-01,3.244,17.0,17.0
2008-09-01,4.589,29.0,29.0
2008-10-01,2.05,12.0,12.0
2008-11-01,2.863,17.0,17.0
2008-12-01,8.226,52.0,52.0
2009-01-01,0.415,6.0,6.0
2009-02-01,0.42300000000000004,6.0,6.0
2009-03-01,0.466,6.0,6.0
2009-04-01,0.35400000000000004,6.0,6.0
2009-05-01,0.683,12.0,12.0
2009-06-01,0.48400000000000004,6.0,6.0
2009-07-01,0.35900000000000004,6.0,6.0
2009-08-01,0.49100000000000005,6.0,6.0
2009-09-01,0.21300000000000002,6.0,6.0
2009-10-01,0.29,6.0,6.0
2009-11-01,0.34600000000000003,6.0,6.0
2009-12-01,0.47600000000000003,6.0,6.0
2010-01-01,0.643,12.0,12.0
2010-02-01,0.41200000000000003,6.0,6.0
2010-03-01,0.249,6.0,6.0
2010-04-01,0.223,6.0,6.0
2010-05-01,0.273,6.0,6.0
2010-06-01,0.196,6.0,6.0
