measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2024-01-01,0.0,0.0,0.0
2024-02-01,-127.0,0.0,0.0
2024-03-01,-229.0,0.0,0.0
2024-04-01,-304.0,0.0,0.0
2024-05-01,-208.0,0.0,0.0
2024-06-01,-183.0,0.0,0.0
2024-07-01,-185.0,0.0,0.0
2024-08-01,-175.0,0.0,0.0
2024-09-01,-207.0,0.0,0.0
2024-10-01,-171.0,0.0,0.0
2024-11-01,-159.0,0.0,0.0
2024-12-01,-115.0,0.0,0.0
