measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,38.694,799.0,799.0
2003-02-01,0.0,0.0,0.0,26.795,554.0,554.0
2003-03-01,0.0,0.0,0.0,27.495,568.0,568.0
2003-04-01,0.0,0.0,0.0,27.808,575.0,575.0
2003-05-01,0.0,0.0,0.0,25.323,523.0,523.0
2003-06-01,0.0,0.0,0.0,26.263,543.0,543.0
2003-07-01,0.0,0.0,0.0,29.663,613.0,613.0
2003-08-01,0.0,0.0,0.0,30.022000000000002,620.0,620.0
2003-09-01,0.0,0.0,0.0,28.021,579.0,579.0
2003-10-01,0.0,0.0,0.0,32.546,672.0,672.0
2003-11-01,0.0,0.0,0.0,29.336000000000002,606.0,606.0
2003-12-01,0.0,0.0,0.0,31.036,641.0,641.0
2004-01-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-02-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-03-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-04-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-05-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-06-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-07-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-08-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-09-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-10-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-11-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2004-12-01,0.0,0.0,0.0,69.333,1257.0,1257.0
2005-01-01,384.57,6433.11,6433.11,,,
2005-02-01,88.521,1480.78,1480.78,,,
2005-03-01,75.961,1270.68,1270.68,,,
2005-04-01,76.004,1271.4,1271.4,,,
