measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,23799.0,285760.5,285760.5,0.0,0.0,0.0
2001-02-01,24566.0,299944.0,299944.0,0.0,0.0,0.0
2001-03-01,24503.5,289207.5,289207.5,0.0,0.0,0.0
2001-04-01,17121.0,206601.0,206601.0,3.0,45.0,45.0
2001-05-01,14443.0,185695.0,185695.0,0.0,0.0,0.0
2001-06-01,21337.5,266251.5,266251.5,0.0,0.0,0.0
2001-07-01,22032.5,272664.5,272664.5,0.0,0.0,0.0
2001-08-01,25227.0,300209.5,300209.5,0.0,0.0,0.0
2001-09-01,17698.0,217292.5,217292.5,0.0,0.0,0.0
2001-10-01,17253.5,221428.5,221428.5,0.0,0.0,0.0
2001-11-01,18348.0,227061.0,227061.0,0.0,0.0,0.0
2001-12-01,24902.0,310137.5,310137.5,1132.0,14707.0,14707.0
2002-01-01,25034.0,306807.0,306807.0,0.0,0.0,0.0
2002-02-01,21379.0,262591.0,262591.0,695.0,8580.0,8580.0
2002-03-01,22044.5,253616.0,253616.0,0.0,0.0,0.0
2002-04-01,17526.0,233714.5,233714.5,0.0,0.0,0.0
2002-05-01,17929.0,218624.5,218624.5,0.0,0.0,0.0
2002-06-01,15679.0,203341.0,203341.0,0.0,0.0,0.0
2002-07-01,22079.5,264583.5,264583.5,0.0,0.0,0.0
2002-08-01,18471.5,212442.5,212442.5,0.0,0.0,0.0
2002-09-01,14960.0,192794.0,192794.0,0.0,0.0,0.0
2002-10-01,17106.5,217646.5,217646.5,0.0,0.0,0.0
2002-11-01,18701.0,234722.5,234722.5,0.0,0.0,0.0
2002-12-01,26069.0,314035.0,314035.0,0.0,0.0,0.0
2003-01-01,29785.5,346612.0,346612.0,0.0,0.0,0.0
2003-02-01,24516.0,295292.5,295292.5,0.0,0.0,0.0
2003-03-01,20773.0,258086.0,258086.0,0.0,0.0,0.0
2003-04-01,19871.5,239106.5,239106.5,0.0,0.0,0.0
2003-05-01,16258.0,192763.0,192763.0,0.0,0.0,0.0
2003-06-01,19819.0,253359.5,253359.5,0.0,0.0,0.0
2003-07-01,20005.0,239708.0,239708.0,0.0,0.0,0.0
2003-08-01,18289.5,209802.0,209802.0,0.0,0.0,0.0
2003-09-01,14535.5,188409.0,188409.0,0.0,0.0,0.0
2003-10-01,16688.5,209667.0,209667.0,0.0,0.0,0.0
2003-11-01,18104.5,212148.0,212148.0,0.0,0.0,0.0
2003-12-01,25230.0,299233.5,299233.5,0.0,0.0,0.0
2004-01-01,8367.468,102860.5,102860.5,0.0,0.0,0.0
2004-02-01,11273.0005,138578.0,138578.0,0.0,0.0,0.0
2004-03-01,9724.866,119547.0,119547.0,0.0,0.0,0.0
2004-04-01,10325.9745,126936.5,126936.5,0.0,0.0,0.0
2004-05-01,20342.746,250072.0,250072.0,0.0,0.0,0.0
2004-06-01,24659.067,303132.0,303132.0,0.0,0.0,0.0
2004-07-01,28845.119,354591.0,354591.0,0.0,0.0,0.0
2004-08-01,30175.6515,370947.0,370947.0,0.0,0.0,0.0
2004-09-01,35483.914,436201.0,436201.0,0.0,0.0,0.0
2004-10-01,25199.605,309777.0,309777.0,0.0,0.0,0.0
2004-11-01,17795.3615,218757.0,218757.0,0.0,0.0,0.0
2004-12-01,11961.226,147038.5,147038.5,0.0,0.0,0.0
2005-01-01,42715.83,511556.14,511556.14,,,
2005-02-01,34172.941,409248.23,409248.23,,,
2005-03-01,47421.287,567907.74,567907.74,,,
2005-04-01,45014.941,539089.83,539089.83,,,
2005-05-01,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,,,
