measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,8960.05,263724.45,292853.0,7330.95,215774.55,239607.0
2003-02-01,7575.15,223997.4,242808.5,6197.85,183270.6,198661.5
2003-03-01,11514.8,278509.55,300113.0,9421.2,227871.45,245547.0
2003-04-01,10994.9004,265665.4,281072.0,8995.8276,217362.6,229968.0
2003-05-01,12113.80775,316587.7,333118.5,9911.29725,259026.3,272551.5
2003-06-01,11741.35105,291779.95,306278.5,9606.55995,238729.05,250591.5
2003-07-01,13537.03285,314272.75,327046.5,11075.75415,257132.25,267583.5
2003-08-01,12852.57325,301611.2,316750.5,10515.74175,246772.8,259159.5
2003-09-01,12839.76485,298600.5,311360.5,10505.26215,244309.5,254749.5
2003-10-01,11082.50715,304146.15,325693.5,9067.50585,248846.85,266476.5
2003-11-01,11622.49275,252689.8,275412.5,9509.31225,206746.2,225337.5
2003-12-01,9926.2009,271130.2,298133.0,8121.4371,221833.8,243927.0
2004-01-01,13325.70499,260725.38,269280.58,10903.30701,213329.72,220329.72
2004-02-01,9576.61773,187372.25,266271.99,7835.74327,153311.0,217868.04
2004-03-01,11105.8644,217292.87,305029.08,9086.9976,177792.53,249579.72
2004-04-01,11632.51961,227597.19,306916.6,9517.91539,186223.69,251124.12
2004-05-01,13991.19627,273746.11,347990.2,11447.82273,223983.49,284731.2
2004-06-01,11715.00155,229211.0,313448.57,9585.40345,187544.14,256468.68
2004-07-01,16526.62035,323353.2,338712.75,13522.34765,264572.81,277140.24
2004-08-01,13603.88973,266168.22,317297.97,11130.92227,217783.14,259618.32
2004-09-01,13641.28848,266899.95,307065.32,11161.52252,218381.85,251245.8
2004-10-01,10138.10982,198358.18,291078.59,8295.16518,162299.86,238165.2
2004-11-01,6655.93637,130227.37,269475.05,5445.99463,106554.14,220488.84
2004-12-01,11050.53489,216210.31,296071.94,9041.72611,176906.77,242250.84
2005-01-01,11705.26739,229020.55,287448.65,9197.39061,179952.44,225862.21
2005-02-01,8699.6636,170214.11,231336.82,6835.7434,133745.4,181772.45
2005-03-01,12870.57794,251820.54,293947.96,10113.03106,197867.49,230969.02
2005-04-01,15429.14889,301880.51,304308.41,12123.42311,237202.01,239109.73
2005-05-01,9278.14555,181532.46,262895.72,7290.28445,142638.77,206569.79
2005-06-01,16290.35215,318730.47,336199.26,12800.11185,250441.83,264167.9
2005-07-01,18327.819900000002,341073.74,341073.74,14401.0481,267998.02,267998.02
2005-08-01,18327.819900000002,344177.8,344177.8,14401.0481,270437.02,270437.02
2005-09-01,17890.17641,321267.17,321267.17,14057.17059,252435.04,252435.04
2005-10-01,17290.82925,338305.39,338953.9,13586.23475,265822.79,266332.35
2005-11-01,13606.06917,266210.87,298339.07,10690.94183,209174.66,234419.33
2005-12-01,15636.75601,305942.46,339332.44,12286.54999,240393.68,266629.79
