measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,1.9140000000000001,20.0,20.0
2003-02-01,1.689,18.0,18.0
2003-03-01,1.738,18.0,18.0
2003-04-01,1.5610000000000002,16.0,16.0
2003-05-01,1.593,17.0,17.0
2003-06-01,1.69,18.0,18.0
2003-07-01,1.9540000000000002,20.0,20.0
2003-08-01,2.072,22.0,22.0
2003-09-01,1.736,18.0,18.0
2003-10-01,1.6280000000000001,17.0,17.0
2003-11-01,1.623,17.0,17.0
2003-12-01,1.8010000000000002,19.0,19.0
2004-01-01,21.596,228.0,228.0
2004-02-01,5.6290000000000004,59.0,59.0
2004-03-01,0.774,8.0,8.0
2004-04-01,5.529,58.0,58.0
2004-05-01,5.875,62.0,62.0
2004-06-01,7.839,83.0,83.0
2004-07-01,11.186,118.0,118.0
2004-08-01,12.502,132.0,132.0
2004-09-01,9.893,104.0,104.0
2004-10-01,14.038,148.0,148.0
2004-11-01,12.022,127.0,127.0
2004-12-01,13.117,138.0,138.0
2005-01-01,138.602,1422.02,1422.02
2005-02-01,47.619,488.56,488.56
2005-03-01,52.78,541.51,541.51
2005-04-01,63.931000000000004,655.92,655.92
2005-05-01,59.376000000000005,609.18,609.18
2005-06-01,77.06400000000001,790.66,790.66
2005-07-01,78.44200000000001,804.8,804.8
2005-08-01,92.15,945.44,945.44
2005-09-01,60.322,618.9,618.9
2005-10-01,66.989,687.3,687.3
2005-11-01,53.853,552.52,552.52
2005-12-01,113.87100000000001,1168.3,1168.3
2006-01-01,31.144000000000002,324.0,324.0
2006-02-01,16.297,169.0,169.0
2006-03-01,13.689,142.0,142.0
2006-04-01,26.222,272.0,272.0
2006-05-01,24.511000000000003,255.0,255.0
2006-06-01,22.279,231.0,231.0
2006-07-01,32.272,335.0,335.0
2006-08-01,31.304000000000002,325.0,325.0
2006-09-01,14.381,149.0,149.0
2006-10-01,15.191,158.0,158.0
2006-11-01,17.888,186.0,186.0
2006-12-01,19.82,206.0,206.0
2007-01-01,11.274000000000001,127.0,127.0
2007-02-01,22.481,248.0,248.0
2007-03-01,14.504000000000001,161.0,161.0
2007-04-01,15.184000000000001,167.0,167.0
2007-05-01,13.299000000000001,144.0,144.0
2007-06-01,13.065,144.0,144.0
2007-07-01,13.952,156.0,156.0
2007-08-01,16.54,184.0,184.0
2007-09-01,19.318,213.0,213.0
2007-10-01,21.66,236.0,236.0
2007-11-01,21.515,236.0,236.0
2007-12-01,17.209,190.0,190.0
2008-01-01,11.385,121.0,121.0
2008-02-01,9.473,104.0,104.0
2008-03-01,8.243,92.0,92.0
2008-04-01,8.407,92.0,92.0
2008-05-01,9.47,104.0,104.0
2008-06-01,6.728000000000001,75.0,75.0
2008-07-01,5.613,63.0,63.0
2008-08-01,7.986000000000001,86.0,86.0
2008-09-01,8.151,86.0,86.0
2008-10-01,7.197,81.0,81.0
2008-11-01,8.943,98.0,98.0
2008-12-01,8.404,92.0,92.0
2009-01-01,9.295,98.0,98.0
2009-02-01,3.684,40.0,40.0
2009-03-01,9.936,109.0,109.0
2009-04-01,7.906000000000001,86.0,86.0
2009-05-01,6.5040000000000004,69.0,69.0
2009-06-01,8.539,92.0,92.0
2009-07-01,7.486000000000001,81.0,81.0
2009-08-01,7.143000000000001,75.0,75.0
2009-09-01,4.595,52.0,52.0
2009-10-01,7.232,81.0,81.0
2009-11-01,6.146,69.0,69.0
2009-12-01,5.534000000000001,58.0,58.0
2010-01-01,7.877000000000001,92.0,92.0
2010-02-01,7.086,75.0,75.0
2010-03-01,9.021,98.0,98.0
2010-04-01,8.33,92.0,92.0
2010-05-01,8.445,92.0,92.0
2010-06-01,9.179,98.0,98.0
2010-07-01,8.166,86.0,86.0
2010-08-01,10.436,109.0,109.0
2010-09-01,7.673,81.0,81.0
2010-10-01,7.5280000000000005,81.0,81.0
2010-11-01,7.1290000000000004,75.0,75.0
2010-12-01,7.13,75.0,75.0
2011-01-01,12.727,132.0,132.0
2011-02-01,6.16,69.0,69.0
2011-03-01,6.577,69.0,69.0
2011-04-01,5.642,63.0,63.0
2011-05-01,10.765,115.0,115.0
2011-06-01,9.622,104.0,104.0
2011-07-01,8.659,92.0,92.0
2011-08-01,5.204,58.0,58.0
2011-09-01,7.378,81.0,81.0
2011-10-01,9.097,98.0,98.0
2011-11-01,7.921,86.0,86.0
2011-12-01,11.248,121.0,121.0
2012-01-01,8.416,92.0,92.0
2012-02-01,11.042,121.0,121.0
2012-03-01,8.015,86.0,86.0
2012-04-01,9.962,109.0,109.0
2012-05-01,9.232,104.0,104.0
2012-06-01,8.697,98.0,98.0
2012-07-01,10.059,109.0,109.0
2012-08-01,8.347,92.0,92.0
2012-09-01,8.795,98.0,98.0
2012-10-01,10.716,115.0,115.0
2012-11-01,14.401,155.0,155.0
2012-12-01,8.318,92.0,92.0
2013-01-01,9.902,110.0,110.0
2013-02-01,4.378,46.0,46.0
2013-03-01,6.525,69.0,69.0
2013-04-01,6.631,75.0,75.0
2013-05-01,14.404,162.0,162.0
2013-06-01,8.563,92.0,92.0
2013-07-01,9.312,104.0,104.0
2013-08-01,7.673,87.0,87.0
2013-09-01,6.121,69.0,69.0
2013-10-01,6.95,75.0,75.0
2013-11-01,7.295,81.0,81.0
2013-12-01,5.246,58.0,58.0
2014-01-01,8.837,104.0,104.0
2014-02-01,10.269,116.0,116.0
2014-03-01,11.258,121.0,121.0
2014-04-01,7.148,81.0,81.0
2014-05-01,9.457,104.0,104.0
2014-06-01,6.916,75.0,75.0
2014-07-01,6.773,75.0,75.0
2014-08-01,8.427,92.0,92.0
2014-09-01,7.998,87.0,87.0
2014-10-01,5.436,58.0,58.0
2014-11-01,7.924,87.0,87.0
2014-12-01,7.557,81.0,81.0
2015-01-01,5.957,63.0,63.0
2015-02-01,6.375,63.0,63.0
2015-03-01,5.646,58.0,58.0
2015-04-01,6.17,63.0,63.0
2015-05-01,6.431,63.0,63.0
2015-06-01,7.772,75.0,75.0
2015-07-01,5.454,52.0,52.0
2015-08-01,6.621,63.0,63.0
2015-09-01,9.075,92.0,92.0
2015-10-01,5.239,52.0,52.0
2015-11-01,7.828,81.0,81.0
2015-12-01,9.432,92.0,92.0
2016-01-01,10.053,109.0,109.0
2016-02-01,10.354,109.0,109.0
2016-03-01,7.428,81.0,81.0
2016-04-01,7.715,81.0,81.0
2016-05-01,8.813,98.0,98.0
2016-06-01,5.318,58.0,58.0
2016-07-01,4.871,52.0,52.0
2016-08-01,5.855,63.0,63.0
2016-09-01,3.703,40.0,40.0
2016-10-01,4.41,46.0,46.0
2016-11-01,5.215,58.0,58.0
2016-12-01,7.265,81.0,81.0
2017-01-01,13.853,150.0,150.0
2017-02-01,8.913,92.0,92.0
2017-03-01,9.82,104.0,104.0
2017-04-01,10.641,109.0,109.0
2017-05-01,15.588,161.0,161.0
2017-06-01,7.984,81.0,81.0
2017-07-01,7.299,75.0,75.0
2017-08-01,7.884,81.0,81.0
2017-09-01,7.853,81.0,81.0
2017-10-01,9.068,92.0,92.0
2017-11-01,6.318,63.0,63.0
2017-12-01,10.779,109.0,109.0
2018-01-01,5.87,63.0,63.0
2018-02-01,4.104,40.0,40.0
2018-03-01,5.287,58.0,58.0
2018-04-01,6.916,69.0,69.0
2018-05-01,5.788,58.0,58.0
2018-06-01,4.391,46.0,46.0
2018-07-01,4.775,52.0,52.0
2018-08-01,5.595,58.0,58.0
2018-09-01,4.876,52.0,52.0
2018-10-01,8.499,86.0,86.0
2018-11-01,8.632,92.0,92.0
2018-12-01,7.267,75.0,75.0
2019-01-01,3.684,35.0,35.0
2019-02-01,6.442,69.0,69.0
2019-03-01,6.443,69.0,69.0
2019-04-01,5.801,63.0,63.0
2019-05-01,6.115,63.0,63.0
2019-06-01,7.55,81.0,81.0
2019-07-01,6.056,63.0,63.0
2019-08-01,4.968,52.0,52.0
2019-09-01,5.177,58.0,58.0
2019-10-01,7.185,75.0,75.0
2019-11-01,5.708,63.0,63.0
2019-12-01,5.871,63.0,63.0
2020-01-01,3.649,35.0,35.0
2020-02-01,5.844,63.0,63.0
2020-03-01,3.559,40.0,40.0
2020-04-01,2.588,29.0,29.0
2020-05-01,3.768,40.0,40.0
2020-06-01,6.564,69.0,69.0
2020-07-01,6.771,69.0,69.0
2020-08-01,4.323,46.0,46.0
2020-09-01,4.924,52.0,52.0
2020-10-01,5.336,58.0,58.0
2020-11-01,4.74,52.0,52.0
2020-12-01,5.934,63.0,63.0
2021-01-01,17.738,178.0,178.0
2021-02-01,42.271,426.0,426.0
2021-03-01,17.496,178.0,178.0
2021-04-01,15.727,161.0,161.0
2021-05-01,13.25,132.0,132.0
2021-06-01,10.279,104.0,104.0
2021-07-01,16.613,167.0,167.0
2021-08-01,14.272,144.0,144.0
2021-09-01,22.011,219.0,219.0
2021-10-01,11.979,121.0,121.0
2021-11-01,28.84,288.0,288.0
2021-12-01,24.524,247.0,247.0
2022-01-01,10.038,109.0,109.0
2022-02-01,3.464,35.0,35.0
2022-03-01,8.131,86.0,86.0
2022-04-01,4.429,46.0,46.0
2022-05-01,5.422,58.0,58.0
2022-06-01,5.695,63.0,63.0
2022-07-01,2.319,23.0,23.0
2022-08-01,4.731,52.0,52.0
2022-09-01,3.637,40.0,40.0
2022-10-01,4.198,46.0,46.0
2022-11-01,5.645,58.0,58.0
2022-12-01,13.291,144.0,144.0
2023-01-01,9.494,92.0,92.0
2023-02-01,10.655,109.0,109.0
2023-03-01,9.074,98.0,98.0
2023-04-01,5.133,52.0,52.0
2023-05-01,3.631,40.0,40.0
2023-06-01,3.663,40.0,40.0
2023-07-01,4.922,52.0,52.0
2023-08-01,3.746,40.0,40.0
2023-09-01,7.489,81.0,81.0
2023-10-01,6.099,63.0,63.0
2023-11-01,9.758,104.0,104.0
2023-12-01,6.336,69.0,69.0
2024-01-01,2.187,17.0,17.0
2024-02-01,4.615,52.0,52.0
2024-03-01,4.105,46.0,46.0
2024-04-01,4.59,52.0,52.0
2024-05-01,7.048,75.0,75.0
2024-06-01,2.754,29.0,29.0
2024-07-01,5.8,63.0,63.0
2024-08-01,3.503,40.0,40.0
2024-09-01,5.874,63.0,63.0
2024-10-01,3.263,35.0,35.0
2024-11-01,5.588,58.0,58.0
2024-12-01,6.673,69.0,69.0
