measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed
2003-01-01,4140.79,74253.0,74253.0
2003-02-01,3654.179,65527.0,65527.0
2003-03-01,3760.0280000000002,67425.0,67425.0
2003-04-01,3376.824,60553.0,60553.0
2003-05-01,3446.0150000000003,61794.0,61794.0
2003-06-01,3654.625,65535.0,65535.0
2003-07-01,4226.62,75792.0,75792.0
2003-08-01,4481.227,80358.0,80358.0
2003-09-01,3755.1620000000003,67338.0,67338.0
2003-10-01,3522.451,63165.0,63165.0
2003-11-01,3510.684,62954.0,62954.0
2003-12-01,3896.396,69870.0,69870.0
2004-01-01,3545.083,67055.0,67055.0
2004-02-01,3545.083,67055.0,67055.0
2004-03-01,3545.083,67055.0,67055.0
2004-04-01,3545.083,67055.0,67055.0
2004-05-01,3545.083,67055.0,67055.0
2004-06-01,3545.083,67055.0,67055.0
2004-07-01,3545.083,67055.0,67055.0
2004-08-01,3545.083,67055.0,67055.0
2004-09-01,3545.083,67055.0,67055.0
2004-10-01,3545.083,67055.0,67055.0
2004-11-01,3545.083,67055.0,67055.0
2004-12-01,3545.083,67055.0,67055.0
2005-01-01,3044.672,58178.92,58178.92
2005-02-01,2716.0860000000002,51900.17,51900.17
2005-03-01,3102.146,59277.17,59277.17
2005-04-01,3095.734,59154.63,59154.63
2005-05-01,3403.309,65031.92,65031.92
2005-06-01,3371.6960000000004,64427.84,64427.84
2005-07-01,3491.2110000000002,66711.58,66711.58
2005-08-01,3475.4320000000002,66410.06,66410.06
2005-09-01,3273.833,62557.84,62557.84
2005-10-01,3304.692,63147.49,63147.49
2005-11-01,3328.3830000000003,63600.2,63600.2
2005-12-01,3335.806,63742.04,63742.04
2006-01-01,3391.261,63160.0,63160.0
2006-02-01,3134.041,58369.0,58369.0
2006-03-01,3457.058,64385.0,64385.0
2006-04-01,2543.5570000000002,47372.0,47372.0
2006-05-01,3109.7160000000003,57916.0,57916.0
2006-06-01,3257.55,60669.0,60669.0
2006-07-01,3380.7960000000003,62965.0,62965.0
2006-08-01,3360.465,62586.0,62586.0
2006-09-01,3214.3650000000002,59865.0,59865.0
2006-10-01,3335.4610000000002,62121.0,62121.0
2006-11-01,3368.773,62741.0,62741.0
2006-12-01,3245.956,60454.0,60454.0
2007-01-01,2594.072,48175.0,48175.0
2007-02-01,2371.757,44046.0,44046.0
2007-03-01,2529.792,46980.0,46980.0
2007-04-01,3040.103,56458.0,56458.0
2007-05-01,3669.3140000000003,68143.0,68143.0
2007-06-01,3582.79,66536.0,66536.0
2007-07-01,3646.9750000000004,67728.0,67728.0
2007-08-01,3642.972,67654.0,67654.0
2007-09-01,3378.386,62740.0,62740.0
2007-10-01,4056.155,75327.0,75327.0
2007-11-01,2788.4,51784.0,51784.0
2007-12-01,2528.284,46953.0,46953.0
2008-01-01,2759.965,54075.0,54075.0
2008-02-01,2718.146,53256.0,53256.0
2008-03-01,1693.614,33182.0,33182.0
2008-04-01,3052.6870000000004,59810.0,59810.0
2008-05-01,3115.414,61039.0,61039.0
2008-06-01,3031.7780000000002,59401.0,59401.0
2008-07-01,2989.9610000000002,58581.0,58581.0
2008-08-01,3115.414,61039.0,61039.0
2008-09-01,3136.322,61449.0,61449.0
2008-10-01,3052.6870000000004,59810.0,59810.0
