measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2002-01-01,-106.0,0.0,0.0,,,
2002-02-01,-104.0,0.0,0.0,,,
2002-03-01,-101.0,0.0,0.0,,,
2002-04-01,3248.0,52831.0,52831.0,,,
2002-05-01,10332.0,159599.0,159599.0,,,
2002-06-01,-119.0,0.0,0.0,,,
2002-07-01,20056.0,327570.0,327570.0,,,
2002-08-01,3924.0,62171.0,62171.0,,,
2002-09-01,-58.0,1010.0,1010.0,,,
2002-10-01,873.0,16356.0,16356.0,,,
2002-11-01,-95.0,0.0,0.0,,,
2002-12-01,-114.0,0.0,0.0,,,
2003-01-01,-139.0,0.0,0.0,,,
2003-02-01,-87.0,0.0,0.0,,,
2003-03-01,-104.0,0.0,0.0,,,
2003-04-01,-91.0,0.0,0.0,,,
2003-05-01,-93.0,0.0,0.0,,,
2003-06-01,-80.0,0.0,0.0,,,
2003-07-01,-93.0,0.0,0.0,,,
2003-08-01,-94.0,0.0,0.0,,,
2003-09-01,-47.0,0.0,0.0,,,
2003-10-01,-80.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,,,
2003-12-01,-57.0,0.0,0.0,,,
2004-01-01,-11.491000000000001,451.0,451.0,,,
2004-02-01,-10.519,413.0,413.0,,,
2004-03-01,-31.285,1228.0,1228.0,,,
2004-04-01,-4.8790000000000004,192.0,192.0,,,
2004-05-01,-28.183,1106.0,1106.0,,,
2004-06-01,-28.459,1117.0,1117.0,,,
2004-07-01,-7.838,308.0,308.0,,,
2004-08-01,-14.742,579.0,579.0,,,
2004-09-01,-13.944,547.0,547.0,,,
2004-10-01,-30.003,1178.0,1178.0,,,
2004-11-01,-8.795,345.0,345.0,,,
2004-12-01,-13.86,544.0,544.0,,,
2005-01-01,-41.19,0.0,0.0,,,
2005-02-01,-34.194,0.0,0.0,,,
2005-03-01,-42.346000000000004,0.0,0.0,,,
2005-04-01,-41.724000000000004,0.0,0.0,,,
2005-05-01,-49.186,0.0,0.0,,,
2005-06-01,-62.074000000000005,0.0,0.0,,,
2005-07-01,-77.797,0.0,0.0,,,
2005-08-01,-80.589,0.0,0.0,,,
2005-09-01,-61.324000000000005,0.0,0.0,,,
2005-10-01,-48.99,0.0,0.0,,,
2005-11-01,-41.797000000000004,0.0,0.0,,,
2005-12-01,-40.789,0.0,0.0,,,
2006-01-01,-14.878,0.0,0.0,,,
2006-02-01,-17.652,0.0,0.0,,,
2006-03-01,-20.133000000000003,0.0,0.0,,,
2006-04-01,-22.52,0.0,0.0,,,
2006-05-01,-26.083000000000002,0.0,0.0,,,
2006-06-01,-33.237,0.0,0.0,,,
2006-07-01,-41.786,0.0,0.0,,,
2006-08-01,-42.313,0.0,0.0,,,
2006-09-01,-28.79,0.0,0.0,,,
2006-10-01,-26.067,0.0,0.0,,,
2006-11-01,-19.359,0.0,0.0,,,
2006-12-01,-20.181,0.0,0.0,,,
2007-01-01,-7.0,0.0,0.0,,,
2007-02-01,-6.0,0.0,0.0,,,
2007-03-01,-8.0,0.0,0.0,,,
2007-04-01,-8.0,0.0,0.0,,,
2007-05-01,-8.0,0.0,0.0,,,
2007-06-01,-7.0,0.0,0.0,,,
2007-07-01,-8.0,0.0,0.0,,,
2007-08-01,-8.0,0.0,0.0,,,
2007-09-01,-8.0,0.0,0.0,,,
2007-10-01,-63.0,0.0,0.0,,,
2007-11-01,-7.0,0.0,0.0,,,
2007-12-01,-7.0,0.0,0.0,,,
2008-01-01,0.0,0.0,0.0,-7.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,-7.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,-7.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,-7.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,-8.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,-7.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,-7.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,-8.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,-8.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,-8.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,-7.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,-8.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,-7.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,-7.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,-8.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,-3.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,1790.0,49728.0,49728.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,498.0,14118.0,14118.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0
