measured_on,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2011-01-01,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0
2011-11-01,1601.811,22031.0,22031.0
2011-12-01,1613.189,22188.0,22188.0
2012-01-01,1815.865,21681.0,21681.0
2012-02-01,1787.857,21346.0,21346.0
2012-03-01,1714.481,20470.0,20470.0
2012-04-01,1610.788,19233.0,19233.0
2012-05-01,1670.657,19947.0,19947.0
2012-06-01,1449.642,17308.0,17308.0
2012-07-01,1561.681,18646.0,18646.0
2012-08-01,1805.873,21562.0,21562.0
2012-09-01,1776.817,21215.0,21215.0
2012-10-01,1783.461,21294.0,21294.0
2012-11-01,1950.374,23287.0,23287.0
2012-12-01,1954.504,23336.0,23336.0
2013-01-01,2180.829,26056.0,26056.0
2013-02-01,1964.69,23474.0,23474.0
2013-03-01,2110.701,25219.0,25219.0
2013-04-01,1915.645,22888.0,22888.0
2013-05-01,2124.867,25388.0,25388.0
2013-06-01,2069.235,24723.0,24723.0
2013-07-01,2127.982,25425.0,25425.0
2013-08-01,2351.262,28093.0,28093.0
2013-09-01,2144.829,25626.0,25626.0
2013-10-01,2341.57,27977.0,27977.0
2013-11-01,2328.401,27820.0,27820.0
2013-12-01,2430.989,29045.0,29045.0
2014-01-01,2967.673,35076.0,35076.0
2014-02-01,2590.133,30614.0,30614.0
2014-03-01,2706.873,31994.0,31994.0
2014-04-01,2377.16,28097.0,28097.0
2014-05-01,2449.336,28950.0,28950.0
2014-06-01,2597.882,30705.0,30705.0
2014-07-01,2598.592,30714.0,30714.0
2014-08-01,2546.944,30103.0,30103.0
2014-09-01,2567.182,30343.0,30343.0
2014-10-01,2580.068,30495.0,30495.0
2014-11-01,2215.349,26184.0,26184.0
2014-12-01,2361.808,27915.0,27915.0
2015-01-01,2472.407,29497.0,29497.0
2015-02-01,2299.9,27440.0,27440.0
2015-03-01,2397.003,28598.0,28598.0
2015-04-01,2116.617,25253.0,25253.0
2015-05-01,2311.801,27582.0,27582.0
2015-06-01,2598.236,30999.0,30999.0
2015-07-01,2648.056,31594.0,31594.0
2015-08-01,2550.808,30433.0,30433.0
2015-09-01,2496.584,29787.0,29787.0
2015-10-01,2403.684,28678.0,28678.0
2015-11-01,2227.425,26575.0,26575.0
2015-12-01,2537.479,30274.0,30274.0
2016-01-01,2470.092,15968.0,30410.0
2016-02-01,2336.418,15104.0,28766.0
2016-03-01,2150.7,13904.0,26479.0
2016-04-01,2125.55,13741.0,26170.0
2016-05-01,2492.076,16111.0,30682.0
2016-06-01,2458.264,15892.0,30266.0
2016-07-01,2373.963,15347.0,29228.0
2016-08-01,2296.581,14847.0,28275.0
2016-09-01,2426.021,15684.0,29869.0
2016-10-01,2361.973,15269.0,29080.0
2016-11-01,2409.727,15578.0,29668.0
2016-12-01,2390.635,15455.0,29433.0
2017-01-01,1962.211,12926.0,25516.0
2017-02-01,1775.115,11693.0,23084.0
2017-03-01,1987.832,13095.0,25849.0
2017-04-01,1786.862,11771.0,23236.0
2017-05-01,1947.521,12829.0,25325.0
2017-06-01,1993.148,13130.0,25919.0
2017-07-01,1976.271,13018.0,25699.0
2017-08-01,1982.38,13059.0,25779.0
2017-09-01,1858.958,12246.0,24174.0
2017-10-01,1568.417,10332.0,20396.0
2017-11-01,1872.335,12334.0,24348.0
2017-12-01,2061.95,13583.0,26813.0
2018-01-01,2421.566,15658.0,30025.0
2018-02-01,2263.015,14632.0,28061.0
2018-03-01,2247.288,14531.0,27866.0
2018-04-01,2134.743,13803.0,26470.0
2018-05-01,2183.741,14120.0,27078.0
2018-06-01,2186.246,14136.0,27109.0
2018-07-01,2346.771,15174.0,29099.0
2018-08-01,2445.518,15813.0,30324.0
2018-09-01,2363.853,15284.0,29311.0
2018-10-01,2382.215,15403.0,29539.0
2018-11-01,2335.767,15103.0,28963.0
2018-12-01,2484.277,16063.0,30804.0
2019-01-01,2137.606,13840.0,26521.0
2019-02-01,1955.929,12664.0,24265.0
2019-03-01,2167.068,14031.0,26885.0
2019-04-01,2010.469,13017.0,24942.0
2019-05-01,1870.513,12111.0,23206.0
2019-06-01,1900.289,12304.0,23575.0
2019-07-01,2096.855,13577.0,26014.0
2019-08-01,2187.574,14164.0,27139.0
2019-09-01,2013.977,13040.0,24985.0
2019-10-01,1793.132,11610.0,22246.0
2019-11-01,1950.193,12627.0,24194.0
2019-12-01,2104.395,13625.0,26107.0
2020-01-01,2255.084,14744.0,29465.0
2020-02-01,2028.484,13263.0,26504.0
2020-03-01,2137.428,13975.0,27927.0
2020-04-01,2000.438,13080.0,26137.0
2020-05-01,2125.024,13894.0,27765.0
2020-06-01,1958.586,12806.0,25591.0
2020-07-01,2199.724,14382.0,28741.0
2020-08-01,2100.197,13732.0,27441.0
2020-09-01,2083.155,13620.0,27218.0
2020-10-01,2004.843,13108.0,26195.0
2020-11-01,2018.357,13197.0,26372.0
2020-12-01,1802.68,11786.0,23554.0
2021-01-01,1433.531,9269.0,18759.0
2021-02-01,1331.471,8609.0,17424.0
2021-03-01,1486.956,9614.0,19459.0
2021-04-01,1233.795,7977.0,16146.0
2021-05-01,1335.481,8635.0,17477.0
2021-06-01,1372.18,8872.0,17957.0
2021-07-01,1333.47,8622.0,17451.0
2021-08-01,1324.925,8566.0,17339.0
2021-09-01,1344.611,8694.0,17596.0
2021-10-01,1317.251,8517.0,17238.0
2021-11-01,1297.826,8391.0,16984.0
2021-12-01,1300.503,8409.0,17019.0
2022-01-01,1994.332,13005.0,26138.0
2022-02-01,1766.159,11517.0,23147.0
2022-03-01,1905.647,12427.0,24976.0
2022-04-01,1483.1,9671.0,19438.0
2022-05-01,1530.902,9983.0,20065.0
2022-06-01,1700.215,11087.0,22283.0
2022-07-01,1828.035,11921.0,23959.0
2022-08-01,1923.045,12540.0,25204.0
2022-09-01,1864.052,12156.0,24430.0
2022-10-01,1876.412,12236.0,24593.0
2022-11-01,1593.435,10391.0,20884.0
2022-12-01,1816.666,11847.0,23810.0
2023-01-01,1566.367,10219.0,21976.0
2023-02-01,1521.181,9924.0,21341.0
2023-03-01,1607.212,10485.0,22549.0
2023-04-01,1532.062,9995.0,21494.0
2023-05-01,1880.247,12266.0,26379.0
2023-06-01,1680.947,10966.0,23583.0
2023-07-01,1754.643,11447.0,24617.0
2023-08-01,1884.237,12292.0,26435.0
2023-09-01,1755.864,11455.0,24634.0
2023-10-01,1655.104,10798.0,23220.0
2023-11-01,1682.709,10978.0,23608.0
2023-12-01,1898.427,12385.0,26634.0
2024-01-01,1425.25,9285.0,19564.0
2024-02-01,1240.517,8082.0,17028.0
2024-03-01,1487.754,9693.0,20422.0
2024-04-01,1219.093,7942.0,16734.0
2024-05-01,1439.024,9375.0,19753.0
2024-06-01,1342.696,8748.0,18431.0
2024-07-01,1391.724,9067.0,19104.0
2024-08-01,1406.47,9163.0,19306.0
2024-09-01,1348.583,8786.0,18512.0
2024-10-01,1305.051,8502.0,17914.0
2024-11-01,1391.865,9068.0,19106.0
2024-12-01,1455.973,9486.0,19986.0
