measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2013-01-01,2417.677,26021.0,26021.0
2013-02-01,2227.072,23970.0,23970.0
2013-03-01,2147.873,23117.0,23117.0
2013-04-01,1848.257,19892.0,19892.0
2013-05-01,1951.901,21008.0,21008.0
2013-06-01,2309.237,24854.0,24854.0
2013-07-01,2930.161,31537.0,31537.0
2013-08-01,2988.361,32163.0,32163.0
2013-09-01,2980.892,32083.0,32083.0
2013-10-01,2586.459,27837.0,27837.0
2013-11-01,2551.206,27459.0,27459.0
2013-12-01,2970.904,31975.0,31975.0
2014-01-01,2214.321,25891.0,25891.0
2014-02-01,2067.792,24176.0,24176.0
2014-03-01,1794.389,20980.0,20980.0
2014-04-01,1706.219,19949.0,19949.0
2014-05-01,1720.446,20115.0,20115.0
2014-06-01,1696.059,19830.0,19830.0
2014-07-01,2399.722,28057.0,28057.0
2014-08-01,2477.112,28961.0,28961.0
2014-09-01,2591.109,30294.0,30294.0
2014-10-01,2556.101,29885.0,29885.0
2014-11-01,1847.294,21598.0,21598.0
2014-12-01,2009.436,23493.0,23493.0
2015-01-01,1441.176,16227.0,16227.0
2015-02-01,1067.149,12016.0,12016.0
2015-03-01,1250.196,14078.0,14078.0
2015-04-01,1199.712,13509.0,13509.0
2015-05-01,1171.234,13189.0,13189.0
2015-06-01,1646.957,18545.0,18545.0
2015-07-01,1857.559,20916.0,20916.0
2015-08-01,1959.382,22063.0,22063.0
2015-09-01,1945.845,21911.0,21911.0
2015-10-01,1874.43,21107.0,21107.0
2015-11-01,1382.061,15562.0,15562.0
2015-12-01,1478.299,16645.0,16645.0
2016-01-01,1085.897,12410.0,12410.0
2016-02-01,861.795,9849.0,9849.0
2016-03-01,670.245,7659.0,7659.0
2016-04-01,640.973,7324.0,7324.0
2016-05-01,691.897,7907.0,7907.0
2016-06-01,1052.602,12029.0,12029.0
2016-07-01,1241.56,14188.0,14188.0
2016-08-01,1373.211,15692.0,15692.0
2016-09-01,1136.805,12991.0,12991.0
2016-10-01,1121.375,12814.0,12814.0
