measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.08700000000000001,0.0,0.0,436.041,11747.0,11747.0
2003-02-01,0.075,0.0,0.0,375.922,10127.0,10127.0
2003-03-01,0.07400000000000001,0.0,0.0,367.603,9903.0,9903.0
2003-04-01,0.068,0.0,0.0,337.405,9090.0,9090.0
2003-05-01,0.085,0.0,0.0,424.091,11425.0,11425.0
2003-06-01,0.08900000000000001,0.0,0.0,444.79600000000005,11983.0,11983.0
2003-07-01,0.099,0.0,0.0,492.435,13266.0,13266.0
2003-08-01,0.10200000000000001,0.0,0.0,511.515,13780.0,13780.0
2003-09-01,0.08600000000000001,0.0,0.0,427.41,11514.0,11514.0
2003-10-01,0.076,0.0,0.0,381.18,10269.0,10269.0
2003-11-01,0.076,0.0,0.0,377.63300000000004,10173.0,10173.0
2003-12-01,0.084,0.0,0.0,417.97,11260.0,11260.0
2004-01-01,0.0,0.0,7.42,0.637,7.47,590.58
2004-02-01,0.0,0.0,7.42,0.457,5.37,423.92
2004-03-01,0.0,0.0,7.42,0.40800000000000003,4.78,377.94
2004-04-01,0.0,0.0,7.42,0.435,5.1,402.78
2004-05-01,0.0,0.0,7.42,0.35100000000000003,4.12,325.45
2004-06-01,0.0,0.0,7.42,0.37,4.33,342.75
2004-07-01,0.0,0.0,7.42,0.399,4.69,369.9
2004-08-01,0.0,0.0,7.42,0.309,3.63,286.56
2004-09-01,0.0,0.0,7.42,0.367,4.3,339.84
2004-10-01,0.0,0.0,7.42,0.379,4.44,350.94
2004-11-01,0.0,0.0,7.42,0.345,4.05,320.14
2004-12-01,0.0,0.0,7.42,0.392,4.59,363.21
