measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,4412.0,96480.0,96480.0,1211.0,26000.0,26000.0
2001-02-01,4432.0,99000.0,99000.0,684.0,15000.0,15000.0
2001-03-01,5092.0,93960.0,93960.0,0.0,0.0,0.0
2001-04-01,3861.0,70200.0,70200.0,0.0,0.0,0.0
2001-05-01,3747.0,90000.0,90000.0,636.0,15000.0,15000.0
2001-06-01,4052.0,97803.0,97803.0,617.0,14604.0,14604.0
2001-07-01,4042.0,101054.0,101054.0,591.0,14500.0,14500.0
2001-08-01,4397.0,101993.0,101993.0,724.0,16468.0,16468.0
2001-09-01,4081.0,96913.0,96913.0,880.0,20521.0,20521.0
2001-10-01,4102.0,95044.0,95044.0,0.0,0.0,0.0
2001-11-01,5033.0,91830.0,91830.0,577.0,10328.0,10328.0
2001-12-01,3461.0,93340.0,93340.0,205.0,5412.0,5412.0
2002-01-01,3526.0,93757.0,93757.0,166.0,4416.0,4416.0
2002-02-01,3153.0,85288.0,85288.0,149.0,4030.0,4030.0
2002-03-01,3437.0,93842.0,93842.0,164.0,4491.0,4491.0
2002-04-01,2235.0,65247.0,65247.0,122.0,3573.0,3573.0
2002-05-01,3323.0,82683.0,82683.0,551.0,13704.0,13704.0
2002-06-01,4388.0,108856.0,108856.0,1429.0,35464.0,35464.0
2002-07-01,4375.0,108941.0,108941.0,1307.0,32543.0,32543.0
2002-08-01,4286.0,108384.0,108384.0,1304.0,32976.0,32976.0
2002-09-01,4065.0,102921.0,102921.0,1141.0,28898.0,28898.0
2002-10-01,4350.0,111694.0,111694.0,1372.0,35232.0,35232.0
2002-11-01,4392.0,102408.0,102408.0,1002.0,31817.0,31817.0
2002-12-01,4218.0,104385.0,104385.0,1239.0,30678.0,30678.0
2003-03-01,2984.0,88287.0,88287.0,169.0,4997.0,4997.0
2003-04-01,2899.0,86180.0,86180.0,171.0,5096.0,5096.0
2003-05-01,2753.0,82104.0,82104.0,184.0,5491.0,5491.0
2003-06-01,3537.0,98336.0,98336.0,903.0,20933.0,20933.0
2003-07-01,3639.0,101930.0,101930.0,1055.0,24630.0,24630.0
2003-08-01,3532.0,84494.0,84494.0,940.0,22487.0,22487.0
2003-09-01,3207.0,91151.0,91151.0,508.0,14447.0,14447.0
2003-10-01,2132.0,29569.0,29569.0,308.0,4272.0,4272.0
2003-11-01,2466.0,33009.0,33009.0,371.0,4966.0,4966.0
2003-12-01,2559.0,33894.0,33894.0,386.0,5111.0,5111.0
2004-01-01,2924.66,90347.0,90347.0,168.959,5219.0,5219.0
2004-02-01,2734.7960000000003,84482.0,84482.0,210.7,6508.0,6508.0
2004-03-01,2640.976,81583.0,81583.0,267.425,8260.0,8260.0
2004-04-01,2790.599,86205.0,86205.0,256.149,7912.0,7912.0
2004-05-01,2986.4660000000003,92256.0,92256.0,291.64300000000003,9008.0,9008.0
2004-06-01,2887.9770000000003,89214.0,89214.0,251.937,7782.0,7782.0
2004-07-01,2837.2870000000003,87648.0,87648.0,484.32300000000004,14960.0,14960.0
2004-08-01,2833.2850000000003,87524.0,87524.0,453.18300000000005,13998.0,13998.0
2004-09-01,2784.152,86006.0,86006.0,404.97400000000005,12509.0,12509.0
2004-10-01,2875.378,88824.0,88824.0,290.091,8960.0,8960.0
2004-11-01,2635.2690000000002,81407.0,81407.0,286.42900000000003,8847.0,8847.0
2004-12-01,1814.1560000000002,56042.0,56042.0,245.186,7573.0,7573.0
2005-01-01,2566.922,70671.76,70671.76,298.988,3484.01,3484.01
2005-02-01,2189.235,60273.39,60273.39,269.868,3144.68,3144.68
2005-03-01,2445.714,67334.7,67334.7,291.242,3393.75,3393.75
2005-04-01,2258.129,62170.16,62170.16,292.641,3410.05,3410.05
2005-05-01,2474.143,68117.38,68117.38,321.409,3745.28,3745.28
2005-06-01,2399.01,66048.86,66048.86,412.832,4810.59,4810.59
2005-07-01,2577.3940000000002,70960.08,70960.08,528.639,6160.05,6160.05
2005-08-01,2482.7380000000003,68354.02,68354.02,547.8380000000001,6383.77,6383.77
2005-09-01,2363.735,65077.67,65077.67,413.187,4814.73,4814.73
2005-10-01,2039.882,56161.44,56161.44,320.713,3737.16,3737.16
2005-11-01,2271.4010000000003,62535.55,62535.55,286.152,3334.44,3334.44
2005-12-01,2541.695,69977.22,69977.22,326.49100000000004,3804.5,3804.5
2006-01-01,2392.299,33342.0,33342.0,157.81400000000002,2137.0,2137.0
2006-02-01,2210.848,30813.0,30813.0,187.232,2535.0,2535.0
2006-03-01,2438.714,33989.0,33989.0,213.555,2892.0,2892.0
2006-04-01,1794.303,25007.0,25007.0,238.866,3234.0,3234.0
2006-05-01,2193.6890000000003,30574.0,30574.0,276.666,3746.0,3746.0
2006-06-01,2297.975,32027.0,32027.0,352.548,4774.0,4774.0
2006-07-01,2384.917,33239.0,33239.0,443.23,6001.0,6001.0
2006-08-01,2370.575,33039.0,33039.0,448.82,6077.0,6077.0
2006-09-01,2267.511,31602.0,31602.0,305.37800000000004,4135.0,4135.0
2006-10-01,2352.936,32793.0,32793.0,276.493,3744.0,3744.0
2006-11-01,2376.436,33121.0,33121.0,205.339,2780.0,2780.0
2006-12-01,2289.797,31913.0,31913.0,214.06,2898.0,2898.0
2007-01-01,2244.466,32518.0,32518.0,385.534,5586.0,5586.0
2007-02-01,2045.353,28064.0,28064.0,356.647,4894.0,4894.0
2007-03-01,1616.309,20378.0,20378.0,364.69100000000003,4598.0,4598.0
2007-04-01,2021.336,25906.0,25906.0,417.66400000000004,5353.0,5353.0
2007-05-01,2089.126,26732.0,26732.0,435.874,5577.0,5577.0
2007-06-01,2079.347,25663.0,25663.0,445.653,5500.0,5500.0
2007-07-01,1992.6090000000002,27208.0,27208.0,412.391,5631.0,5631.0
2007-08-01,1980.6080000000002,25246.0,25246.0,448.392,5715.0,5715.0
2007-09-01,1881.432,24221.0,24221.0,443.56800000000004,5710.0,5710.0
2007-10-01,2048.23,35497.0,35497.0,344.77,5975.0,5975.0
2007-11-01,2016.2920000000001,35167.0,35167.0,331.708,5786.0,5786.0
2007-12-01,2068.2780000000002,35202.0,35202.0,353.72200000000004,6020.0,6020.0
2008-01-01,1612.9060000000002,25893.0,25893.0,325.094,5219.0,5219.0
2008-02-01,1969.1290000000001,34219.0,34219.0,332.87100000000004,5784.0,5784.0
2008-03-01,1972.102,36504.0,36504.0,348.898,6458.0,6458.0
2008-04-01,1777.268,30678.0,30678.0,399.732,6900.0,6900.0
2008-05-01,1925.382,32401.0,32401.0,467.618,7869.0,7869.0
2008-06-01,1843.0620000000001,32015.0,32015.0,419.93800000000005,7294.0,7294.0
2008-07-01,1841.6290000000001,31021.0,31021.0,401.37100000000004,6761.0,6761.0
2008-08-01,1768.83,29983.0,29983.0,381.17,6461.0,6461.0
2008-09-01,1736.823,30192.0,30192.0,375.177,6522.0,6522.0
2008-10-01,1711.7230000000002,29900.0,29900.0,383.27700000000004,6695.0,6695.0
2008-11-01,1783.4950000000001,39840.0,39840.0,259.505,5797.0,5797.0
2008-12-01,1629.2250000000001,27961.0,27961.0,296.77500000000003,5093.0,5093.0
2009-01-01,1723.5790000000002,33116.0,33116.0,251.42100000000002,4831.0,4831.0
2009-02-01,1184.473,16436.0,16436.0,269.527,3740.0,3740.0
2009-03-01,1704.5230000000001,31889.0,31889.0,253.477,4742.0,4742.0
2009-04-01,1589.121,30819.0,30819.0,237.87900000000002,4613.0,4613.0
2009-05-01,1589.395,31967.0,31967.0,247.605,4980.0,4980.0
2009-06-01,1508.695,32141.0,32141.0,225.305,4800.0,4800.0
2009-07-01,1566.429,31683.0,31683.0,235.571,4765.0,4765.0
2009-08-01,1523.13,31160.0,31160.0,241.87,4948.0,4948.0
