measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2019-03-01,-157.439,0.0,0.0
2019-04-01,-121.591,0.0,0.0
2019-05-01,-178.743,0.0,0.0
2019-06-01,-196.178,0.0,0.0
2019-07-01,-203.961,0.0,0.0
2019-08-01,-201.873,0.0,0.0
2019-09-01,-186.025,0.0,0.0
2019-10-01,-195.002,0.0,0.0
2019-11-01,-196.882,0.0,0.0
2019-12-01,-196.306,0.0,0.0
2020-01-01,-129.922,0.0,0.0
2020-02-01,-128.937,0.0,0.0
2020-03-01,-131.21,0.0,0.0
2020-04-01,-128.713,0.0,0.0
2020-05-01,-137.509,0.0,0.0
2020-06-01,-129.655,0.0,0.0
2020-07-01,-130.371,0.0,0.0
2020-08-01,-141.091,0.0,0.0
2020-09-01,-125.711,0.0,0.0
2020-10-01,-137.376,0.0,0.0
2020-11-01,-131.331,0.0,0.0
2020-12-01,-139.174,0.0,0.0
2021-01-01,-181.556,0.0,0.0
2021-02-01,-159.062,0.0,0.0
2021-03-01,-174.765,0.0,0.0
2021-04-01,-167.528,0.0,0.0
2021-05-01,-189.391,0.0,0.0
2021-06-01,-184.548,0.0,0.0
2021-07-01,-187.976,0.0,0.0
2021-08-01,-183.963,0.0,0.0
2021-09-01,-181.2,0.0,0.0
2021-10-01,-167.241,0.0,0.0
2021-11-01,-151.836,0.0,0.0
2021-12-01,-170.934,0.0,0.0
2022-01-01,-168.331,0.0,0.0
2022-02-01,-148.753,0.0,0.0
2022-03-01,-172.639,0.0,0.0
2022-04-01,-176.253,0.0,0.0
2022-05-01,-199.768,0.0,0.0
2022-06-01,-190.95,0.0,0.0
2022-07-01,-194.38,0.0,0.0
2022-08-01,-194.223,0.0,0.0
2022-09-01,-185.93,0.0,0.0
2022-10-01,-182.296,0.0,0.0
2022-11-01,-182.564,0.0,0.0
2022-12-01,-190.913,0.0,0.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,-231.0,0.0,0.0
2023-04-01,-337.0,0.0,0.0
2023-05-01,-274.0,0.0,0.0
2023-06-01,-275.0,0.0,0.0
2023-07-01,-169.0,0.0,0.0
2023-08-01,-195.0,0.0,0.0
2023-09-01,-146.0,0.0,0.0
2023-10-01,-336.0,0.0,0.0
2023-11-01,-260.0,0.0,0.0
2023-12-01,-187.0,0.0,0.0
2024-01-01,-243.0,0.0,0.0
2024-02-01,-268.0,0.0,0.0
2024-03-01,-209.0,0.0,0.0
2024-04-01,-271.0,0.0,0.0
2024-05-01,-280.0,0.0,0.0
2024-06-01,-289.0,0.0,0.0
2024-07-01,-298.0,0.0,0.0
2024-08-01,-326.0,0.0,0.0
2024-09-01,-241.0,0.0,0.0
2024-10-01,-139.0,0.0,0.0
2024-11-01,-130.0,0.0,0.0
2024-12-01,-174.0,0.0,0.0
