measured_on,Anthracite Coal - Combined Cycle Combustion Turbine Part - Coal - Generation,Anthracite Coal - Combined Cycle Combustion Turbine Part - Coal - Quantity Consumed For Electricity,Anthracite Coal - Combined Cycle Combustion Turbine Part - Coal - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combined Cycle Steam Part - Waste Oil - Generation,Kerosene - Combined Cycle Steam Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Steam Part - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,,,,,,,,,,717.0,8552.0,8552.0,,,,5357.0,63893.0,63893.0,1441.0,528.0,528.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2003-04-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,,,,,,,0.0,0.0,0.0,,,,7194.0,89102.0,89102.0,2911.0,6769.0,6769.0
2003-07-01,,,,,,,,,,0.0,0.0,0.0,,,,8283.0,102131.0,102131.0,3205.0,5539.0,5539.0
2003-08-01,,,,,,,,,,1175.0,14991.0,14991.0,,,,9961.0,127116.0,127116.0,4174.0,6891.0,6891.0
2003-09-01,,,,,,,,,,1305.0,14692.0,14692.0,,,,5460.0,61468.0,61468.0,1935.0,1007.0,1007.0
2003-10-01,,,,,,,,,,0.0,0.0,0.0,,,,7290.0,91505.0,91505.0,2228.0,97.0,97.0
2003-11-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,,,,,,,0.0,0.0,0.0,,,,18462.0,224729.0,224729.0,49350.0,731.0,731.0
2004-01-01,,,,,,,,,,801.63396,12970.17,16783.26,304.55607,0.0,0.0,3010.43004,43367.24,63027.29,1266.82393,6783.93,6783.93
2004-02-01,,,,,,,,,,2.64945,40.13,46.2,0.77303,0.0,0.0,4685.74755,65854.25,81708.22,1473.66697,6365.42,6365.42
2004-03-01,,,,,,,,,,5.787059999999999,86.78,100.97,1.61429,0.0,0.0,4603.26994,64185.19,80314.2,1379.39471,5962.05,5962.05
2004-04-01,,,,,,,,,,0.8834299999999999,13.83,15.4,0.29644,0.0,0.0,5443.20257,78577.88,94885.97,1992.07756,8601.42,8601.42
2004-05-01,,,,,,,,,,11.71666,188.06,204.46,4.32216,0.0,0.0,8025.00334,118210.77,140036.47,3258.08184,14084.37,14084.37
2004-06-01,,,,,,,,,,0.37911,6.16,6.61,0.14637,0.0,0.0,7504.65589,111726.89,130809.62,3203.97563,13832.76,13832.76
2004-07-01,,,,,,,,,,0.28273,4.57,4.93,0.10712999999999999,0.0,0.0,8550.91327,126746.68,149044.29,3575.49387,15436.49,15436.49
2004-08-01,,,,,,,,,,0.14779,2.12,2.58,0.03337,0.0,0.0,10185.03321,137467.37,177524.72,2436.19463,10517.62,10517.62
2004-09-01,,,,,,,,,,0.09960000000000001,1.63,1.74,0.03927,0.0,0.0,7117.290400000001,106491.73,124054.04,3110.32973,13428.01,13428.01
2004-10-01,,,,,,,,,,0.67462,11.76,11.76,0.38730000000000003,0.0,0.0,4297.09538,71686.93,74906.71,2875.9487,12417.65,12417.65
2004-11-01,,,,,,,,,,5.284619999999999,84.66,92.18,1.9354699999999998,0.0,0.0,5850.15338,86041.06,102040.12,2356.37953,10181.26,10181.26
2004-12-01,,,,,,,,,,196.68604,3155.79,3505.99,72.46296,0.0,0.0,6862.53896,100767.91,122326.97,2783.09004,12327.92,12327.92
2005-01-01,,,,,,,,,,,,,,,,3811.8,50796.65,50796.65,1457.778,3439.37,3439.37
2005-02-01,,,,,,,,,,,,,,,,3379.26,45032.55,45032.55,1292.3580000000002,3049.1,3049.1
2005-03-01,,,,,,,,,,,,,,,,4032.554,53738.46,53738.46,1542.203,3638.56,3638.56
2005-04-01,,,,,,,,,,,,,,,,4134.358,55095.11,55095.11,1581.1370000000002,3730.41,3730.41
2005-05-01,,,,,,,,,,,,,,,,3353.954,44695.32,44695.32,1282.68,3026.26,3026.26
2005-06-01,,,,,,,,,,,,,,,,5706.066000000001,76039.94,76039.94,2182.2180000000003,5148.56,5148.56
2005-07-01,,,,,,,,,,,,,,,,7353.069,97988.16,97988.16,2812.0950000000003,6634.65,6634.65
2005-08-01,,,,,,,,,,,,,,,,7861.531,104764.0,104764.0,3006.55,7093.43,7093.43
2005-09-01,,,,,,,,,,,,,,,,5200.475,69302.35,69302.35,1988.861,4692.37,4692.37
2005-10-01,,,,,,,,,,,,,,,,3596.3990000000003,47926.18,47926.18,1375.401,3245.01,3245.01
2005-11-01,,,,,,,,,,,,,,,,3228.174,43019.15,43019.15,1234.577,2912.77,2912.77
2005-12-01,,,,,,,,,,,,,,,,3487.831,46479.38,46479.38,1333.88,3147.06,3147.06
2008-08-01,,,,,,,,,,,,,,,,5375.0,52880.0,52880.0,1294.0,2814.0,2814.0
2008-09-01,,,,,,,,,,,,,,,,2635.0,29061.0,29061.0,696.0,0.0,0.0
2008-10-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,,,,,,,,,,,,,,,,1.0,205.0,205.0,0.0,0.0,0.0
2009-02-01,,,,,,,,,,,,,,,,2368.0,26963.0,26963.0,229.0,2406.0,2406.0
2009-03-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,,,,,,,,,,,,,,,,1358.0,14901.0,14901.0,14.0,175.0,175.0
2009-06-01,,,,,,,,,,,,,,,,1055.0,11201.0,11201.0,44.0,544.0,544.0
2009-07-01,,,,,,,,,,,,,,,,2395.0,24234.0,24234.0,66.0,790.0,790.0
2009-08-01,,,,,,,,,,,,,,,,7636.0,78941.0,78941.0,110.0,3105.0,3105.0
2009-09-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,,,,,,,,,,,,,,,,161.0,2070.0,2568.0,0.0,0.0,0.0
2010-03-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,,,,,,,,,,,,,,,,2256.0,23964.0,23964.0,162.0,855.0,855.0
2010-06-01,,,,,,,,,,,,,,,,10458.0,107027.0,107027.0,346.0,1820.0,1820.0
2010-07-01,,,,,,,,,,,,,,,,26329.0,284091.0,284091.0,1107.0,5649.0,5649.0
2010-08-01,,,,,,,,,,,,,,,,16965.0,175618.0,175618.0,531.0,2663.0,2663.0
2010-09-01,,,,,,,,,,,,,,,,8787.0,86829.0,86829.0,146.0,756.0,756.0
2010-10-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,,,,,,,,,,,,,,,,1994.0,21470.0,21470.0,0.0,0.0,0.0
2010-12-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,,,,,,,,,,,,,,,,434.0,5482.0,6359.0,0.0,0.0,0.0
2011-02-01,,,,,,,,,,,,,,,,583.0,6478.0,6478.0,0.0,0.0,0.0
2011-03-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,,,,,,,,,,,,,,,,1421.0,16239.0,16239.0,0.0,0.0,0.0
2011-05-01,,,,,,,,,,,,,,,,8007.0,89487.0,89487.0,0.0,0.0,0.0
2011-06-01,,,,,,,,,,,,,,,,14109.0,142128.0,142128.0,0.0,0.0,0.0
2011-07-01,,,,,,,,,,,,,,,,27651.0,291854.0,291854.0,0.0,0.0,0.0
2011-08-01,,,,,,,,,,,,,,,,12673.0,135379.0,135379.0,0.0,0.0,0.0
2011-09-01,,,,,,,,,,,,,,,,5717.0,61448.0,61448.0,0.0,0.0,0.0
2011-10-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,,,,,,,,,,,,,,,,253.0,3173.0,3219.0,0.0,0.0,0.0
2011-12-01,,,,,,,,,,,,,,,,492.0,5989.0,5989.0,0.0,0.0,0.0
2012-01-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,,,,,,,,,,,,,,,,1017.0,11934.0,11934.0,0.0,0.0,0.0
2012-04-01,,,,,,,,,,,,,,,,639.0,8189.0,8485.0,0.0,0.0,0.0
2012-05-01,,,,,,,,,,,,,,,,16723.0,180899.0,180899.0,0.0,0.0,0.0
2012-06-01,,,,,,,,,,,,,,,,21836.0,230845.0,230845.0,0.0,0.0,0.0
2012-07-01,,,,,,,,,,,,,,,,33774.0,361323.0,361323.0,0.0,0.0,0.0
2012-08-01,,,,,,,,,,,,,,,,31301.0,345885.0,345885.0,0.0,0.0,0.0
2012-09-01,,,,,,,,,,,,,,,,22480.0,232358.0,232358.0,0.0,0.0,0.0
2012-10-01,,,,,,,,,,,,,,,,8917.0,97008.0,97008.0,0.0,0.0,0.0
2012-11-01,,,,,,,,,,,,,,,,1431.0,10563.0,10563.0,0.0,0.0,0.0
2012-12-01,,,,,,,,,,,,,,,,6959.0,71643.0,71643.0,0.0,0.0,0.0
2013-01-01,,,,,,,,,,,,,,,,23807.0,245201.0,245201.0,0.0,0.0,0.0
2013-02-01,,,,,,,,,,,,,,,,12105.0,119624.0,119624.0,0.0,0.0,0.0
2013-03-01,,,,,,,,,,,,,,,,9578.0,95707.0,95707.0,0.0,0.0,0.0
2013-04-01,,,,,,,,,,,,,,,,9018.0,91644.0,91644.0,0.0,0.0,0.0
2013-05-01,,,,,,,,,,,,,,,,6191.0,65310.0,65310.0,0.0,0.0,0.0
2013-06-01,,,,,,,,,,,,,,,,11075.0,114730.0,114730.0,0.0,0.0,0.0
2013-07-01,,,,,,,,,,,,,,,,18609.0,195533.0,195533.0,0.0,0.0,0.0
2013-08-01,,,,,,,,,,,,,,,,6822.0,72376.0,72376.0,0.0,0.0,0.0
2013-09-01,,,,,,,,,,,,,,,,5578.0,57782.0,57782.0,0.0,0.0,0.0
2013-10-01,,,,,,,,,,,,,,,,1212.0,12606.0,12606.0,0.0,0.0,0.0
2013-11-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,,,,0.0,0.0,0.0,,,,,,,,,,6194.0,58484.0,58484.0,0.0,0.0,0.0
2014-02-01,,,,0.0,0.0,0.0,,,,,,,,,,616.0,7075.0,7075.0,0.0,0.0,0.0
2014-03-01,,,,0.0,0.0,0.0,,,,,,,,,,3363.0,35144.0,35144.0,0.0,0.0,0.0
2014-04-01,,,,0.0,0.0,0.0,,,,,,,,,,580.0,3196.0,3196.0,0.0,0.0,0.0
2014-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,544.0,7386.0,7386.0,200.0,467.0,467.0
2014-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6937.0,94160.0,94160.0,3169.0,10269.0,10269.0
2014-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11400.0,150339.0,150339.0,5388.0,16142.0,16142.0
2014-08-01,,,,4.385,58.0,58.0,1.848,0.0,0.0,,,,,,,3096.615,40926.0,40926.0,1456.152,4749.0,4749.0
2014-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4505.0,59553.0,59553.0,2167.0,7440.0,7440.0
2014-10-01,,,,18.987,243.0,243.0,7.472,0.0,0.0,,,,,,,7747.013,99326.0,99326.0,3331.528,9207.0,9207.0
2014-11-01,,,,2.281,29.0,29.0,0.702,0.0,0.0,,,,,,,1547.719,19662.0,19662.0,506.298,1251.0,1251.0
2014-12-01,,,,181.022,2243.0,2243.0,52.143,0.0,0.0,,,,,,,2373.978,29416.0,29416.0,696.857,561.0,561.0
2015-01-01,,,,0.0,0.0,0.0,,,,,,,,,,5622.0,68270.0,68270.0,1765.0,2408.0,2408.0
2015-02-01,,,,3333.83,42137.0,42137.0,906.302,0.0,0.0,,,,,,,293.17,3705.0,3705.0,79.698,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0,214.0,214.0,0.0,0.0,0.0
2015-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,464.0,3057.0,3057.0,130.0,3056.0,3056.0
2015-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7918.0,103365.0,103365.0,2856.0,3614.0,3614.0
2015-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2870.0,37886.0,37886.0,1142.0,2090.0,2090.0
2015-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7811.0,102940.0,102940.0,3476.0,9500.0,9500.0
2015-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1912.0,25209.0,25209.0,788.0,2436.0,2436.0
2015-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2920.0,38987.0,38987.0,1331.0,4677.0,4677.0
2015-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,,,,0.0,1959.0,1959.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,,,,0.0,4666.0,4666.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,,,,244.0,3257.0,3257.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,780.0,10760.0,10760.0,284.0,812.0,812.0
2016-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,672.0,8992.0,8992.0,313.0,997.0,997.0
2016-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1105.0,14921.0,14921.0,458.0,1257.0,1257.0
2016-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9581.0,127908.0,127908.0,4936.0,18892.0,18892.0
2016-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7877.0,110554.0,110554.0,3879.0,14689.0,14689.0
2016-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5950.0,79602.0,79602.0,2665.0,8035.0,8035.0
2016-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3178.0,41066.0,41066.0,1457.0,5696.0,5696.0
2016-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,36.0,36.0,0.0,0.0,0.0
2016-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,521.0,6701.0,6701.0,145.0,77.0,77.0
2017-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2108.0,27809.0,27809.0,954.0,3014.0,3014.0
2017-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2342.0,30943.0,30943.0,1043.0,2606.0,2606.0
2017-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4523.0,59778.0,59778.0,2226.0,7210.0,7210.0
2017-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3391.0,44578.0,44578.0,1528.0,4316.0,4316.0
2017-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3091.0,40671.0,40671.0,1332.0,3291.0,3291.0
2017-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3869.0,50519.0,50519.0,1740.0,5081.0,5081.0
