measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2019-06-01,618.452,5507.0,5507.0
2019-07-01,693.033,6171.0,6171.0
2019-08-01,621.579,5535.0,5535.0
2019-09-01,532.497,4742.0,4742.0
2019-10-01,381.817,3400.0,3400.0
2019-11-01,365.896,3258.0,3258.0
2019-12-01,227.726,2028.0,2028.0
2020-01-01,87.731,769.0,769.0
2020-02-01,98.568,864.0,864.0
2020-03-01,141.173,1238.0,1238.0
2020-04-01,146.804,1287.0,1287.0
2020-05-01,192.127,1684.0,1684.0
2020-06-01,201.681,1768.0,1768.0
2020-07-01,189.952,1665.0,1665.0
2020-08-01,164.125,1439.0,1439.0
2020-09-01,150.804,1322.0,1322.0
2020-10-01,108.899,955.0,955.0
2020-11-01,99.928,876.0,876.0
2020-12-01,69.208,607.0,607.0
2021-01-01,44.438,393.0,393.0
2021-02-01,26.463,234.0,234.0
2021-03-01,86.77,767.0,767.0
2021-04-01,85.564,757.0,757.0
2021-05-01,96.785,856.0,856.0
2021-06-01,96.382,852.0,852.0
2021-07-01,92.602,819.0,819.0
2021-08-01,80.999,716.0,716.0
2021-09-01,73.177,647.0,647.0
2021-10-01,58.638,519.0,519.0
2021-11-01,50.695,448.0,448.0
2021-12-01,45.487,402.0,402.0
2022-01-01,281.911,962.0,962.0
2022-02-01,344.14,1174.0,1174.0
2022-03-01,460.951,1573.0,1573.0
2022-04-01,545.512,1861.0,1861.0
2022-05-01,559.653,1910.0,1910.0
2022-06-01,579.972,1979.0,1979.0
2022-07-01,590.032,2013.0,2013.0
2022-08-01,604.654,2063.0,2063.0
2022-09-01,505.725,1726.0,1726.0
2022-10-01,418.953,1429.0,1429.0
2022-11-01,333.088,1136.0,1136.0
2022-12-01,252.409,861.0,861.0
2023-01-01,211.0,720.0,720.0
2023-02-01,361.0,1232.0,1232.0
2023-03-01,466.0,1590.0,1590.0
2023-04-01,538.0,1836.0,1836.0
2023-05-01,750.0,2559.0,2559.0
2023-06-01,639.0,2180.0,2180.0
2023-07-01,680.0,2320.0,2320.0
2023-08-01,594.0,2027.0,2027.0
2023-09-01,462.0,1576.0,1576.0
2023-10-01,421.0,1436.0,1436.0
2023-11-01,305.0,1041.0,1041.0
2023-12-01,176.0,601.0,601.0
2024-01-01,142.0,485.0,485.0
2024-02-01,359.0,1225.0,1225.0
2024-03-01,462.0,1576.0,1576.0
2024-04-01,503.0,1716.0,1716.0
2024-05-01,527.0,1798.0,1798.0
2024-06-01,678.0,2313.0,2313.0
2024-07-01,621.0,2119.0,2119.0
2024-08-01,553.0,1887.0,1887.0
2024-09-01,420.0,1433.0,1433.0
2024-10-01,440.0,1501.0,1501.0
2024-11-01,269.0,918.0,918.0
2024-12-01,205.0,699.0,699.0
