measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed
2020-01-01,756.802,5290.0,5290.0
2020-02-01,709.169,4956.0,4956.0
2020-03-01,642.711,4492.0,4492.0
2020-04-01,657.98,4599.0,4599.0
2020-05-01,583.365,4077.0,4077.0
2020-06-01,779.933,5450.0,5450.0
2020-07-01,937.544,6553.0,6553.0
2020-08-01,835.305,5838.0,5838.0
2020-09-01,736.289,5146.0,5146.0
2020-10-01,601.015,4200.0,4200.0
2020-11-01,671.914,4696.0,4696.0
2020-12-01,757.973,5297.0,5297.0
2021-01-01,630.647,4631.0,4631.0
2021-02-01,581.026,4266.0,4266.0
2021-03-01,648.504,4762.0,4762.0
2021-04-01,497.716,3654.0,3654.0
2021-05-01,556.34,4085.0,4085.0
2021-06-01,714.886,5249.0,5249.0
2021-07-01,728.163,5347.0,5347.0
2021-08-01,783.136,5750.0,5750.0
2021-09-01,658.931,4839.0,4839.0
2021-10-01,567.956,4170.0,4170.0
2021-11-01,781.432,5738.0,5738.0
2021-12-01,674.263,4951.0,4951.0
2022-01-01,542.323,3824.0,3824.0
2022-02-01,438.589,3093.0,3093.0
2022-03-01,562.447,3967.0,3967.0
2022-04-01,445.083,3139.0,3139.0
2022-05-01,469.516,3311.0,3311.0
2022-06-01,606.419,4277.0,4277.0
2022-07-01,719.658,5076.0,5076.0
2022-08-01,729.325,5144.0,5144.0
2022-09-01,644.865,4547.0,4547.0
2022-10-01,515.077,3633.0,3633.0
2022-11-01,567.414,4002.0,4002.0
2022-12-01,474.284,3344.0,3344.0
2023-01-01,577.462,4149.0,4149.0
2023-02-01,495.225,3557.0,3557.0
2023-03-01,624.74,4487.0,4487.0
2023-04-01,589.257,4232.0,4232.0
2023-05-01,466.363,3350.0,3350.0
2023-06-01,699.098,5021.0,5021.0
2023-07-01,706.243,5073.0,5073.0
2023-08-01,637.713,4580.0,4580.0
2023-09-01,603.628,4335.0,4335.0
2023-10-01,520.583,3739.0,3739.0
2023-11-01,618.102,4439.0,4439.0
2023-12-01,597.586,4292.0,4292.0
2024-01-01,589.0,4250.0,4250.0
2024-02-01,639.0,4522.0,4522.0
2024-03-01,721.0,5084.0,5084.0
2024-04-01,683.0,4844.0,4844.0
2024-05-01,678.0,4869.0,4869.0
2024-06-01,650.0,4698.0,4698.0
2024-07-01,664.0,4829.0,4829.0
2024-08-01,646.0,4718.0,4718.0
2024-09-01,629.0,4580.0,4580.0
2024-10-01,681.0,4957.0,4957.0
2024-11-01,678.0,4923.0,4923.0
2024-12-01,681.0,4998.0,4998.0
