measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0
2010-11-01,2798.101,32644.0,32644.0
2010-12-01,2598.8990000000003,30320.0,30320.0
2011-01-01,3448.447,46502.0,46502.0
2011-02-01,3435.47,46327.0,46327.0
2011-03-01,3644.139,49141.0,49141.0
2011-04-01,3456.672,46613.0,46613.0
2011-05-01,3640.662,49094.0,49094.0
2011-06-01,3535.551,47677.0,47677.0
2011-07-01,3733.204,50342.0,50342.0
2011-08-01,3810.377,51383.0,51383.0
2011-09-01,3635.701,49028.0,49028.0
2011-10-01,3463.926,46711.0,46711.0
2011-11-01,3425.759,46196.0,46196.0
2011-12-01,3450.092,46524.0,46524.0
2012-01-01,3831.213,58573.0,58573.0
2012-02-01,3772.119,57670.0,57670.0
2012-03-01,3617.307,55303.0,55303.0
2012-04-01,3398.53,51958.0,51958.0
2012-05-01,3524.844,53889.0,53889.0
2012-06-01,3058.534,46760.0,46760.0
2012-07-01,3294.922,50374.0,50374.0
2012-08-01,3810.131,58251.0,58251.0
2012-09-01,3748.827,57314.0,57314.0
2012-10-01,3762.845,57528.0,57528.0
2012-11-01,4115.007,62912.0,62912.0
2012-12-01,4123.721,63045.0,63045.0
2013-01-01,4092.51,58273.0,58273.0
2013-02-01,3686.909,52498.0,52498.0
2013-03-01,3960.911,56399.0,56399.0
2013-04-01,3594.873,51187.0,51187.0
2013-05-01,3987.496,56778.0,56778.0
2013-06-01,3883.098,55291.0,55291.0
2013-07-01,3993.34,56861.0,56861.0
2013-08-01,4412.345,62827.0,62827.0
2013-09-01,4024.956,57311.0,57311.0
2013-10-01,4394.157,62568.0,62568.0
2013-11-01,4369.445,62216.0,62216.0
2013-12-01,4561.96,64958.0,64958.0
2014-01-01,4254.223,60887.0,60887.0
2014-02-01,3713.013,53142.0,53142.0
2014-03-01,3880.362,55537.0,55537.0
2014-04-01,3407.712,48772.0,48772.0
2014-05-01,3511.177,50253.0,50253.0
2014-06-01,3724.121,53301.0,53301.0
2014-07-01,3725.138,53315.0,53315.0
2014-08-01,3651.1,52256.0,52256.0
2014-09-01,3680.113,52671.0,52671.0
2014-10-01,3698.585,52936.0,52936.0
2014-11-01,3175.752,45453.0,45453.0
2014-12-01,3385.704,48458.0,48458.0
2015-01-01,3997.284,53868.0,53868.0
2015-02-01,3718.383,50109.0,50109.0
2015-03-01,3875.375,52225.0,52225.0
2015-04-01,3422.059,46115.0,46115.0
2015-05-01,3737.623,50368.0,50368.0
2015-06-01,4200.721,56609.0,56609.0
2015-07-01,4281.266,57694.0,57694.0
2015-08-01,4124.04,55576.0,55576.0
2015-09-01,4036.373,54394.0,54394.0
2015-10-01,3886.177,52370.0,52370.0
2015-11-01,3601.208,48530.0,48530.0
2015-12-01,4102.491,55285.0,55285.0
2016-01-01,4194.756,57473.0,57473.0
2016-02-01,3967.749,54361.0,54361.0
2016-03-01,3652.358,50040.0,50040.0
2016-04-01,3609.648,49455.0,49455.0
2016-05-01,4232.09,57983.0,57983.0
2016-06-01,4174.67,57196.0,57196.0
2016-07-01,4031.508,55235.0,55235.0
2016-08-01,3900.096,53434.0,53434.0
2016-09-01,4119.915,56446.0,56446.0
2016-10-01,4011.146,54956.0,54956.0
2016-11-01,4092.243,56067.0,56067.0
2016-12-01,4059.821,55623.0,55623.0
2017-01-01,4139.144,55466.0,55466.0
2017-02-01,3744.477,50177.0,50177.0
2017-03-01,4193.187,56190.0,56190.0
2017-04-01,3769.256,50509.0,50509.0
2017-05-01,4108.154,55050.0,55050.0
2017-06-01,4204.403,56340.0,56340.0
2017-07-01,4168.801,55863.0,55863.0
2017-08-01,4181.688,56036.0,56036.0
2017-09-01,3921.338,52547.0,52547.0
2017-10-01,3308.463,44335.0,44335.0
2017-11-01,3949.555,52925.0,52925.0
2017-12-01,4349.534,58285.0,58285.0
2018-01-01,4144.063,59137.0,59137.0
2018-02-01,3872.731,55265.0,55265.0
2018-03-01,3845.817,54882.0,54882.0
2018-04-01,3653.217,52133.0,52133.0
2018-05-01,3737.069,53330.0,53330.0
2018-06-01,3741.355,53391.0,53391.0
2018-07-01,4016.065,57311.0,57311.0
2018-08-01,4185.051,59723.0,59723.0
2018-09-01,4045.298,57728.0,57728.0
2018-10-01,4076.721,58177.0,58177.0
2018-11-01,3997.233,57042.0,57042.0
2018-12-01,4251.38,60669.0,60669.0
2019-01-01,3819.197,53879.0,53879.0
2019-02-01,3494.601,49300.0,49300.0
2019-03-01,3871.839,54621.0,54621.0
2019-04-01,3592.047,50674.0,50674.0
2019-05-01,3341.991,47147.0,47147.0
2019-06-01,3395.192,47897.0,47897.0
2019-07-01,3746.39,52852.0,52852.0
2019-08-01,3908.476,55138.0,55138.0
2019-09-01,3598.314,50763.0,50763.0
2019-10-01,3203.737,45196.0,45196.0
2019-11-01,3484.354,49155.0,49155.0
2019-12-01,3759.862,53042.0,53042.0
2020-01-01,3801.54,58245.0,58245.0
2020-02-01,3419.548,52392.0,52392.0
2020-03-01,3603.202,55206.0,55206.0
2020-04-01,3372.269,51668.0,51668.0
2020-05-01,3582.292,54886.0,54886.0
2020-06-01,3301.716,50587.0,50587.0
2020-07-01,3708.218,56815.0,56815.0
2020-08-01,3540.44,54244.0,54244.0
2020-09-01,3511.71,53805.0,53805.0
2020-10-01,3379.695,51781.0,51781.0
2020-11-01,3402.475,52131.0,52131.0
2020-12-01,3038.895,46560.0,46560.0
2021-01-01,2653.083,46937.0,46937.0
2021-02-01,2464.196,43596.0,43596.0
2021-03-01,2751.958,48686.0,48686.0
2021-04-01,2283.424,40398.0,40398.0
2021-05-01,2471.618,43727.0,43727.0
2021-06-01,2539.537,44929.0,44929.0
2021-07-01,2467.897,43661.0,43661.0
2021-08-01,2452.082,43381.0,43381.0
2021-09-01,2488.514,44026.0,44026.0
2021-10-01,2437.879,43130.0,43130.0
2021-11-01,2401.928,42494.0,42494.0
2021-12-01,2406.884,42582.0,42582.0
2022-01-01,3670.896,58576.0,58576.0
2022-02-01,3250.904,51874.0,51874.0
2022-03-01,3507.654,55971.0,55971.0
2022-04-01,2729.889,43560.0,43560.0
2022-05-01,2817.875,44965.0,44965.0
2022-06-01,3129.523,49937.0,49937.0
2022-07-01,3364.797,53692.0,53692.0
2022-08-01,3539.679,56482.0,56482.0
2022-09-01,3431.093,54749.0,54749.0
2022-10-01,3453.843,55112.0,55112.0
2022-11-01,2932.977,46801.0,46801.0
2022-12-01,3343.87,53358.0,53358.0
2023-01-01,2501.94,41458.0,41458.0
2023-02-01,2429.762,40262.0,40262.0
2023-03-01,2567.178,42539.0,42539.0
2023-04-01,2447.142,40550.0,40550.0
2023-05-01,3003.294,49766.0,49766.0
2023-06-01,2684.955,44491.0,44491.0
2023-07-01,2802.667,46441.0,46441.0
2023-08-01,3009.667,49871.0,49871.0
2023-09-01,2804.618,46474.0,46474.0
2023-10-01,2643.676,43807.0,43807.0
2023-11-01,2687.769,44537.0,44537.0
2023-12-01,3032.332,50247.0,50247.0
2024-01-01,180.778,3458.0,3458.0
2024-02-01,157.345,3009.0,3009.0
2024-03-01,188.704,3609.0,3609.0
2024-04-01,154.628,2957.0,2957.0
2024-05-01,182.524,3490.0,3490.0
2024-06-01,170.305,3257.0,3257.0
2024-07-01,176.524,3376.0,3376.0
2024-08-01,178.394,3411.0,3411.0
2024-09-01,171.052,3271.0,3271.0
2024-10-01,165.531,3165.0,3165.0
2024-11-01,176.542,3376.0,3376.0
2024-12-01,184.673,3532.0,3532.0
