measured_on,"Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,6482.0,29327.0,120837.0
2003-04-01,6521.397,27538.0,126956.0
2003-08-01,6854.621,27833.0,130895.0
2003-11-01,7907.0,56947.0,153848.0
2003-12-01,7143.0,38833.0,144162.0
2004-01-01,8647.532000000001,48563.66,173098.52
2004-02-01,7610.04,42737.2,152330.94
2004-03-01,7719.737,43353.26,154526.78
2004-04-01,7106.636,39910.14,142254.24
2004-05-01,6541.865000000001,36738.45,130949.2
2004-06-01,7070.987,39709.94,141540.68
2004-07-01,8019.785000000001,45038.29,160532.8
2004-08-01,6455.777,36254.98,129225.93
2004-09-01,6631.321,37240.82,132739.84
2004-10-01,7632.714,42864.54,152784.78
2004-11-01,7146.4,40133.45,143050.22
2004-12-01,7006.169000000001,39345.93,140243.22
2005-01-01,7733.838000000001,43432.45,173475.77
2005-02-01,6960.212,39087.83,156122.83
2005-03-01,7430.1230000000005,41726.81,166663.31
2005-04-01,7317.633000000001,41095.08,164140.01
2005-05-01,7328.84,41158.01,164391.42
2005-06-01,7588.664000000001,42617.16,170219.47
2005-07-01,7908.984,44416.05,177404.46
2005-08-01,7810.676,43863.96,175199.38
2005-09-01,7537.064,42327.38,169062.06
2005-10-01,7692.6720000000005,43201.26,172552.44
2005-11-01,7453.779,41859.66,167193.92
2005-12-01,7590.2210000000005,42625.9,170254.37
2006-01-01,8017.639,45026.24,165308.58
2006-02-01,6945.562,39005.57,143204.37
2006-03-01,7380.211,41446.51,152166.04
2006-04-01,7377.627,41432.0,152112.77
2006-05-01,7328.063,41153.65,151090.86
2006-06-01,7519.986000000001,42231.47,155047.9
2006-07-01,8185.703,45970.07,168773.84
2006-08-01,8026.282,45074.78,165486.86
2006-09-01,7727.75,43398.25,159331.66
2006-10-01,7368.63,41381.47,151927.29
2006-11-01,7328.63,41156.84,151102.56
2006-12-01,7856.287,44120.1,161981.86
2007-01-01,7153.0,42580.0,184752.0
2007-02-01,4429.0,26640.0,119296.0
2007-03-01,7883.0,46423.0,174252.0
2007-04-01,7531.0,44401.0,196034.0
2007-05-01,7784.0,45831.0,230214.0
2007-06-01,8051.0,47283.0,201060.0
2007-07-01,7900.0,46612.0,196257.0
2007-08-01,7549.0,44602.0,217815.0
2007-09-01,7130.0,42334.0,183858.0
2007-10-01,4366.0,26138.0,180060.0
2007-11-01,6530.0,38659.0,153141.0
2007-12-01,1859.0,11717.0,105892.0
2008-01-01,6057.0,36300.0,157135.0
2008-02-01,5923.0,35491.0,149504.0
2008-03-01,5415.0,32444.0,141874.0
2008-04-01,6675.0,39999.0,159303.0
2008-05-01,7058.0,42297.0,163304.0
2008-06-01,6963.0,41720.0,157506.0
2008-07-01,6885.0,41261.0,160292.0
2008-08-01,7631.0,45727.0,167887.0
2008-09-01,3075.0,18428.0,94950.0
2008-10-01,5112.0,30632.0,142722.0
2008-11-01,4608.0,27612.0,120034.0
2008-12-01,6232.0,37335.0,152974.0
2009-01-01,6060.0,36311.0,164894.0
