measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,2020.2930000000001,18544.0,18546.0,,,,,,,,,,1036.246,9512.0,9513.0
2003-02-01,1936.9440000000002,17779.0,17781.0,,,,,,,,,,993.494,9120.0,9121.0
2003-03-01,1957.124,17964.0,17966.0,,,,,,,,,,1003.845,9215.0,9216.0
2003-04-01,1789.202,16423.0,16425.0,,,,,,,,,,917.715,8424.0,8425.0
2003-05-01,1821.164,16716.0,16718.0,,,,,,,,,,934.109,8574.0,8576.0
2003-06-01,1902.981,17467.0,17469.0,,,,,,,,,,976.0740000000001,8960.0,8961.0
2003-07-01,2203.185,20223.0,20225.0,,,,,,,,,,1130.054,10373.0,10374.0
2003-08-01,2357.5640000000003,21640.0,21643.0,,,,,,,,,,1209.238,11100.0,11101.0
2003-09-01,2010.412,18453.0,18456.0,,,,,,,,,,1031.1770000000001,9465.0,9467.0
2003-10-01,1958.144,17973.0,17976.0,,,,,,,,,,1004.368,9219.0,9221.0
2003-11-01,1968.919,18072.0,18075.0,,,,,,,,,,1009.895,9270.0,9271.0
2003-12-01,2148.068,19717.0,19719.0,,,,,,,,,,1101.784,10114.0,10115.0
2004-01-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-02-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-03-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-04-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-05-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-06-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-07-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-08-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-09-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-10-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-11-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-12-01,,,,,,,,,,,,,0.0,0.0,0.0
2006-01-01,115.41136,1059.21,9598.0,,,,,,,,,,1063.00564,9755.94,88403.15
2006-02-01,108.51388,995.91,9024.4,,,,,,,,,,965.03412,8856.8,80255.67
2006-03-01,105.96488,972.51,8812.4,,,,,,,,,,1045.21512,9592.67,86923.65
2006-04-01,106.06571,973.44,8820.8,,,,,,,,,,966.07129,8866.32,80341.91
2006-05-01,111.54901,1023.76,9276.8,,,,,,,,,,963.75899,8845.09,80149.52
2006-06-01,114.11252,1047.29,9490.0,,,,,,,,,,962.13248,8830.16,80014.33
2006-07-01,119.83156,1099.78,9965.6,,,,,,,,,,1033.86644,9488.52,85979.85
2006-08-01,119.78089,1099.31,9961.4,,,,,,,,,,1094.78311,10047.59,91046.01
2006-09-01,108.17475999999999,992.8,8996.2,,,,,,,,,,1024.46524,9402.24,85198.19
2006-10-01,105.90935,972.0,8807.8,,,,,,,,,,1063.90265,9764.18,88477.95
2006-11-01,107.37168,985.42,8929.4,,,,,,,,,,1040.38532,9548.34,86522.04
2006-12-01,114.4444,1050.34,9517.6,,,,,,,,,,1078.4516,9897.71,89687.84
2007-01-01,260.395,2392.0,15652.0,,,,,,,,,,2581.6440000000002,23691.0,155137.0
2007-02-01,209.49300000000002,1924.0,12584.0,,,,,,,,,,2019.21,18533.0,121337.0
2007-03-01,200.485,1846.0,12038.0,,,,,,,,,,2257.2360000000003,20717.0,135637.0
2007-04-01,233.174,2132.0,14014.0,,,,,,,,,,2232.637,20488.0,134160.0
2007-05-01,229.214,2106.0,13780.0,,,,,,,,,,2665.888,24471.0,160202.0
2007-06-01,260.923,2392.0,15678.0,,,,,,,,,,2449.29,22474.0,147181.0
2007-07-01,267.26800000000003,2444.0,16068.0,,,,,,,,,,2986.389,27404.0,179452.0
2007-08-01,278.826,2548.0,16744.0,,,,,,,,,,2765.8450000000003,25386.0,166202.0
2007-09-01,252.119,2314.0,15158.0,,,,,,,,,,2498.219,22932.0,150124.0
2007-10-01,249.52900000000002,2288.0,15002.0,,,,,,,,,,2914.811,26749.0,175157.0
2007-11-01,228.93800000000002,2106.0,13754.0,,,,,,,,,,2948.5530000000003,27061.0,177185.0
2007-12-01,258.846,2366.0,15548.0,,,,,,,,,,2535.1980000000003,23265.0,152339.0
2008-01-01,260.992,2323.0,15392.0,,,,,,,,,,2768.8320000000003,24649.0,163592.0
2008-02-01,230.434,2051.0,13624.0,,,,,,,,,,2776.76,24720.0,164054.0
2008-03-01,223.834,1993.0,13234.0,,,,,,,,,,2604.474,23186.0,153868.0
2008-04-01,239.80700000000002,2135.0,14170.0,,,,,,,,,,2600.768,23153.0,153648.0
2008-05-01,214.55800000000002,1910.0,12688.0,,,,,,,,,,2869.094,25542.0,169499.0
2008-06-01,235.93800000000002,2100.0,13936.0,,,,,,,,,,2846.005,25336.0,168135.0
2008-07-01,293.93,2617.0,17368.0,,,,,,,,,,3041.5170000000003,27077.0,179696.0
2008-08-01,297.671,2650.0,17576.0,,,,,,,,,,3156.7400000000002,28102.0,186494.0
2008-09-01,238.917,2127.0,14118.0,,,,,,,,,,2764.2160000000003,24608.0,163306.0
2008-10-01,230.09,2048.0,13598.0,,,,,,,,,,2916.474,25964.0,172304.0
2008-11-01,238.15900000000002,2120.0,14066.0,,,,,,,,,,3071.974,27348.0,181489.0
2008-12-01,275.04900000000004,2449.0,16250.0,,,,,,,,,,2447.7670000000003,21791.0,144617.0
2009-01-01,242.74900000000002,2161.0,14456.0,,,,104.827,933.0,6255.0,18.29,163.0,1080.0,1963.428,17479.0,117140.0
2009-02-01,184.15800000000002,1639.0,10998.0,,,,81.99,730.0,4891.0,14.306000000000001,127.0,860.0,2321.7470000000003,20669.0,138500.0
2009-03-01,173.161,1542.0,10322.0,,,,113.757,1013.0,6787.0,19.849,177.0,1180.0,2182.0060000000003,19425.0,130170.0
2009-04-01,141.982,1264.0,8476.0,,,,103.301,920.0,6162.0,18.025,160.0,1080.0,2118.8720000000003,18863.0,126400.0
2009-05-01,168.524,1500.0,10062.0,,,,99.43,885.0,5931.0,17.349,154.0,1040.0,1914.929,17047.0,114230.0
2009-06-01,182.58800000000002,1625.0,10894.0,,,,112.933,1005.0,6736.0,19.705,175.0,1180.0,2406.1110000000003,21420.0,143530.0
2009-07-01,219.48700000000002,1954.0,13104.0,,,,103.997,926.0,6204.0,18.146,162.0,1080.0,2702.3540000000003,24057.0,161210.0
2009-08-01,207.233,1845.0,12350.0,,,,95.281,848.0,5685.0,16.625,148.0,1000.0,2564.6220000000003,22831.0,152990.0
2009-09-01,194.393,1731.0,11596.0,,,,108.114,962.0,6450.0,18.864,168.0,1120.0,2313.578,20596.0,138010.0
2009-10-01,221.733,1974.0,13234.0,,,,42.834,381.0,2554.0,7.474,67.0,440.0,2265.304,20167.0,135130.0
2009-11-01,214.169,1907.0,12766.0,,,,114.265,1017.0,6816.0,19.938000000000002,177.0,1180.0,2517.685,22413.0,150190.0
2009-12-01,252.205,2245.0,15054.0,,,,95.203,848.0,5678.0,16.612000000000002,148.0,1000.0,2225.867,19815.0,132780.0
2010-01-01,343.119,3055.0,15418.0,,,,0.0,0.0,0.0,85.78,764.0,3852.0,2785.826,24800.0,125190.0
2010-02-01,299.014,2662.0,13442.0,,,,0.0,0.0,0.0,78.49300000000001,699.0,3528.0,2768.9570000000003,24650.0,124410.0
2010-03-01,295.365,2629.0,13260.0,,,,0.0,0.0,0.0,89.739,799.0,4032.0,2914.308,25944.0,130940.0
2010-04-01,296.473,2639.0,13312.0,,,,0.0,0.0,0.0,92.924,827.0,4176.0,2921.201,26006.0,131250.0
2010-05-01,341.197,3037.0,15340.0,,,,0.0,0.0,0.0,78.524,699.0,3528.0,3042.5710000000004,27086.0,136710.0
2010-06-01,355.46,3164.0,15964.0,,,,0.0,0.0,0.0,90.65700000000001,807.0,4068.0,2578.12,22951.0,115840.0
2010-07-01,396.76300000000003,3532.0,17836.0,,,,0.0,0.0,0.0,82.51700000000001,735.0,3708.0,3206.1710000000003,28543.0,144060.0
2010-08-01,373.521,3325.0,16770.0,,,,0.0,0.0,0.0,92.432,823.0,4158.0,3050.414,27156.0,137060.0
2010-09-01,288.466,2568.0,12974.0,,,,0.0,0.0,0.0,81.031,721.0,3636.0,2884.0280000000002,25675.0,129580.0
2010-10-01,275.634,2454.0,12376.0,,,,0.0,0.0,0.0,82.849,738.0,3726.0,3548.344,31589.0,159430.0
2010-11-01,288.62100000000004,2569.0,12974.0,,,,0.0,0.0,0.0,103.01700000000001,917.0,4626.0,3498.021,31141.0,157170.0
2010-12-01,372.543,3317.0,16744.0,,,,0.0,0.0,0.0,80.812,719.0,3636.0,3837.088,34159.0,172410.0
2011-01-01,290.847,3252.0,17766.0,,,,0.0,0.0,0.0,35.906,402.0,2204.0,2343.23,26204.0,142868.0
2011-02-01,228.631,2557.0,13932.0,,,,0.0,0.0,0.0,37.864,423.0,2318.0,2161.59,24172.0,131791.0
2011-03-01,272.242,3044.0,16605.0,,,,0.0,0.0,0.0,43.806,490.0,2679.0,2330.682,26063.0,142098.0
2011-04-01,221.038,2472.0,13473.0,,,,0.0,0.0,0.0,44.706,500.0,2717.0,2248.267,25142.0,137071.0
2011-05-01,202.496,2264.0,12339.0,,,,0.0,0.0,0.0,30.371,340.0,1843.0,2282.223,25521.0,139139.0
