measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,868754.0,8589531.0,8589531.0,155.0,1533.0,1533.0,0.0,0.0,0.0,,,
2003-02-01,920907.0,9080478.0,9080478.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,614877.0,6331488.0,6331488.0,167.0,1717.0,1717.0,0.0,0.0,0.0,,,
2003-04-01,814285.0,8457020.0,8457020.0,261.0,2711.0,2711.0,0.0,0.0,0.0,,,
2003-05-01,497562.0,5206190.0,5206190.0,403.0,4216.0,4216.0,0.0,0.0,0.0,,,
2003-06-01,551258.0,5851235.0,5851235.0,541.0,5738.0,5738.0,0.0,0.0,0.0,,,
2003-07-01,562587.0,5969926.0,5969926.0,158.0,1676.0,1676.0,0.0,0.0,0.0,,,
2003-08-01,767687.0,8094944.0,8094944.0,220.0,2325.0,2325.0,0.0,0.0,0.0,,,
2003-09-01,673648.0,7177540.0,7177540.0,343.0,3654.0,3654.0,0.0,0.0,0.0,,,
2003-10-01,811318.0,8158150.0,8158150.0,377.0,3788.0,3788.0,0.0,0.0,0.0,,,
2003-11-01,384062.0,3862299.0,3862299.0,188.0,1888.0,1888.0,0.0,0.0,0.0,,,
2003-12-01,610786.0,6025896.0,6025896.0,209.0,2059.0,2059.0,0.0,0.0,0.0,,,
2004-01-01,660255.0,6602825.0,6602825.0,213.0,2131.0,2131.0,0.0,0.0,0.0,,,
2004-02-01,622478.0,6255438.0,6255438.0,222.0,2226.0,2226.0,0.0,0.0,0.0,,,
2004-03-01,576322.0,5813909.0,5813909.0,381.0,3848.0,3848.0,0.0,0.0,0.0,,,
2004-04-01,519440.0,5164288.0,5164288.0,239.0,2380.0,2380.0,0.0,0.0,0.0,,,
2004-05-01,377914.0,3799718.0,3799718.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,349573.0,3816544.0,3816544.0,1086.0,11852.0,11852.0,0.0,0.0,0.0,,,
2004-07-01,761181.0,7762355.0,7762355.0,397.0,4049.0,4049.0,0.0,0.0,0.0,,,
2004-08-01,876165.0,8804731.0,8804731.0,121.0,1220.0,1220.0,0.0,0.0,0.0,,,
2004-09-01,986192.0,9673084.0,9673084.0,2.0,24.0,24.0,0.0,0.0,0.0,,,
2004-10-01,840764.0,8262553.0,8262553.0,471.0,4631.0,4631.0,0.0,0.0,0.0,,,
2004-11-01,879992.0,8465403.0,8465403.0,149.0,1433.0,1433.0,0.0,0.0,0.0,,,
2004-12-01,980541.0,9408928.0,9408928.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-01-01,864328.0,8410641.91,8410641.91,358.0,3482.14,3482.14,0.0,0.0,0.0,,,
2005-02-01,707399.0,6853485.91,6853485.91,212.0,2054.93,2054.93,0.0,0.0,0.0,,,
2005-03-01,999606.0,9608625.59,9608625.59,84.0,805.39,805.39,0.0,0.0,0.0,,,
2005-04-01,835493.0,8147995.82,8147995.82,430.0,4192.78,4192.78,0.0,0.0,0.0,,,
2005-05-01,667067.0,6673380.53,6673380.53,212.0,2120.08,2120.08,0.0,0.0,0.0,,,
2005-06-01,755071.0,7642562.69,7642562.69,225.0,3772.31,3772.31,0.0,0.0,0.0,,,
2005-07-01,712962.0,7262991.88,7262991.88,299.0,3049.83,3049.83,0.0,0.0,0.0,,,
2005-08-01,771158.0,7803307.94,7803307.94,187.0,1895.04,1895.04,0.0,0.0,0.0,,,
2005-09-01,689135.0,6701286.97,6701286.97,210.0,2043.09,2043.09,0.0,0.0,0.0,,,
2005-10-01,618445.0,6094989.05,6094989.05,82.0,811.31,811.31,0.0,0.0,0.0,,,
2005-11-01,500438.0,4900550.5,4900550.5,249.0,2433.94,2433.94,0.0,0.0,0.0,,,
2005-12-01,547918.0,5471118.53,5471118.53,1429.0,14266.1,14266.1,0.0,0.0,0.0,,,
2006-01-01,856261.0,8324002.0,8324002.0,1336.0,12987.0,12987.0,0.0,0.0,0.0,,,
2006-02-01,780635.0,7951224.0,7951224.0,854.0,8699.0,8699.0,0.0,0.0,0.0,,,
2006-03-01,1061502.0,10224065.0,10224065.0,351.0,3381.0,3381.0,0.0,0.0,0.0,,,
2006-04-01,675312.0,6477717.0,6477717.0,804.0,7716.0,7716.0,0.0,0.0,0.0,,,
2006-05-01,421380.0,4286737.0,4286737.0,2160.0,21971.0,21971.0,0.0,0.0,0.0,,,
2006-06-01,950691.0,9314309.0,9314309.0,541.0,5300.0,5300.0,0.0,0.0,0.0,,,
2006-07-01,965900.0,9485924.0,9485924.0,529.0,5200.0,5200.0,0.0,0.0,0.0,,,
2006-08-01,915804.0,9075980.0,9075980.0,546.0,5407.0,5407.0,0.0,0.0,0.0,,,
2006-09-01,641179.0,6126459.0,6126459.0,621.0,5934.0,5934.0,0.0,0.0,0.0,,,
2006-10-01,743018.0,6963632.0,6963632.0,182.0,1706.0,1706.0,0.0,0.0,0.0,,,
2006-11-01,452271.0,4329869.0,4329869.0,543.0,5200.0,5200.0,0.0,0.0,0.0,,,
2006-12-01,872635.0,8188341.0,8188341.0,870.0,8161.0,8161.0,0.0,0.0,0.0,,,
2007-01-01,1026245.872,9751505.0,9751505.0,395.12800000000004,3755.0,3755.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,994916.545,9501688.0,9501688.0,242.455,2316.0,2316.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,1020469.896,9763907.0,9763907.0,474.10400000000004,4536.0,4536.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,1090443.297,10516642.0,10516642.0,310.70300000000003,2997.0,2997.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,927551.802,9202928.0,9202928.0,725.198,7195.0,7195.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,772791.793,7693598.0,7693598.0,691.206,6881.0,6881.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,985019.552,9770715.0,9770715.0,270.449,2683.0,2683.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,886113.599,8880644.0,8880644.0,480.401,4815.0,4815.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,683888.203,6710415.0,6710415.0,613.797,6023.0,6023.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,662628.203,6538109.0,6538109.0,633.797,6254.0,6254.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,704507.741,6991834.0,6991834.0,1331.259,13212.0,13212.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,746526.311,7514864.0,7514864.0,3532.6890000000003,35562.0,35562.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,707033.534,6976324.0,6976324.0,1863.56,18388.0,18388.0,0.0,0.0,0.0,269341.907,2657606.0,2657606.0
2008-02-01,700394.653,6928317.0,6928317.0,1562.5140000000001,15456.0,15456.0,0.0,0.0,0.0,224629.832,2222043.0,2222043.0
2008-03-01,797665.483,7794584.0,7794584.0,832.6890000000001,8137.0,8137.0,0.0,0.0,0.0,197699.827,1931872.0,1931872.0
2008-04-01,762051.511,7654016.0,7654016.0,647.39,6502.0,6502.0,0.0,0.0,0.0,243305.099,2443747.0,2443747.0
2008-05-01,560706.852,5673677.0,5673677.0,1234.872,12495.0,12495.0,0.0,0.0,0.0,198644.275,2010040.0,2010040.0
2008-06-01,748529.417,7491051.0,7491051.0,1768.726,17701.0,17701.0,0.0,0.0,0.0,182831.858,1829725.0,1829725.0
2008-07-01,838635.247,8048417.0,8048417.0,1701.249,16327.0,16327.0,0.0,0.0,0.0,68919.505,661423.0,661423.0
2008-08-01,715762.886,6940579.0,6940579.0,1576.8780000000002,15291.0,15291.0,0.0,0.0,0.0,201443.236,1953346.0,1953346.0
2008-09-01,605758.583,6172524.0,6172524.0,1443.633,14710.0,14710.0,0.0,0.0,0.0,177557.784,1809268.0,1809268.0
2008-10-01,672617.751,6706586.0,6706586.0,1660.034,16552.0,16552.0,0.0,0.0,0.0,285809.215,2849767.0,2849767.0
2008-11-01,716743.332,7052454.0,7052454.0,2327.975,22906.0,22906.0,0.0,0.0,0.0,218095.693,2145970.0,2145970.0
2008-12-01,757491.512,7447410.0,7447410.0,1104.087,10855.0,10855.0,0.0,0.0,0.0,225088.401,2212996.0,2212996.0
2009-01-01,869841.315,8637554.0,8637554.0,1397.3010000000002,13875.0,13875.0,,,,164957.384,1638032.0,1638032.0
2009-02-01,616650.814,6229025.0,6229025.0,2200.8070000000002,22231.0,22231.0,,,,168160.37900000002,1698652.0,1698652.0
2009-03-01,475019.457,5005080.0,5005080.0,1724.9070000000002,18175.0,18175.0,,,,192172.636,2024842.0,2024842.0
2009-04-01,568774.971,5676059.0,5676059.0,1911.405,19075.0,19075.0,,,,201828.624,2014138.0,2014138.0
2009-05-01,402054.513,4034446.0,4034446.0,2434.408,24428.0,24428.0,,,,179403.079,1800233.0,1800233.0
2009-06-01,442016.43,4594800.0,4594800.0,2749.904,28585.0,28585.0,,,,187584.666,1949959.0,1949959.0
2009-07-01,705753.185,7313749.0,7313749.0,2471.538,25613.0,25613.0,,,,147068.277,1524075.0,1524075.0
2009-08-01,682150.243,7065734.0,7065734.0,1883.851,19513.0,19513.0,,,,285724.906,2959548.0,2959548.0
2009-09-01,306903.716,3122784.0,3122784.0,2045.757,20816.0,20816.0,,,,146564.527,1491312.0,1491312.0
2009-10-01,488290.58,5048274.0,5048274.0,1157.058,11962.0,11962.0,,,,164978.362,1705656.0,1705656.0
2009-11-01,669890.637,6763379.0,6763379.0,2065.846,20857.0,20857.0,,,,231119.517,2333439.0,2333439.0
2009-12-01,554564.669,5604728.0,5604728.0,1631.306,16487.0,16487.0,,,,177255.025,1791434.0,1791434.0
2010-01-01,513702.033,5366094.0,5366094.0,2220.6240000000003,23196.0,23196.0,,,,105739.343,1104545.0,1104545.0
2010-02-01,742908.556,7401800.0,7401800.0,2470.85,24618.0,24618.0,,,,162622.594,1620253.0,1620253.0
2010-03-01,822975.28,8408581.0,8408581.0,2313.205,23635.0,23635.0,,,,109531.515,1119116.0,1119116.0
2010-04-01,741522.119,7698132.0,7698132.0,2747.792,28526.0,28526.0,,,,115216.089,1196119.0,1196119.0
2010-05-01,676543.101,7020320.0,7020320.0,1907.846,19797.0,19797.0,,,,88969.053,923210.0,923210.0
2010-06-01,824705.668,8480404.0,8480404.0,1580.8590000000002,16256.0,16256.0,,,,134943.473,1387616.0,1387616.0
2010-07-01,632194.29,6972900.0,6972900.0,2400.547,26477.0,26477.0,,,,112418.163,1239936.0,1239936.0
2010-08-01,738588.017,7784412.0,7784412.0,1853.086,19531.0,19531.0,,,,42440.897,447310.0,447310.0
2010-09-01,429363.68,4538838.0,4538838.0,1575.864,16659.0,16659.0,,,,124717.456,1318398.0,1318398.0
2010-10-01,197984.685,2185127.0,2185127.0,1469.655,16220.0,16220.0,,,,24796.66,273677.0,273677.0
2010-11-01,525979.736,5410241.0,5410241.0,2097.3940000000002,21574.0,21574.0,,,,172999.87,1779481.0,1779481.0
2010-12-01,696226.265,7263563.0,7263563.0,2660.505,27756.0,27756.0,,,,213232.23,2224601.0,2224601.0
2011-01-01,844320.85,8600372.0,8600372.0,1530.187,15587.0,15587.0,,,,180064.96,1834167.0,1834167.0
2011-02-01,648587.67,6656771.0,6656771.0,2067.957,21224.0,21224.0,,,,142032.37,1457747.0,1457747.0
2011-03-01,647932.34,6991304.0,6991304.0,1765.594,19051.0,19051.0,,,,8660.063,93444.0,93444.0
2011-04-01,916408.01,9477877.0,9477877.0,1515.654,15676.0,15676.0,,,,69964.333,723601.0,723601.0
2011-05-01,883033.66,9186662.0,9186662.0,1475.445,15350.0,15350.0,,,,12154.899,126454.0,126454.0
2011-06-01,822406.55,8961295.0,8961295.0,1738.052,18939.0,18939.0,,,,53994.403,588346.0,588346.0
2011-07-01,943985.39,9966585.0,9966585.0,1804.423,19051.0,19051.0,,,,67145.188,708918.0,708918.0
2011-08-01,870274.77,8878140.0,8878140.0,2281.368,23273.0,23273.0,,,,9164.862,93496.0,93496.0
2011-09-01,901719.52,9322921.0,9322921.0,1656.48,17126.0,17126.0,,,,0.0,0.0,0.0
2011-10-01,1000833.8,10195563.0,10195563.0,2253.216,22954.0,22954.0,,,,0.0,0.0,0.0
2011-11-01,886237.68,8958033.0,8958033.0,2243.32,22675.0,22675.0,,,,0.0,0.0,0.0
2011-12-01,855391.91,8748655.0,8748655.0,2426.086,24813.0,24813.0,,,,0.0,0.0,0.0
2012-01-01,937071.33,9531294.0,9531294.0,2093.673,21296.0,21296.0,,,,0.0,0.0,0.0
2012-02-01,817136.96,8078274.0,8078274.0,1570.044,15522.0,15522.0,,,,0.0,0.0,0.0
2012-03-01,651804.22,6403562.0,6403562.0,1379.78,13555.0,13555.0,,,,0.0,0.0,0.0
2012-04-01,506089.15,4986750.0,4986750.0,1468.855,14473.0,14473.0,,,,0.0,0.0,0.0
2012-05-01,760120.69,7918040.0,7918040.0,2160.314,22504.0,22504.0,,,,0.0,0.0,0.0
2012-06-01,1016695.3,10410286.0,10410286.0,1776.715,18192.0,18192.0,,,,0.0,0.0,0.0
2012-07-01,930233.05,9926655.0,9926655.0,1887.955,20147.0,20147.0,,,,0.0,0.0,0.0
2012-08-01,754515.8,8235656.0,8235656.0,1609.199,17565.0,17565.0,,,,0.0,0.0,0.0
2012-09-01,786328.71,8339752.0,8339752.0,1184.295,12561.0,12561.0,,,,0.0,0.0,0.0
2012-10-01,810128.35,8338117.0,8338117.0,1676.655,17257.0,17257.0,,,,0.0,0.0,0.0
2012-11-01,768837.23,7929002.0,7929002.0,2384.768,24594.0,24594.0,,,,0.0,0.0,0.0
2012-12-01,923785.03,9724468.0,9724468.0,1878.97,19779.0,19779.0,,,,0.0,0.0,0.0
2013-01-01,880187.94,8969278.0,8969278.0,1601.061,16315.0,16315.0,,,,0.0,0.0,0.0
2013-02-01,567801.07,5612546.0,5612546.0,1386.934,13709.0,13709.0,,,,0.0,0.0,0.0
2013-03-01,739762.88,7308758.0,7308758.0,1885.116,18625.0,18625.0,,,,0.0,0.0,0.0
2013-04-01,929264.13,9556129.0,9556129.0,1964.874,20206.0,20206.0,,,,0.0,0.0,0.0
