measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2004-01-01,734.36433,3551.95,431269.02,187.13567,905.13,109898.88,,,
2004-02-01,935.32403,4523.95,473008.93,83.17596999999999,402.3,42063.47,,,
2004-03-01,1476.21061,7140.1,386325.11,163.08938999999998,788.83,42680.58,,,
2004-04-01,700.91749,3390.18,401335.19,55.68251,269.32,31883.0,,,
2004-05-01,642.58159,3108.02,332248.88,123.71841,598.4,63969.0,,,
2004-06-01,1126.44874,5448.38,441778.19,124.85126,603.88,48965.0,,,
2004-07-01,1277.30099,6178.02,431075.11,148.59901,718.74,50150.54,,,
2004-08-01,1015.29562,4910.76,365502.93,197.20438000000001,953.83,70992.9,,,
2004-09-01,1015.98241,4914.08,401358.91,89.81759,434.43,35482.0,,,
2004-10-01,625.85901,3027.14,313226.47,82.24099,397.78,41159.52,,,
2004-11-01,444.64332,2150.64,216931.57,176.15668,852.03,85942.92,,,
2004-12-01,711.80842,3442.86,230049.53,238.79158,1154.98,77175.11,,,
2005-01-01,458.75518,2218.9,350631.45,113.54482,549.19,86783.52,0.0,0.0,0.0
2005-02-01,663.3682699999999,3208.56,373350.04,83.53173,404.02,47012.46,0.0,0.0,0.0
2005-03-01,583.58075,2822.65,215690.36,299.11924999999997,1446.77,110553.92,0.0,0.0,0.0
2005-04-01,775.88032,3752.76,131939.89,344.75637,1667.51,58626.46,169.46330999999998,819.66,28817.55
2005-05-01,965.53482,4670.07,106594.49,158.13996,764.89,17458.56,311.92622,1508.72,34436.48
2005-06-01,1131.9484,5474.97,171344.55,130.25603999999998,630.02,19717.03,76.39656,369.51,11564.25
2005-07-01,1424.7262,6891.08,140734.78,172.68482999999998,835.24,17057.85,400.78897,1938.53,39590.03
2005-08-01,1946.60438,9415.29,181548.2,94.65653999999999,457.83,8828.05,548.63908,2653.64,51168.3
2005-09-01,1352.309,6540.81,182063.23,185.26957,896.11,24943.1,208.42243,1008.09,28060.2
2005-10-01,865.73965,4187.39,215941.28,79.43393999999999,384.2,19813.19,102.42741,495.42,25548.45
2005-11-01,796.28453,3851.45,189054.84,155.77024,753.43,36983.16,105.24522999999999,509.05,24987.45
2005-12-01,467.33244,2260.38,223692.38,206.01163,996.43,98609.1,34.75593,168.11,16636.2
2006-01-01,224.34754,1085.12,236818.84,25.97686,125.64,27420.9,1.87459,9.07,1978.8
2006-02-01,826.02037,3995.27,198710.69,270.07963,1306.31,64971.41,0.0,0.0,0.0
2006-03-01,1102.08786,5330.55,213870.85,164.17964,794.1,31860.65,120.8315,584.43,23448.53
2006-04-01,1107.87428,5358.53,309681.22,103.72908,501.71,28995.12,68.79764,332.76,19230.83
2006-05-01,1581.42217,7648.98,412763.91,67.57782999999999,326.86,17638.36,0.0,0.0,0.0
2006-06-01,1447.21808,6999.87,408417.83,56.28192,272.22,15883.26,0.0,0.0,0.0
2006-07-01,1098.64072,5313.88,321687.83,104.15928,503.79,30498.39,0.0,0.0,0.0
2006-08-01,1257.82041,6083.79,389778.17,61.37959,296.88,19020.54,0.0,0.0,0.0
2006-09-01,866.17883,4189.51,350924.65,55.321169999999995,267.58,22412.88,0.0,0.0,0.0
2006-10-01,472.27174,2284.27,325370.29,32.12826,155.4,22134.67,0.0,0.0,0.0
2006-11-01,1159.31533,5607.35,305325.38,130.78467,632.58,34444.37,0.0,0.0,0.0
2006-12-01,1151.35099,5568.82,223817.1,194.87592,942.57,37882.94,147.57309,713.78,28687.5
2007-01-01,801.725,3878.0,134040.0,194.244,940.0,32476.0,129.231,625.0,21606.0
2007-02-01,449.029,2172.0,96005.0,477.335,2308.0,102057.0,101.836,492.0,21773.0
2007-03-01,602.121,2912.0,117826.0,202.181,978.0,39564.0,88.09700000000001,426.0,17239.0
2007-04-01,459.44,2222.0,145987.0,230.752,1116.0,73321.0,47.008,227.0,14937.0
2007-05-01,667.581,3229.0,138112.0,435.552,2107.0,90108.0,109.367,529.0,22626.0
