measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2012-08-01,144.16,4655.0,4655.0,,,,8126.84,262396.0,262396.0
2012-09-01,165.873,6169.0,6169.0,,,,2689.127,100006.0,100006.0
2012-10-01,84.074,2499.0,2499.0,,,,9027.926,268322.0,268322.0
2012-11-01,177.796,5463.0,5463.0,,,,5795.204,178069.0,178069.0
2012-12-01,34.76,1061.0,1061.0,,,,8392.24,256081.0,256081.0
2013-01-01,198.927,6794.0,6794.0,,,,5451.073,186160.0,186160.0
2013-02-01,40.54,1388.0,1388.0,,,,3586.46,122771.0,122771.0
2013-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-04-01,275.867,7277.0,7277.0,,,,6990.133,184400.0,184400.0
2013-05-01,406.485,11048.0,11048.0,,,,10945.515,297485.0,297485.0
2013-06-01,37.339,1026.0,1026.0,,,,12276.661,337399.0,337399.0
2013-07-01,52.586,1459.0,1459.0,,,,11724.414,325255.0,325255.0
2013-08-01,148.268,4218.0,4218.0,,,,10729.732,305217.0,305217.0
2013-09-01,94.376,2727.0,2727.0,,,,10658.624,308033.0,308033.0
2013-10-01,141.952,3881.0,3881.0,,,,10851.048,296680.0,296680.0
2013-11-01,275.515,7996.0,7996.0,,,,5924.485,171948.0,171948.0
2013-12-01,104.386,2948.0,2948.0,,,,11484.614,324384.0,324384.0
2014-01-01,35.75,543.0,1046.0,,,,8893.25,135073.0,260153.0
2014-02-01,25.541,401.0,886.0,,,,6985.459,109715.0,242374.0
2014-03-01,45.154,686.0,1392.0,,,,9166.846,139286.0,282658.0
2014-04-01,174.879,2684.0,6224.0,,,,8318.121,127655.0,296064.0
2014-05-01,269.258,4562.0,10187.0,0.0,0.0,0.0,3611.742,61198.0,136647.0
2014-06-01,38.793,579.0,1145.0,0.0,0.0,0.0,11022.207,164539.0,325182.0
2014-07-01,43.546,667.0,1338.0,0.0,0.0,0.0,10042.454,153749.0,308496.0
2014-08-01,3.924,62.0,126.0,0.0,0.0,0.0,8453.076,134393.0,271440.0
2014-09-01,46.336,717.0,1367.0,0.0,0.0,0.0,8863.664,137241.0,261512.0
2014-10-01,98.238,1624.0,3255.0,0.0,0.0,0.0,5617.762,92888.0,186137.0
2014-11-01,30.372,462.0,919.0,0.0,0.0,0.0,9547.628,145219.0,288811.0
2014-12-01,47.268,727.0,1321.0,0.0,0.0,0.0,9504.732,146216.0,265610.0
2015-01-01,30.24,489.0,1031.0,0.0,0.0,0.0,7569.76,122423.0,258104.0
2015-02-01,6.948,107.0,205.0,0.0,0.0,0.0,8537.052,131960.0,251576.0
2015-03-01,36.627,598.0,1245.0,0.0,0.0,0.0,7361.373,120175.0,250228.0
2015-04-01,0.035,1.0,1.0,0.0,0.0,0.0,8275.965,134535.0,247588.0
2015-05-01,96.45,1913.0,3830.0,0.0,0.0,0.0,2042.55,40510.0,81118.0
2015-06-01,312.172,5151.0,9294.0,0.0,0.0,0.0,7625.828,125825.0,227028.0
2015-07-01,131.708,2179.0,4434.0,0.0,0.0,0.0,7933.292,131275.0,267082.0
2015-08-01,327.694,5654.0,11704.0,0.0,0.0,0.0,7122.306,122887.0,254383.0
2015-09-01,47.078,750.0,1495.0,0.0,0.0,0.0,8801.922,140222.0,279603.0
2015-10-01,189.456,2899.0,5298.0,0.0,0.0,0.0,8291.544,126893.0,231851.0
2015-11-01,14.151,215.0,411.0,0.0,0.0,0.0,9512.849,144408.0,276174.0
2015-12-01,93.474,1444.0,2995.0,0.0,0.0,0.0,9146.526,141258.0,293081.0
2016-01-01,69.221,2173.0,2173.0,0.0,0.0,0.0,9137.779,286789.0,286789.0
2016-02-01,59.015,1850.0,1850.0,0.0,0.0,0.0,8478.985,265761.0,265761.0
2016-03-01,35.201,1222.0,1222.0,0.0,0.0,0.0,8025.799,278607.0,278607.0
2016-04-01,137.344,5724.0,5724.0,0.0,0.0,0.0,1275.656,53166.0,53166.0
2016-05-01,50.411,1274.0,1274.0,0.0,0.0,0.0,11208.589,283350.0,283350.0
2016-06-01,12.522,352.0,352.0,0.0,0.0,0.0,10566.478,297140.0,297140.0
2016-07-01,165.677,4627.0,4627.0,0.0,0.0,0.0,11390.323,318102.0,318102.0
2016-08-01,455.653,11470.0,11470.0,0.0,0.0,0.0,9628.347,242379.0,242379.0
2016-09-01,180.671,5409.0,5409.0,0.0,0.0,0.0,8628.329,258305.0,258305.0
2016-10-01,233.93,6223.0,6223.0,0.0,0.0,0.0,11010.07,292891.0,292891.0
2016-11-01,146.492,3856.0,3856.0,0.0,0.0,0.0,10538.508,277368.0,277368.0
2016-12-01,45.224,1247.0,1247.0,0.0,0.0,0.0,10563.776,291310.0,291310.0
2017-01-01,71.947,1988.0,1988.0,,,,9978.053,275752.0,275752.0
2017-02-01,89.49,2588.0,2588.0,,,,7763.51,224510.0,224510.0
2017-03-01,777.439,21845.0,21845.0,,,,8895.561,249958.0,249958.0
2017-04-01,140.318,4567.0,4567.0,,,,2311.682,75237.0,75237.0
2017-05-01,179.211,4784.0,4784.0,,,,10777.789,287737.0,287737.0
2017-06-01,179.723,4479.0,4479.0,,,,11845.277,295233.0,295233.0
2017-07-01,350.193,9984.0,9984.0,,,,9349.807,266569.0,266569.0
2017-08-01,22.861,608.0,608.0,,,,8381.139,222882.0,222882.0
2017-09-01,309.38,9011.0,9011.0,,,,10439.62,304060.0,304060.0
2017-10-01,322.172,9028.0,9028.0,,,,8399.828,235371.0,235371.0
2017-11-01,156.208,4107.0,4107.0,,,,9999.792,262896.0,262896.0
2017-12-01,48.789,1280.0,1280.0,,,,11758.211,308587.0,308587.0
2018-01-01,270.505,7883.0,7883.0,,,,8508.495,247968.0,247968.0
2018-02-01,88.307,2481.0,2481.0,,,,9633.693,270629.0,270629.0
2018-03-01,41.395,1094.0,1094.0,,,,9695.605,256261.0,256261.0
2018-04-01,22.753,353.0,353.0,,,,9945.247,154248.0,154248.0
2018-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
