measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-01-01,1409.65722,17322.54,57054.33,304.98821,3747.84,12344.06,6542.87857,80402.02,264815.82
2004-02-01,1462.3662199999999,17970.26,59225.88,304.79141,3745.42,12344.06,6665.62337,81910.37,269957.97
2004-03-01,1003.88325,12336.2,40262.2,307.78242,3782.18,12344.06,6273.60133,77093.02,251611.92
2004-04-01,1007.45114,12380.04,40580.05,306.45703,3765.89,12344.06,5378.64883,66095.4,216651.51
2004-05-01,828.31102,10178.68,32970.32,310.11899,3810.89,12344.06,7121.88199,87517.1,283481.37
2004-06-01,819.64489,10072.19,32634.42,310.03307,3809.83,12344.06,6949.36104,85397.08,276690.96
2004-07-01,825.52278,10144.42,33235.61,306.60804,3767.75,12344.06,4429.04019,54426.16,178313.49
2004-08-01,766.5895,9420.22,30459.61,310.66813,3817.64,12344.06,7188.99737,88341.84,285647.04
2004-09-01,1185.05078,14562.47,47559.3,307.58106,3779.7,12344.06,7277.75616,89432.56,292076.1
2004-10-01,216.92974,2665.74,8490.66,315.38125,3875.56,12344.06,7206.28601,88554.29,282054.96
2004-11-01,806.10437,9905.8,32179.07,309.22593,3799.92,12344.06,6048.3887,74325.49,241447.05
2004-12-01,1202.96446,14782.6,48304.45,307.41406,3777.65,12344.06,7244.03748,89018.19,290880.81
2005-01-01,742.86639,9128.7,26909.06,331.64339,4075.39,12013.21,6667.22322,81930.03,241508.7
2005-02-01,658.7965,8095.61,23855.58,295.95416,3636.83,10716.75,6189.69534,76061.94,224134.11
2005-03-01,785.55509,9653.28,28467.45,337.76022,4150.56,12239.97,6686.92269,82172.11,242325.0
2005-04-01,804.18359,9882.19,29186.12,336.55904,4135.8,12214.69,5740.66437,70544.04,208345.14
2005-05-01,654.10078,8037.9,23676.93,370.97087,4558.67,13428.28,6387.58334,78493.69,231215.67
2005-06-01,1107.01103,13603.48,40281.45,365.60607,4492.74,13303.52,6151.8019,75596.27,223849.17
2005-07-01,1423.86728,17497.16,51908.32,377.85659,4643.28,13775.09,6800.38913,83566.44,247914.09
2005-08-01,1521.55103,18697.55,55497.76,375.95715,4619.94,13712.84,6997.94483,85994.11,255246.3
2005-09-01,1010.64833,12419.33,36712.28,355.60116,4369.8,12917.38,6614.56551,81282.94,240277.23
2005-10-01,700.95384,8613.66,25388.45,360.00057,4423.86,13039.17,6323.19759,77702.48,229025.34
2005-11-01,629.77714,7739.0,22789.0,362.92275,4459.77,13132.65,6445.85512,79209.75,233248.5
2005-12-01,680.41404,8361.25,24622.03,363.72171,4469.59,13161.94,6963.30525,85568.43,251979.93
2006-01-01,658.42935,8091.1,24530.69,982.52577,12073.75,36605.35,6675.83488,82035.86,248717.43
2006-02-01,656.5102,8067.51,24459.19,879.95733,10813.34,32784.02,6060.57447,74475.24,225795.06
2006-03-01,716.21718,8801.22,26683.66,790.00605,9707.97,29432.76,6564.11177,80662.94,244555.02
2006-04-01,602.16956,7399.75,22434.65,718.2446199999999,8826.13,26759.19,6067.08082,74555.2,226037.43
2006-05-01,584.14611,7178.27,21763.17,835.89537,10271.88,31142.44,6052.55652,74376.7,225496.35
2006-06-01,747.23568,9182.39,27839.3,568.5109,6986.13,21180.66,6042.34342,74251.2,225115.83
2006-07-01,1119.03234,13751.21,41691.09,754.05894,9266.24,28093.5,6492.84173,79787.15,241899.75
2006-08-01,1053.53901,12946.39,39251.05,741.18719,9108.06,27613.95,6875.4148000000005,84488.39,256153.05
2006-09-01,747.27528,9182.88,27840.77,689.24046,8469.72,25678.6,6433.80927,79061.73,239700.42
2006-10-01,833.3957,10241.16,31049.3,789.82125,9705.7,29425.88,6681.48306,82105.25,248927.85
2006-11-01,716.83189,8808.77,26706.56,867.52921,10660.61,32321.0,6533.7779,80290.19,243424.89
2006-12-01,700.4463000000001,8607.42,26096.09,889.71209,10933.21,33147.45,6772.85161,83228.04,252331.92
2007-01-01,651.376,8005.0,24407.0,478.895,5884.0,17944.0,7700.647,94626.0,288540.0
2007-02-01,755.388,9283.0,29234.0,515.9680000000001,6340.0,19968.0,6956.494000000001,85482.0,269217.0
2007-03-01,832.663,10232.0,32778.0,564.8670000000001,6940.0,22236.0,7309.51,89820.0,287739.0
2007-04-01,865.023,10629.0,30423.0,560.48,6888.0,19712.0,6825.395,83871.0,240048.0
2007-05-01,606.722,7456.0,22174.0,606.344,7452.0,22160.0,6559.602,80604.0,239733.0
2007-06-01,765.188,9403.0,22634.0,587.9820000000001,7224.0,17392.0,6295.62,77364.0,186219.0
2007-07-01,649.714,7984.0,25189.0,577.675,7100.0,22396.0,6685.483,82152.0,259191.0
2007-08-01,750.816,9227.0,28315.0,531.602,6532.0,20048.0,6895.497,84735.0,260046.0
2007-09-01,625.936,7692.0,23703.0,521.921,6412.0,19764.0,6645.938,81666.0,251667.0
2007-10-01,533.205,6553.0,31093.0,314.44300000000004,3864.0,18336.0,2574.8610000000003,31644.0,150147.0
2007-11-01,402.53200000000004,4947.0,30829.0,281.72,3460.0,21576.0,2751.702,33813.0,210744.0
2007-12-01,1393.8490000000002,17128.0,36698.0,684.121,8408.0,18012.0,7443.405000000001,91467.0,195975.0
2008-01-01,1124.1870000000001,13266.0,35059.0,666.58,7866.0,20788.0,8265.233,97535.0,257760.0
2008-02-01,1135.8020000000001,13403.0,34174.0,694.366,8194.0,20892.0,7908.832,93329.0,237960.0
2008-03-01,1345.883,15882.0,47564.0,587.095,6928.0,20748.0,7366.022,86924.0,260316.0
2008-04-01,811.6370000000001,9578.0,28150.0,583.794,6889.0,20248.0,6899.569,81419.0,239301.0
2008-05-01,603.0740000000001,7117.0,20548.0,648.9680000000001,7658.0,22112.0,7021.9580000000005,82863.0,239256.0
2008-06-01,643.452,7593.0,19118.0,730.494,8620.0,21704.0,6263.053,73908.0,186084.0
2008-07-01,612.5070000000001,7228.0,23003.0,524.017,6184.0,19680.0,7340.476000000001,86622.0,275679.0
2008-08-01,719.2470000000001,8488.0,24294.0,556.9440000000001,6572.0,18812.0,6940.809,81906.0,234441.0
2008-09-01,604.6310000000001,7135.0,21210.0,581.87,6866.0,20412.0,6583.499000000001,77689.0,230949.0
2008-10-01,533.359,6294.0,17431.0,352.37,4158.0,11516.0,3702.271,43689.0,120996.0
2008-11-01,960.032,11329.0,31402.0,771.772,9107.0,25244.0,7438.196,87775.0,243297.0
2008-12-01,1263.7910000000002,14914.0,33893.0,810.495,9564.0,21736.0,7976.715,94130.0,213921.0
2009-01-01,907.022,10703.0,34707.0,593.8570000000001,7008.0,22724.0,6681.121,78841.0,255654.0
2009-02-01,1561.574,18428.0,46225.0,738.337,8713.0,21856.0,9564.089,112862.0,283113.0
2009-03-01,978.082,11542.0,30747.0,561.645,6628.0,17656.0,7965.273,93995.0,250398.0
2009-04-01,864.4870000000001,10201.0,27560.0,715.062,8438.0,22796.0,7854.451,92687.0,250398.0
2009-05-01,668.717,7891.0,22723.0,544.907,6430.0,18516.0,7541.376,88993.0,256257.0
2009-06-01,657.7620000000001,7762.0,22719.0,605.22,7142.0,20904.0,6440.018,75996.0,222435.0
2009-07-01,778.21,9183.0,25304.0,696.167,8215.0,22636.0,7090.6230000000005,83674.0,230553.0
2009-08-01,902.753,10653.0,28464.0,746.8340000000001,8813.0,23548.0,7117.4130000000005,83990.0,224415.0
2009-09-01,655.7520000000001,7738.0,22019.0,518.081,6114.0,17396.0,5271.167,62203.0,176994.0
2009-10-01,800.7560000000001,9449.0,25780.0,782.998,9240.0,25208.0,7955.246,93877.0,256113.0
2009-11-01,1042.587,12303.0,32463.0,698.8430000000001,8247.0,21760.0,7677.57,90600.0,239058.0
2009-12-01,1457.3220000000001,17197.0,44770.0,789.176,9313.0,24244.0,8196.502,96724.0,251802.0
2010-01-01,1785.8890000000001,21075.0,59845.0,721.214,8511.0,24168.0,8221.897,97024.0,275517.0
2010-02-01,1202.768,14193.0,37776.0,599.6030000000001,7076.0,18832.0,8188.629000000001,96631.0,257184.0
2010-03-01,1377.363,16254.0,41794.0,647.1170000000001,7636.0,19636.0,8942.52,105527.0,271350.0
2010-04-01,863.245,10187.0,27638.0,671.167,7920.0,21488.0,8521.588,100560.0,272826.0
2010-05-01,821.26,9691.0,25936.0,591.004,6974.0,18664.0,8523.736,100585.0,269181.0
2010-06-01,1185.559,13990.0,33330.0,798.058,9418.0,22436.0,7428.383000000001,87660.0,208836.0
2010-07-01,886.476,10461.0,28994.0,650.005,7670.0,21260.0,8282.519,97739.0,270900.0
2010-08-01,911.5150000000001,10756.0,29799.0,638.196,7531.0,20864.0,8138.289000000001,96037.0,266058.0
2010-09-01,950.8290000000001,11220.0,27764.0,681.92,8047.0,19912.0,7377.251,87056.0,215415.0
2010-10-01,969.7760000000001,11444.0,32814.0,612.948,7233.0,20740.0,5953.276,70252.0,201438.0
2010-11-01,1384.065,16333.0,45756.0,952.3620000000001,11238.0,31484.0,7424.573,87615.0,245448.0
