measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-01-01,1456.01,17072.0,48384.0
2019-02-01,1244.91,14597.0,41366.0
2019-03-01,1333.987,15641.0,44326.0
2019-04-01,1377.027,16146.0,45756.0
2019-05-01,1304.181,15292.0,43336.0
2019-06-01,1358.145,15924.0,45129.0
2019-07-01,1854.012,21738.0,61605.0
2019-08-01,1736.362,20359.0,57696.0
2019-09-01,1377.615,16153.0,45776.0
2019-10-01,1621.655,19014.0,53884.0
2019-11-01,1471.661,17255.0,48901.0
2019-12-01,1545.595,18122.0,51357.0
2020-01-01,1567.468,18379.0,100048.0
2020-02-01,1379.662,16177.0,88062.0
2020-03-01,1312.821,15393.0,83796.0
2020-04-01,1167.937,13694.0,74548.0
2020-05-01,1183.434,13876.0,75537.0
2020-06-01,1290.52,15131.0,82372.0
2020-07-01,1736.437,20360.0,110835.0
2020-08-01,1387.01,16263.0,88531.0
2020-09-01,1202.086,14095.0,76728.0
2020-10-01,1314.908,15417.0,83929.0
2020-11-01,1005.486,11789.0,64178.0
2020-12-01,1251.591,14675.0,79888.0
2021-01-01,1372.864,16097.0,50352.0
2021-02-01,1448.314,16982.0,53119.0
2021-03-01,943.902,11067.0,34620.0
2021-04-01,1150.021,13484.0,42179.0
2021-05-01,996.519,11684.0,36549.0
2021-06-01,1379.442,16174.0,50593.0
2021-07-01,1481.852,17375.0,54349.0
2021-08-01,1536.568,18016.0,56357.0
2021-09-01,1229.133,14412.0,45081.0
2021-10-01,1193.737,13997.0,43782.0
2021-11-01,1307.003,15325.0,47937.0
2021-12-01,1210.985,14199.0,44415.0
2022-01-01,1257.042,14739.0,45498.0
2022-02-01,1026.498,12036.0,37154.0
2022-03-01,1053.344,12351.0,38126.0
2022-04-01,925.259,10849.0,33490.0
2022-05-01,874.164,10250.0,31641.0
2022-06-01,1370.429,16068.0,49603.0
2022-07-01,1832.52,21486.0,66328.0
2022-08-01,1672.52,19610.0,60537.0
2022-09-01,1478.367,17334.0,53510.0
2022-10-01,1434.836,16824.0,51934.0
2022-11-01,976.337,11448.0,35338.0
2022-12-01,1332.534,15624.0,48231.0
2023-01-01,1189.502,13947.0,38732.0
2023-02-01,1162.797,13634.0,37862.0
2023-03-01,1298.229,15222.0,42273.0
2023-04-01,1261.128,14787.0,41064.0
2023-05-01,1157.307,13570.0,37684.0
2023-06-01,1325.315,15539.0,43155.0
2023-07-01,1612.697,18909.0,52513.0
2023-08-01,1557.949,18267.0,50729.0
2023-09-01,1421.057,16662.0,46272.0
2023-10-01,1252.428,14685.0,40782.0
2023-11-01,1215.799,14255.0,39589.0
2023-12-01,1437.302,16852.0,46801.0
2024-01-01,1022.881,11993.0,68720.0
2024-02-01,1184.115,13884.0,79553.0
2024-03-01,1107.697,12988.0,74418.0
2024-04-01,1123.237,13170.0,75462.0
2024-05-01,1294.297,15176.0,86955.0
2024-06-01,1204.106,14118.0,80895.0
2024-07-01,1557.876,18266.0,104664.0
2024-08-01,1520.642,17830.0,102161.0
2024-09-01,1240.22,14542.0,83322.0
2024-10-01,877.451,10288.0,58950.0
2024-11-01,1081.894,12685.0,72686.0
2024-12-01,1075.624,12612.0,72264.0
