measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2020-12-01,1284.0,11257.0,11257.0,0.0,0.0,0.0
2021-01-01,657.672,5816.0,5816.0,0.0,0.0,0.0
2021-02-01,985.382,8715.0,8715.0,0.0,0.0,0.0
2021-03-01,1688.807,14936.0,14936.0,0.0,0.0,0.0
2021-04-01,1526.297,13499.0,13499.0,0.0,0.0,0.0
2021-05-01,1937.783,17138.0,17138.0,0.0,0.0,0.0
2021-06-01,2408.135,21298.0,21298.0,0.0,0.0,0.0
2021-07-01,2186.612,19338.0,19338.0,0.0,0.0,0.0
2021-08-01,2013.141,17804.0,17804.0,0.0,0.0,0.0
2021-09-01,1714.644,15164.0,15164.0,0.0,0.0,0.0
2021-10-01,1150.191,10172.0,10172.0,0.0,0.0,0.0
2021-11-01,707.095,6254.0,6254.0,0.0,0.0,0.0
2021-12-01,450.241,3982.0,3982.0,0.0,0.0,0.0
2022-01-01,833.305,2843.0,2843.0,0.0,0.0,0.0
2022-02-01,1253.735,4278.0,4278.0,0.0,0.0,0.0
2022-03-01,1647.607,5622.0,5622.0,0.0,0.0,0.0
2022-04-01,1395.471,4761.0,4761.0,0.0,0.0,0.0
2022-05-01,2060.982,7032.0,7032.0,0.0,0.0,0.0
2022-06-01,2584.145,8817.0,8817.0,0.0,0.0,0.0
2022-07-01,2512.249,8572.0,8572.0,0.0,0.0,0.0
2022-08-01,2220.831,7577.0,7577.0,0.0,0.0,0.0
2022-09-01,2084.095,7111.0,7111.0,0.0,0.0,0.0
2022-10-01,1389.693,4742.0,4742.0,0.0,0.0,0.0
2022-11-01,748.963,2555.0,2555.0,0.0,0.0,0.0
2022-12-01,358.924,1225.0,1225.0,0.0,0.0,0.0
2023-01-01,21.0,72.0,72.0,1079.0,3682.0,3682.0
2023-02-01,75.0,256.0,256.0,1690.0,5766.0,5766.0
2023-03-01,55.0,188.0,188.0,1851.0,6316.0,6316.0
2023-04-01,86.0,293.0,293.0,1837.0,6268.0,6268.0
2023-05-01,103.0,351.0,351.0,1826.0,6230.0,6230.0
2023-06-01,96.0,328.0,328.0,986.0,3364.0,3364.0
2023-07-01,64.0,218.0,218.0,837.0,2856.0,2856.0
2023-08-01,107.0,365.0,365.0,1036.0,3535.0,3535.0
2023-09-01,84.0,287.0,287.0,1254.0,4279.0,4279.0
2023-10-01,54.0,184.0,184.0,1465.0,4999.0,4999.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,13.0,44.0,44.0,1227.0,4187.0,4187.0
2024-01-01,11.0,38.0,38.0,948.0,3235.0,3235.0
2024-02-01,63.0,215.0,215.0,1296.0,4422.0,4422.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,51.0,174.0,174.0,779.0,2658.0,2658.0
2024-06-01,105.0,358.0,358.0,1463.0,4992.0,4992.0
2024-07-01,133.0,454.0,454.0,1039.0,3545.0,3545.0
2024-08-01,108.0,368.0,368.0,1254.0,4279.0,4279.0
2024-09-01,97.0,331.0,331.0,1651.0,5633.0,5633.0
2024-10-01,75.0,256.0,256.0,1898.0,6476.0,6476.0
2024-11-01,31.0,106.0,106.0,1440.0,4913.0,4913.0
2024-12-01,16.0,55.0,55.0,1503.0,5128.0,5128.0
