measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,33951.0,334346.0,518237.0,,,,,,,,,
2003-02-01,33476.0,371573.0,540838.0,,,,,,,,,
2003-03-01,29605.0,285540.0,466869.0,,,,,,,,,
2003-04-01,19649.0,147716.0,299493.0,,,,0.0,0.0,0.0,,,
2003-05-01,28999.0,260680.0,405618.0,,,,,,,,,
2003-06-01,24949.0,205014.0,336810.0,,,,,,,,,
2003-07-01,25969.0,220190.0,332574.0,,,,,,,,,
2003-08-01,30345.0,315723.0,448602.0,,,,,,,,,
2003-09-01,26118.0,230603.0,368952.0,,,,,,,,,
2003-10-01,20340.0,164997.0,316057.0,,,,,,,,,
2003-11-01,28384.0,237632.0,372047.0,,,,,,,,,
2003-12-01,28802.0,242465.0,382066.0,,,,,,,,,
2004-01-01,32531.1,377537.8,475374.87,,,,1584.01,15875.0,15875.0,,,
2004-02-01,27065.64,314108.72,361634.03,,,,38.8,389.0,389.0,,,
2004-03-01,30634.8,355530.4,424097.35,,,,1359.94,13629.0,13629.0,,,
2004-04-01,22620.36,262519.28,318091.81,,,,0.0,0.0,0.0,,,
2004-05-01,28062.3,325675.4,403655.97,,,,1381.28,13843.0,13843.0,,,
2004-06-01,23468.06,272357.21,336208.48,,,,96.03,962.0,962.0,,,
2004-07-01,25098.78,291282.44,363949.47,,,,871.06,8730.0,8730.0,,,
2004-08-01,29489.18,342234.97,423378.41,,,,0.0,0.0,0.0,,,
2004-09-01,28386.68,329439.97,409886.44,,,,1371.58,13746.0,13746.0,,,
2004-10-01,25821.04,299664.59,368623.61,,,,161.02,1614.0,1614.0,,,
2004-11-01,23035.88,267341.57,345410.5,,,,194.0,1944.0,1944.0,,,
2004-12-01,27824.16,322911.68,455985.12,,,,1809.05,18130.0,18130.0,,,
2005-01-01,11625.74,134921.85,311263.58,,,,1305.62,13055.0,13055.0,,,
2005-02-01,24520.58,284572.17,352444.51,,,,0.0,0.0,0.0,,,
2005-03-01,29553.86,342985.61,443735.23,,,,634.38,6343.0,6343.0,,,
2005-04-01,27244.98,316190.04,393088.8,,,,203.7,2037.0,2037.0,,,
2005-05-01,26678.54,309616.25,388680.1,,,,916.65,9166.0,9166.0,,,
2005-06-01,23251.48,269843.71,324739.44,,,,171.69,1717.0,1717.0,,,
2005-07-01,24106.04,279761.25,333279.24,,,,435.53,4355.0,4355.0,,,
2005-08-01,27600.72,320318.56,395019.67,,,,1231.9,12318.0,12318.0,,,
2005-09-01,27115.62,314688.76,381203.26,,,,680.94,6809.0,6809.0,,,
2005-10-01,27450.78,318578.44,370752.19,,,,227.95,2279.0,2279.0,,,
2005-11-01,25123.28,291566.77,358126.7,,,,255.11,2551.0,2551.0,,,
2005-12-01,28146.58,326653.51,381219.77,,,,250.26,2502.0,2502.0,,,
2006-01-01,30235.94,350901.45,408369.62,,,,913.74,9063.0,9063.0,,,
2006-02-01,25541.74,296423.19,340081.15,,,,0.0,0.0,0.0,,,
2006-03-01,25992.54,301654.92,353146.27,,,,0.0,0.0,0.0,,,
2006-04-01,24214.82,281023.69,386905.06,,,,583.94,5792.0,5792.0,,,
2006-05-01,24346.14,282547.72,336886.08,,,,0.0,0.0,0.0,,,
2006-06-01,23638.58,274336.17,313242.96,,,,207.58,2059.0,2059.0,,,
2006-07-01,22636.04,262701.25,325788.98,,,,898.22,8909.0,8909.0,,,
2006-08-01,22965.32,266522.69,301768.15,,,,0.0,0.0,0.0,,,
2006-09-01,23539.6,273187.47,307261.49,,,,28.13,279.0,279.0,,,
2006-10-01,26350.24,305806.19,358222.68,,,,855.54,8486.0,8486.0,,,
2006-11-01,25113.48,291453.04,332477.38,,,,1707.2,16934.0,16934.0,,,
2006-12-01,6066.2,70400.93,147835.03,,,,250.26,2482.0,2482.0,,,
2007-01-01,327.32,3799.0,165009.0,,,,,,,1156.24,11428.0,11428.0
2007-02-01,1.96,23.0,136504.0,,,,,,,1578.19,15599.0,15599.0
2007-03-01,6.86,79.0,127378.0,,,,,,,0.0,0.0,0.0
2007-04-01,0.0,0.0,106782.0,,,,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,84830.0,,,,,,,0.0,0.0,0.0
2007-06-01,256.76,2979.0,84275.0,,,,,,,76.63,757.0,757.0
2007-07-01,257.74,2991.0,84725.0,,,,,,,76.63,757.0,757.0
2007-08-01,1235.78,14342.0,119199.0,,,,,,,382.18,3777.0,3777.0
2007-09-01,523.32,6073.0,90909.0,,,,,,,185.27,1831.0,1831.0
2007-10-01,1193.64,13853.0,109253.0,,,,,,,319.13,3154.0,3154.0
2007-11-01,188.16,2184.0,93919.0,,,,,,,0.0,0.0,0.0
2007-12-01,0.0,0.0,41374.0,0.0,0.0,41374.0,,,,0.0,0.0,0.0
