measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,9486.4,133914.0,133914.0,,,,,,,23463.16,331229.0,331229.0
2003-02-01,13671.0,201881.0,201881.0,,,,,,,16831.0,234976.0,234976.0
2003-03-01,3668.0,53105.0,53105.0,,,,,,,11184.0,161938.0,161938.0
2003-04-01,3214.0,47676.0,47676.0,,,,,,,13969.0,207203.0,207203.0
2003-05-01,275.0,4048.0,4048.0,,,,,,,3151.0,46383.0,46383.0
2003-06-01,3363.0,50999.0,50999.0,,,,,,,8119.0,129511.0,129511.0
2003-07-01,3088.0,51175.0,51175.0,,,,,,,4068.0,67435.0,67435.0
2003-08-01,12990.0,202739.0,202739.0,,,,,,,27901.0,435473.0,435473.0
2003-09-01,2268.0,34788.0,34788.0,,,,,,,5289.0,81107.0,81107.0
2003-10-01,2000.0,27769.0,27769.0,,,,,,,3849.0,53443.0,53443.0
2003-11-01,381.0,5040.0,5040.0,,,,,,,10612.0,140482.0,140482.0
2003-12-01,0.0,0.0,0.0,,,,,,,14884.0,185799.0,185799.0
2004-01-01,,,,1055.0,15023.0,15023.0,0.0,0.0,0.0,7043.0,100280.0,100280.0
2004-02-01,,,,1055.0,15023.0,15023.0,0.0,0.0,0.0,7043.0,100280.0,100280.0
2004-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,12827.0,180815.0,180815.0
2004-04-01,,,,950.0,14866.0,14866.0,0.0,0.0,0.0,2744.0,42914.0,42914.0
2004-05-01,,,,2206.0,32803.0,32803.0,0.0,0.0,0.0,17088.0,254051.0,254051.0
2004-06-01,,,,3861.0,58750.0,58750.0,0.0,0.0,0.0,27146.0,413022.0,413022.0
2004-07-01,,,,542.0,8077.0,8077.0,0.0,0.0,0.0,30913.0,460554.0,460554.0
2004-08-01,,,,542.0,8077.0,8077.0,0.0,0.0,0.0,30913.0,460554.0,460554.0
2004-09-01,,,,860.0,12832.0,12832.0,0.0,0.0,0.0,17714.0,264164.0,264164.0
2004-10-01,,,,1897.0,27952.0,27952.0,0.0,0.0,0.0,13310.0,196113.0,196113.0
2004-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,9880.0,140685.0,140685.0
2004-12-01,,,,1987.0,27295.0,27295.0,0.0,0.0,0.0,22857.0,324761.0,324761.0
2005-01-01,,,,4967.0,69573.1,69573.1,0.0,0.0,0.0,6583.0,92869.8,92869.8
2005-02-01,,,,1097.0,15809.9,15809.9,0.0,0.0,0.0,4317.0,62187.84,62187.84
2005-03-01,,,,832.0,11887.9,11887.9,0.0,0.0,0.0,15435.0,220457.08,220457.08
2005-04-01,,,,222.0,3184.5,3184.5,0.0,0.0,0.0,23400.0,336115.28,336115.28
2005-05-01,,,,378.0,5616.0,5616.0,0.0,0.0,0.0,6135.0,91071.94,91071.94
2005-06-01,,,,3566.0,53238.6,53238.6,0.0,0.0,0.0,65812.0,982535.51,982535.51
2005-07-01,,,,3120.0,46974.6,46974.6,0.0,0.0,0.0,43628.0,656841.63,656841.63
2005-08-01,,,,10672.0,161870.4,161870.4,0.0,0.0,0.0,88209.0,1337898.16,1337898.16
2005-09-01,,,,1566.0,30337.2,30337.2,0.0,0.0,0.0,49186.0,731940.57,731940.57
2005-10-01,,,,2284.0,42198.6,42198.6,0.0,0.0,0.0,20286.0,295292.49,295292.49
2005-11-01,,,,86.0,1240.2,1240.2,0.0,0.0,0.0,8810.0,126600.34,126600.34
2005-12-01,,,,707.0,12645.8,12645.8,0.0,0.0,0.0,2775.0,39900.66,39900.66
2006-01-01,,,,,,,131.0,1866.0,1866.0,11595.0,164780.0,164780.0
2006-02-01,,,,,,,0.0,0.0,0.0,4725.0,67086.0,67086.0
2006-03-01,,,,,,,158.0,1919.0,1919.0,9092.0,130634.0,130634.0
2006-04-01,,,,,,,29.0,426.0,426.0,5879.0,85284.0,85284.0
2006-05-01,,,,,,,108.0,2374.0,2374.0,4675.0,67636.0,67636.0
2006-06-01,,,,,,,623.0,9475.0,9475.0,6395.0,97320.0,97320.0
2006-07-01,,,,,,,219.0,5250.0,5250.0,17468.0,264192.0,264192.0
2006-08-01,,,,,,,737.0,14723.0,14723.0,14502.0,219612.0,219612.0
2006-09-01,,,,,,,0.0,0.0,0.0,1842.0,26962.0,26962.0
2006-10-01,,,,,,,0.0,0.0,0.0,5034.0,73916.0,73916.0
2006-11-01,,,,,,,122.0,2320.0,2320.0,6212.0,89097.0,89097.0
2006-12-01,,,,,,,126.0,1691.0,1691.0,16929.0,242528.0,242528.0
2007-01-01,,,,0.0,0.0,0.0,2662.543,37380.0,37380.0,7095.457,99615.0,99615.0
2007-02-01,,,,0.0,0.0,0.0,2863.974,41541.0,41541.0,2275.0260000000003,32998.0,32998.0
2007-03-01,,,,0.0,0.0,0.0,992.383,14207.0,14207.0,4549.617,65133.0,65133.0
2007-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,10837.0,154905.0,154905.0
2007-05-01,,,,0.0,0.0,0.0,86.711,1271.0,1271.0,4264.289,62515.0,62515.0
2007-06-01,,,,0.0,0.0,0.0,434.28200000000004,6817.0,6817.0,5132.718,80572.0,80572.0
2007-07-01,,,,0.0,0.0,0.0,7.823,118.0,118.0,3884.177,58387.0,58387.0
2007-08-01,,,,0.0,0.0,0.0,11.83,179.0,179.0,4202.17,63652.0,63652.0
2007-09-01,,,,0.0,0.0,0.0,741.844,11127.0,11127.0,5741.156,86114.0,86114.0
2007-10-01,,,,0.0,0.0,0.0,582.02,8413.0,8413.0,4390.98,63472.0,63472.0
2007-11-01,,,,0.0,0.0,0.0,24.356,342.0,342.0,9025.644,126733.0,126733.0
2007-12-01,,,,0.0,0.0,0.0,648.543,9565.0,9565.0,1495.457,22055.0,22055.0
2008-01-01,,,,0.0,0.0,0.0,1958.93,28297.0,28297.0,3534.07,51050.0,51050.0
2008-02-01,,,,0.0,0.0,0.0,8642.229000000001,118272.0,118272.0,13526.771,185119.0,185119.0
2008-03-01,,,,0.0,0.0,0.0,447.05800000000005,6429.0,6429.0,8646.942000000001,124345.0,124345.0
2008-04-01,,,,0.0,0.0,0.0,155.202,2268.0,2268.0,8908.798,130186.0,130186.0
2008-05-01,,,,0.0,0.0,0.0,39.095,571.0,571.0,8323.905,121616.0,121616.0
2008-06-01,,,,0.0,0.0,0.0,86.59700000000001,1282.0,1282.0,14577.403,215875.0,215875.0
2008-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,16915.0,251799.0,251799.0
2008-08-01,,,,0.0,0.0,0.0,117.206,1764.0,1764.0,5394.794,81194.0,81194.0
2008-09-01,,,,0.0,0.0,0.0,208.06900000000002,3209.0,3209.0,3139.931,48423.0,48423.0
2008-10-01,,,,0.0,0.0,0.0,40.637,616.0,616.0,454.363,6888.0,6888.0
2008-11-01,,,,0.0,0.0,0.0,3.603,50.0,50.0,2115.397,29595.0,29595.0
2008-12-01,,,,0.0,0.0,0.0,1672.1190000000001,23089.0,23089.0,4585.881,63322.0,63322.0
2009-01-01,,,,,,,856.726,12107.0,12107.0,194.274,2745.0,2745.0
2009-02-01,,,,,,,2775.7110000000002,37084.0,37084.0,1101.289,14714.0,14714.0
2009-03-01,,,,0.0,0.0,0.0,679.895,9789.0,9789.0,2859.105,41164.0,41164.0
2009-04-01,,,,,,,74.777,1103.0,1103.0,3593.223,53011.0,53011.0
2009-05-01,,,,,,,0.0,0.0,0.0,1240.0,18113.0,18113.0
2009-06-01,,,,,,,35.432,526.0,526.0,4709.568,69969.0,69969.0
2009-07-01,,,,,,,3.436,51.0,51.0,7117.564,106261.0,106261.0
2009-08-01,,,,,,,119.331,1814.0,1814.0,3775.6690000000003,57408.0,57408.0
2009-09-01,,,,,,,212.389,4295.0,4295.0,272.611,5513.0,5513.0
2009-10-01,,,,,,,16.456,241.0,241.0,808.544,11831.0,11831.0
2009-11-01,,,,,,,61.103,896.0,896.0,2801.897,41086.0,41086.0
2009-12-01,,,,,,,412.899,5848.0,5848.0,1491.101,21120.0,21120.0
2010-01-01,,,,,,,1623.3790000000001,22526.0,22526.0,567.621,7876.0,7876.0
2010-02-01,,,,,,,121.342,1721.0,1721.0,2092.658,29687.0,29687.0
2010-03-01,,,,,,,796.2420000000001,11721.0,11721.0,3125.7580000000003,46012.0,46012.0
2010-04-01,,,,,,,307.916,4560.0,4560.0,2510.0840000000003,37172.0,37172.0
2010-05-01,,,,,,,0.0,0.0,0.0,2578.0,38017.0,38017.0
2010-06-01,,,,,,,244.43900000000002,3699.0,3699.0,5044.561000000001,76343.0,76343.0
2010-07-01,,,,,,,100.748,1551.0,1551.0,2160.252,33261.0,33261.0
2010-08-01,,,,,,,122.99600000000001,1893.0,1893.0,2630.004,40473.0,40473.0
2010-09-01,,,,,,,125.046,1876.0,1876.0,6421.954000000001,96345.0,96345.0
2010-10-01,,,,,,,46.972,722.0,722.0,580.028,8920.0,8920.0
2010-11-01,,,,,,,45.859,666.0,666.0,1927.141,28004.0,28004.0
