measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,,,,0.67,20.0,20.0,764.8430000000001,5649.0,5649.0
2001-02-01,,,,0.558,17.0,17.0,637.243,4707.0,4707.0
2001-03-01,,,,0.525,16.0,16.0,599.7810000000001,4430.0,4430.0
2001-04-01,,,,0.49300000000000005,15.0,15.0,562.562,4155.0,4155.0
2001-05-01,,,,0.57,17.0,17.0,650.859,4807.0,4807.0
2001-06-01,,,,0.5920000000000001,18.0,18.0,675.8280000000001,4992.0,4992.0
2001-07-01,,,,0.74,22.0,22.0,845.2570000000001,6243.0,6243.0
2001-08-01,,,,0.732,22.0,22.0,835.9630000000001,6174.0,6174.0
2001-09-01,,,,0.554,17.0,17.0,632.8620000000001,4674.0,4674.0
2001-10-01,,,,0.507,15.0,15.0,578.55,4273.0,4273.0
2001-11-01,,,,0.46,14.0,14.0,525.485,3881.0,3881.0
2001-12-01,,,,0.6,18.0,18.0,685.768,5065.0,5065.0
2002-01-01,0.0,0.0,0.0,1.5730000000000002,24.0,24.0,14.319,228.0,228.0
2002-02-01,0.0,0.0,0.0,1.3940000000000001,22.0,22.0,12.695,202.0,202.0
2002-03-01,0.0,0.0,0.0,1.456,23.0,23.0,13.255,211.0,211.0
2002-04-01,0.0,0.0,0.0,1.2870000000000001,20.0,20.0,11.72,187.0,187.0
2002-05-01,0.0,0.0,0.0,1.334,21.0,21.0,12.142000000000001,193.0,193.0
2002-06-01,0.0,0.0,0.0,1.693,26.0,26.0,15.416,246.0,246.0
2002-07-01,0.0,0.0,0.0,1.84,29.0,29.0,16.752000000000002,267.0,267.0
2002-08-01,0.0,0.0,0.0,1.805,28.0,28.0,16.436,262.0,262.0
2002-09-01,0.0,0.0,0.0,1.611,25.0,25.0,14.67,234.0,234.0
2002-10-01,0.0,0.0,0.0,1.473,23.0,23.0,13.412,214.0,214.0
2002-11-01,0.0,0.0,0.0,1.476,23.0,23.0,13.44,214.0,214.0
2002-12-01,0.0,0.0,0.0,1.6780000000000002,26.0,26.0,15.283000000000001,244.0,244.0
2003-01-01,,,,0.182,3.0,3.0,2.4610000000000003,36.0,36.0
2003-02-01,,,,0.161,3.0,3.0,2.172,32.0,32.0
2003-03-01,,,,0.166,3.0,3.0,2.235,33.0,33.0
2003-04-01,,,,0.149,3.0,3.0,2.007,30.0,30.0
2003-05-01,,,,0.152,3.0,3.0,2.048,30.0,30.0
2003-06-01,,,,0.161,3.0,3.0,2.172,32.0,32.0
2003-07-01,,,,0.186,3.0,3.0,2.512,37.0,37.0
2003-08-01,,,,0.197,3.0,3.0,2.664,39.0,39.0
2003-09-01,,,,0.165,3.0,3.0,2.232,33.0,33.0
2003-10-01,,,,0.155,3.0,3.0,2.0940000000000003,31.0,31.0
2003-11-01,,,,0.155,3.0,3.0,2.087,31.0,31.0
2003-12-01,,,,0.17200000000000001,3.0,3.0,2.3160000000000003,34.0,34.0
2004-01-01,0.0,0.0,0.0,0.9,27.0,27.0,0.277,9.0,9.0
2004-02-01,0.0,0.0,0.0,0.235,7.0,7.0,0.188,6.0,6.0
2004-03-01,0.0,0.0,0.0,0.032,1.0,1.0,0.08850000000000001,3.0,3.0
2004-04-01,0.0,0.0,0.0,0.23,7.0,7.0,0.189,6.5,6.5
2004-05-01,0.0,0.0,0.0,0.245,7.0,7.0,0.3745,12.5,12.5
2004-06-01,0.0,0.0,0.0,0.327,10.0,10.0,0.657,21.5,21.5
2004-07-01,0.0,0.0,0.0,0.466,14.0,14.0,0.7425,24.5,24.5
2004-08-01,0.0,0.0,0.0,0.521,16.0,16.0,0.48650000000000004,16.0,16.0
2004-09-01,0.0,0.0,0.0,0.41200000000000003,12.0,12.0,0.3065,10.0,10.0
2004-10-01,0.0,0.0,0.0,0.585,18.0,18.0,0.40700000000000003,13.5,13.5
2004-11-01,0.0,0.0,0.0,0.501,15.0,15.0,0.35400000000000004,11.5,11.5
2004-12-01,0.0,0.0,0.0,0.547,16.0,16.0,0.4295,14.0,14.0
2005-01-01,,,,1.532,23.98,23.98,4.11,67.16,67.16
2005-02-01,,,,0.526,8.24,8.24,3.2880000000000003,53.72,53.72
2005-03-01,,,,0.5830000000000001,9.14,9.14,4.562,74.55,74.55
2005-04-01,,,,0.7060000000000001,11.06,11.06,4.331,70.77,70.77
2005-05-01,,,,0.656,10.27,10.27,4.141,67.67,67.67
2005-06-01,,,,0.8520000000000001,13.33,13.33,7.8180000000000005,127.75,127.75
2005-07-01,,,,0.867,13.57,13.57,10.292,168.17,168.17
2005-08-01,,,,1.018,15.94,15.94,10.224,167.06,167.06
2005-09-01,,,,0.667,10.44,10.44,6.19,101.15,101.15
2005-10-01,,,,0.74,11.59,11.59,4.389,71.72,71.72
2005-11-01,,,,0.595,9.32,9.32,3.847,62.86,62.86
2005-12-01,,,,1.258,19.7,19.7,4.809,78.58,78.58
2006-01-01,,,,2.5860000000000003,35.0,35.0,8.236,113.0,113.0
2006-02-01,,,,1.353,18.0,18.0,9.31,127.0,127.0
2006-03-01,,,,1.1360000000000001,15.0,15.0,12.269,168.0,168.0
2006-04-01,,,,2.177,29.0,29.0,10.153,139.0,139.0
2006-05-01,,,,2.035,27.0,27.0,13.374,183.0,183.0
2006-06-01,,,,1.85,25.0,25.0,17.227,235.0,235.0
2006-07-01,,,,2.6790000000000003,36.0,36.0,30.827,421.0,421.0
2006-08-01,,,,2.599,35.0,35.0,27.393,374.0,374.0
2006-09-01,,,,1.194,16.0,16.0,16.113,220.0,220.0
2006-10-01,,,,1.2610000000000001,17.0,17.0,17.453,238.0,238.0
2006-11-01,,,,1.485,20.0,20.0,11.734,160.0,160.0
2006-12-01,,,,1.645,22.0,22.0,11.911000000000001,163.0,163.0
2007-01-01,,,,0.08900000000000001,17.0,17.0,0.49,96.0,96.0
