measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2001-01-01,20.0,555.0,555.0
2001-02-01,33.0,975.0,975.0
2001-03-01,0.0,0.0,0.0
2001-04-01,113.0,2125.0,2125.0
2001-05-01,150.0,2779.0,2779.0
2001-06-01,82.0,1600.0,1600.0
2001-07-01,471.0,7583.0,7583.0
2001-08-01,218.0,3853.0,3853.0
2001-09-01,0.0,0.0,0.0
2001-10-01,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0
2002-05-01,153.0,2511.0,2511.0
2002-06-01,51.0,1305.0,1305.0
2002-07-01,348.0,6548.0,6548.0
2002-08-01,0.0,0.0,0.0
2002-09-01,131.0,2825.0,2825.0
2002-10-01,0.0,0.0,0.0
2002-11-01,0.0,352.0,352.0
2002-12-01,0.0,23.0,23.0
2003-03-01,24.0,336.0,336.0
2003-05-01,42.0,951.0,951.0
2003-06-01,2.0,23.0,23.0
2003-07-01,0.0,0.0,0.0
2003-08-01,132.0,2637.0,2637.0
2003-09-01,0.0,0.0,0.0
2003-10-01,84.0,1613.0,1613.0
2003-11-01,165.0,2605.0,2605.0
2003-12-01,84.0,1810.0,1810.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,210.0,3596.0,3596.0
2004-05-01,116.0,1984.0,1984.0
2004-06-01,128.0,2355.0,2355.0
2004-07-01,0.0,0.0,0.0
2004-08-01,94.0,1756.0,1756.0
2004-09-01,87.0,1636.0,1636.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,11.0,179.8,179.8
2005-02-01,5.0,626.4,626.4
2005-03-01,3.0,46.4,46.4
2005-04-01,429.0,6751.2,6751.2
2005-05-01,149.0,2697.0,2697.0
2005-06-01,790.0,9802.0,9802.0
2005-07-01,623.0,7557.4,7557.4
2005-08-01,585.0,7041.2,7041.2
2005-09-01,26.0,585.8,585.8
2005-10-01,1.0,17.4,17.4
2005-11-01,9.0,110.2,110.2
2005-12-01,265.0,4645.8,4645.8
2006-01-01,120.0,2407.0,2407.0
2006-02-01,15.0,307.0,307.0
2006-03-01,132.0,2295.0,2295.0
2006-04-01,32.0,873.0,873.0
2006-05-01,0.0,0.0,0.0
2006-06-01,36.0,2575.0,2575.0
2006-07-01,21.0,1282.0,1282.0
2006-08-01,1494.0,22643.0,22643.0
2006-09-01,1.0,383.0,383.0
2006-10-01,38.0,1462.0,1462.0
2006-11-01,0.0,116.0,116.0
2006-12-01,73.0,1931.0,1931.0
2007-01-01,0.0,876.0,876.0
2007-02-01,11.0,992.0,992.0
2007-03-01,0.0,0.0,0.0
2007-04-01,108.0,2442.0,2442.0
2007-05-01,42.0,1386.0,1386.0
2007-06-01,123.0,2221.0,2221.0
2007-07-01,0.0,655.0,655.0
2007-08-01,0.0,331.0,331.0
2007-09-01,77.0,1311.0,1311.0
2007-10-01,209.0,2958.0,2958.0
2007-11-01,0.0,458.0,458.0
2007-12-01,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0
2008-04-01,15.68,336.0,336.0
2008-05-01,31.36,568.0,568.0
2008-06-01,712.0,12673.0,12673.0
2008-07-01,1342.0,17203.0,17203.0
2008-08-01,524.0,7476.0,7476.0
2008-09-01,772.0,9390.0,9390.0
2008-10-01,0.98,29.0,29.0
2008-11-01,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,1346.0,1346.0
2009-03-01,-51.0,0.0,0.0
2009-04-01,-58.0,0.0,0.0
2009-05-01,-10.0,389.0,389.0
2009-06-01,-27.0,18.0,18.0
2009-07-01,140.0,1929.0,1929.0
2009-08-01,33.0,690.0,690.0
2009-09-01,322.0,3173.0,3173.0
2009-10-01,62.0,1485.0,1485.0
2009-11-01,0.0,0.0,0.0
2009-12-01,124.0,2680.0,2680.0
2010-01-01,-65.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-03-01,103.0,2343.0,2343.0
2010-04-01,-31.0,0.0,0.0
2010-05-01,109.0,2633.0,2633.0
2010-06-01,-29.0,0.0,0.0
