measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,,,,25.0,255.0,255.0,,,,62460.0,654240.0,654240.0,0.0,0.0,0.0
2003-02-01,,,,40.0,452.0,452.0,,,,66719.0,637020.0,637020.0,0.0,0.0,0.0
2003-03-01,,,,21.0,220.0,220.0,,,,106807.0,1115509.0,1115509.0,0.0,0.0,0.0
2003-04-01,,,,32.0,325.0,325.0,,,,108226.0,1141965.0,1141965.0,0.0,0.0,0.0
2003-05-01,,,,22.0,255.0,255.0,,,,110739.0,1010414.0,1010414.0,0.0,0.0,0.0
2003-06-01,,,,9.0,104.0,104.0,,,,87769.0,814214.0,814214.0,0.0,0.0,0.0
2003-07-01,,,,12.0,99.0,99.0,,,,116563.0,1241500.0,1241500.0,0.0,0.0,0.0
2003-08-01,,,,12.0,133.0,133.0,,,,118260.0,1290975.0,1290975.0,0.0,0.0,0.0
2003-09-01,,,,21.0,273.0,273.0,,,,105113.0,1118879.0,1118879.0,0.0,0.0,0.0
2003-10-01,,,,21.0,255.0,255.0,,,,107274.0,1135320.0,1135320.0,0.0,0.0,0.0
2003-11-01,,,,36.0,342.0,342.0,,,,84642.0,914400.0,914400.0,0.0,0.0,0.0
2003-12-01,,,,10.0,157.0,157.0,,,,102858.0,1094640.0,1094640.0,0.0,0.0,0.0
2004-01-01,,,,13.0,139.0,139.0,32948.0,333600.0,333600.0,85812.0,940483.0,940483.0,0.0,0.0,0.0
2004-02-01,,,,7.0,70.0,70.0,27124.0,280780.0,280780.0,66799.0,748490.0,748490.0,0.0,0.0,0.0
2004-03-01,,,,52.0,568.0,568.0,25049.0,264100.0,264100.0,60005.0,693263.0,693263.0,0.0,0.0,0.0
2004-04-01,,,,9.0,93.0,93.0,30457.0,305800.0,305800.0,74000.0,802522.0,802522.0,153.0,1760.0,1760.0
2004-05-01,,,,45.0,476.0,476.0,29342.0,297460.0,297460.0,74310.0,813694.0,813694.0,534.0,6208.0,6208.0
2004-06-01,,,,20.0,215.0,215.0,25683.0,264100.0,264100.0,67226.0,748266.0,748266.0,0.0,0.0,0.0
2004-07-01,,,,10.0,104.0,104.0,29549.0,294680.0,294680.0,80900.0,876096.0,876096.0,0.0,0.0,0.0
2004-08-01,,,,15.0,157.0,157.0,21594.0,216840.0,216840.0,76223.0,833832.0,833832.0,0.0,0.0,0.0
2004-09-01,,,,46.0,476.0,476.0,14346.0,144560.0,144560.0,52863.0,574122.0,574122.0,0.0,0.0,0.0
2004-10-01,,,,25.0,249.0,249.0,25445.0,250200.0,250200.0,91341.0,969060.0,969060.0,0.0,0.0,0.0
2004-11-01,,,,18.0,180.0,180.0,26498.0,258540.0,258540.0,96293.0,1016970.0,1016970.0,0.0,0.0,0.0
2004-12-01,,,,10.0,93.0,93.0,29651.0,278000.0,278000.0,93036.0,944196.0,944196.0,0.0,0.0,0.0
2005-01-01,,,,34.0,353.8,353.8,25751.0,260400.0,260400.0,89496.0,1021591.2,1021591.2,0.0,0.0,0.0
2005-02-01,,,,15.0,156.6,156.6,27222.0,277200.0,277200.0,94792.0,1073520.14,1073520.14,0.0,0.0,0.0
2005-03-01,,,,3.0,34.8,34.8,22932.0,226800.0,226800.0,115825.0,1275956.5,1275956.5,634.0,6913.0,6913.0
2005-04-01,,,,14.0,139.2,139.2,26871.0,266000.0,266000.0,102975.0,1170677.4,1170677.4,1372.0,14973.0,14973.0
2005-05-01,,,,42.0,435.0,435.0,18796.0,187600.0,187600.0,62960.0,709725.12,709725.12,673.0,7409.0,7409.0
2005-06-01,,,,11.0,116.0,116.0,28022.0,277200.0,277200.0,99663.0,1125967.23,1125967.23,1333.0,14539.0,14539.0
2005-07-01,,,,8.0,81.2,81.2,29765.0,297136.0,297136.0,106883.0,1233321.57,1233321.57,1022.0,11253.0,11253.0
2005-08-01,,,,12.0,81.2,81.2,17662.0,260848.0,260848.0,100082.0,1123174.1,1123174.1,974.0,10323.0,10323.0
2005-09-01,,,,24.0,261.0,261.0,13496.0,200984.0,200984.0,76477.0,817954.14,817954.14,464.0,4960.0,4960.0
2005-10-01,,,,6.0,63.8,63.8,16312.0,237076.0,237076.0,92407.0,981650.34,981650.34,766.0,8122.0,8122.0
2005-11-01,,,,21.0,197.2,197.2,16655.0,242144.0,242144.0,87439.0,920793.12,920793.12,1564.0,16523.0,16523.0
2005-12-01,,,,22.0,272.6,272.6,16123.0,240744.0,240744.0,91361.0,975474.5,975474.5,1020.0,10850.0,10850.0
2006-01-01,,,,11.0,104.0,104.0,16775.0,251328.0,251328.0,95057.0,1007192.0,1007192.0,1923.0,20367.0,20367.0
2006-02-01,,,,11.0,116.0,116.0,24275.0,242592.0,242592.0,85302.0,982794.0,982794.0,1304.0,14229.0,14229.0
2006-03-01,,,,13.0,157.0,157.0,18187.0,269024.0,269024.0,111721.0,1184555.0,1184555.0,1520.0,11904.0,11904.0
2006-04-01,,,,54.0,586.0,586.0,8624.0,127932.0,127932.0,99175.0,1086591.0,1086591.0,596.0,6510.0,6510.0
2006-05-01,,,,60.0,644.0,644.0,9899.0,157080.0,157080.0,89093.0,962994.0,962994.0,678.0,7316.0,7316.0
2006-06-01,,,,11.0,99.0,99.0,10002.0,149492.0,149492.0,101129.0,1095328.0,1095328.0,1350.0,14601.0,14601.0
2006-07-01,,,,6.0,58.0,58.0,18747.0,188412.0,188412.0,110550.0,1253545.0,1253545.0,1083.0,11997.0,11997.0
2006-08-01,,,,13.0,110.0,110.0,19877.0,309232.0,309232.0,104352.0,1155871.0,1155871.0,1828.0,20305.0,20305.0
2006-09-01,,,,37.0,412.0,412.0,14501.0,229628.0,229628.0,76129.0,832817.0,832817.0,1214.0,13330.0,13330.0
2006-10-01,,,,24.0,220.0,220.0,17544.0,264740.0,264740.0,99415.0,1071876.0,1071876.0,1698.0,18259.0,18259.0
2006-11-01,,,,37.0,365.0,365.0,13999.0,218232.0,218232.0,79327.0,873628.0,873628.0,0.0,0.0,0.0
2006-12-01,,,,11.0,133.0,133.0,15130.0,230160.0,230160.0,92939.0,1016336.0,1016336.0,631.0,6882.0,6882.0
2007-01-01,,,,16.353,186.0,186.0,23274.615,264152.0,264152.0,94674.132,1074491.0,1074491.0,2441.9,27714.0,27714.0
2007-02-01,,,,6.566000000000001,75.0,75.0,24288.738,278936.0,278936.0,89840.133,1031739.0,1031739.0,1009.5640000000001,11594.0,11594.0
2007-03-01,,,,45.879000000000005,516.0,516.0,18256.208,205408.0,205408.0,70308.354,791068.0,791068.0,1220.559,13733.0,13733.0
2007-04-01,,,,24.96,284.0,284.0,21890.775,249256.0,249256.0,86686.91,987047.0,987047.0,1527.355,17391.0,17391.0
2007-05-01,,,,6.7010000000000005,75.0,75.0,22770.6,256228.0,256228.0,90367.723,1016870.0,1016870.0,1944.976,21886.0,21886.0
2007-06-01,,,,8.115,93.0,93.0,21538.139,246316.0,246316.0,85068.427,972866.0,972866.0,2011.32,23002.0,23002.0
2007-07-01,,,,22.201,261.0,261.0,23893.554,280896.0,280896.0,90807.257,1067543.0,1067543.0,2098.9880000000003,24676.0,24676.0
2007-08-01,0.0,0.0,0.0,78.382,922.0,922.0,26994.47,317604.0,317604.0,86875.218,1022132.0,1022132.0,1356.931,15965.0,15965.0
2007-09-01,,,,25.557000000000002,302.0,302.0,12636.811,149128.0,149128.0,40849.389,482067.0,482067.0,864.243,10199.0,10199.0
2007-10-01,,,,5.921,64.0,64.0,6774.709000000001,72996.0,72996.0,53631.82,577871.0,577871.0,1789.549,19282.0,19282.0
2007-11-01,,,,96.479,1061.0,1061.0,17322.169,190568.0,190568.0,84866.761,933653.0,933653.0,1073.5910000000001,11811.0,11811.0
2007-12-01,,,,68.85,789.0,789.0,21919.869,251132.0,251132.0,84255.763,965303.0,965303.0,427.51800000000003,4898.0,4898.0
2008-01-01,0.0,0.0,0.0,12.549000000000001,139.0,139.0,28629.734,317576.0,317576.0,111145.717,1232886.0,1232886.0,,,
2008-02-01,0.0,0.0,0.0,31.240000000000002,348.0,348.0,26646.298000000003,296828.0,296828.0,100947.462,1124510.0,1124510.0,,,
2008-03-01,0.0,0.0,0.0,10.444,116.0,116.0,25627.456,284648.0,284648.0,105572.1,1172605.0,1172605.0,,,
2008-04-01,0.0,0.0,0.0,63.72,713.0,713.0,15135.701000000001,169456.0,169456.0,94302.579,1055791.0,1055791.0,,,
2008-05-01,0.0,0.0,0.0,39.43,412.0,412.0,6595.204000000001,68880.0,68880.0,35226.366,367902.0,367902.0,,,
2008-06-01,0.0,0.0,0.0,126.93900000000001,1485.0,1485.0,24184.416,282884.0,282884.0,78717.645,920757.0,920757.0,,,
2008-07-01,0.0,0.0,0.0,26.828000000000003,313.0,313.0,23907.333,279104.0,279104.0,94543.839,1103743.0,1103743.0,,,
2008-08-01,0.0,0.0,0.0,10.027000000000001,110.0,110.0,11584.458,127316.0,127316.0,47020.515,516767.0,516767.0,,,
2008-09-01,0.0,0.0,0.0,6.915,75.0,75.0,10782.567,117572.0,117572.0,43616.518,475590.0,475590.0,,,
2008-10-01,0.0,0.0,0.0,39.378,441.0,441.0,17434.23,195160.0,195160.0,70767.392,792175.0,792175.0,,,
2008-11-01,0.0,0.0,0.0,26.062,296.0,296.0,16928.342,192136.0,192136.0,69323.596,786820.0,786820.0,,,
2008-12-01,0.0,0.0,0.0,25.558,290.0,290.0,25284.049,286888.0,286888.0,99206.393,1125655.0,1125655.0,,,
2009-01-01,,,,10.157,116.0,116.0,25395.912,290052.0,290052.0,100530.931,1148185.0,1148185.0,,,
2009-02-01,,,,31.551000000000002,354.0,354.0,16996.914,190596.0,190596.0,66317.535,743656.0,743656.0,,,
2009-03-01,,,,9.199,104.0,104.0,19641.055,222908.0,222908.0,77640.746,881151.0,881151.0,,,
2009-04-01,,,,17.12,186.0,186.0,14313.375,155176.0,155176.0,57243.505,620596.0,620596.0,,,
