measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-01-01,0.556,318.0,318.0,0.0,0.0,0.0,0.01,4.0,4.0
2013-02-01,0.398,228.0,228.0,0.0,0.0,0.0,0.01,6.0,6.0
2013-03-01,0.017,12.0,12.0,0.0,0.0,0.0,0.011,6.0,6.0
2013-04-01,0.008,6.0,6.0,,,,0.01,6.0,6.0
2013-05-01,0.008,6.0,6.0,,,,0.011,7.0,7.0
2013-06-01,0.031,18.0,18.0,,,,0.01,6.0,6.0
2013-07-01,0.231,132.0,132.0,,,,0.013,8.0,8.0
2013-08-01,0.043,24.0,24.0,,,,0.012,7.0,7.0
2013-09-01,0.027,18.0,18.0,,,,0.011,6.0,6.0
2013-10-01,0.004,0.0,0.0,,,,0.01,6.0,6.0
2013-11-01,0.027,18.0,18.0,,,,0.01,6.0,6.0
2013-12-01,0.523,300.0,300.0,,,,0.009,5.0,5.0
