measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,415090.0,3881760.0,3881760.0,1642.0,27852.0,27852.0,437.0,4205.0,4205.0,0.0,0.0,0.0,,,
2003-02-01,,,,287725.0,2709504.0,2709504.0,0.0,0.0,0.0,2306.0,22359.0,22359.0,0.0,0.0,0.0,,,
2003-03-01,,,,183305.0,1682952.0,1682952.0,0.0,0.0,0.0,4131.0,39051.0,39051.0,0.0,0.0,0.0,,,
2003-04-01,,,,14528.0,159072.0,159072.0,957.0,15544.0,15544.0,823.0,9274.0,9274.0,0.0,0.0,0.0,,,
2003-05-01,,,,137341.0,1448880.0,1448880.0,119.0,2465.0,2465.0,1580.0,17162.0,17162.0,0.0,0.0,0.0,,,
2003-06-01,,,,285336.0,2831880.0,2831880.0,0.0,0.0,0.0,3217.0,32874.0,32874.0,0.0,0.0,0.0,,,
2003-07-01,,,,408107.0,3887688.0,3887688.0,0.0,0.0,0.0,105.0,1032.0,1032.0,0.0,0.0,0.0,,,
2003-08-01,,,,402287.0,3845712.0,3845712.0,6.0,128.0,128.0,1175.0,11571.0,11571.0,0.0,0.0,0.0,,,
2003-09-01,,,,367899.0,3525144.0,3525144.0,4.0,75.0,75.0,1595.0,15735.0,15735.0,0.0,0.0,0.0,,,
2003-10-01,,,,389968.0,3798408.0,3798408.0,0.0,0.0,0.0,2091.0,20973.0,20973.0,0.0,0.0,0.0,,,
2003-11-01,,,,337896.0,3256752.0,3256752.0,0.0,0.0,0.0,1797.0,17835.0,17835.0,0.0,0.0,0.0,,,
2003-12-01,,,,363730.0,3538248.0,3538248.0,112.0,2395.0,2395.0,1130.0,11316.0,11316.0,0.0,0.0,0.0,,,
2004-01-01,,,,408612.0,3928992.0,3928992.0,0.0,0.0,0.0,697.0,6902.0,6902.0,0.0,0.0,0.0,,,
2004-02-01,,,,339503.0,3311952.0,3311952.0,0.0,0.0,0.0,1606.0,16130.0,16130.0,0.0,0.0,0.0,,,
