measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-09-01,63.163,1483.0,15453.0
2019-10-01,66.453,1560.0,16246.0
2019-11-01,63.048,1480.0,15413.0
2019-12-01,70.336,1652.0,17201.0
2020-01-01,189.635,3779.0,29718.0
2020-02-01,181.351,3614.0,28411.0
2020-03-01,201.84,4022.0,31621.0
2020-04-01,187.152,3729.0,29316.0
2020-05-01,184.142,3669.0,28843.0
2020-06-01,162.527,3239.0,25457.0
2020-07-01,176.3,3513.0,27618.0
2020-08-01,178.038,3548.0,27896.0
2020-09-01,164.544,3279.0,25776.0
2020-10-01,166.108,3310.0,26023.0
2020-11-01,171.968,3427.0,26939.0
2020-12-01,198.395,3953.0,31076.0
2021-01-01,315.811,6460.0,52550.0
2021-02-01,294.83,6031.0,49060.0
2021-03-01,313.963,6422.0,52246.0
2021-04-01,308.746,6316.0,51379.0
2021-05-01,311.478,6372.0,51830.0
2021-06-01,286.1,5852.0,47607.0
2021-07-01,295.128,6037.0,49105.0
2021-08-01,285.563,5841.0,47517.0
2021-09-01,262.895,5378.0,43745.0
2021-10-01,279.12,5710.0,46448.0
2021-11-01,278.473,5696.0,46335.0
2021-12-01,327.893,6707.0,54566.0
2022-01-01,292.987,5810.0,45401.0
2022-02-01,280.944,5571.0,43535.0
2022-03-01,299.865,5946.0,46458.0
2022-04-01,290.916,5768.0,45075.0
2022-05-01,265.859,5272.0,41186.0
2022-06-01,275.642,5466.0,42713.0
2022-07-01,303.074,6010.0,46954.0
2022-08-01,277.815,5509.0,43039.0
2022-09-01,253.77,5032.0,39320.0
2022-10-01,275.954,5472.0,42752.0
2022-11-01,274.487,5443.0,42530.0
2022-12-01,291.687,5784.0,45192.0
2023-01-01,355.304,6708.0,53624.0
2023-02-01,326.267,6160.0,49243.0
2023-03-01,328.076,6194.0,49516.0
2023-04-01,328.195,6196.0,49541.0
2023-05-01,363.257,6858.0,54827.0
2023-06-01,322.702,6092.0,48709.0
2023-07-01,335.297,6330.0,50608.0
2023-08-01,325.064,6137.0,49069.0
2023-09-01,296.215,5592.0,44713.0
2023-10-01,333.002,6287.0,50261.0
2023-11-01,333.788,6302.0,50385.0
2023-12-01,357.833,6755.0,54008.0
2024-01-01,258.984,5763.0,41317.0
2024-02-01,243.708,5423.0,38881.0
2024-03-01,233.354,5192.0,37221.0
2024-04-01,235.702,5245.0,37596.0
2024-05-01,246.058,5475.0,39257.0
2024-06-01,211.087,4697.0,33669.0
2024-07-01,227.621,5065.0,36312.0
2024-08-01,235.914,5249.0,37633.0
2024-09-01,215.517,4795.0,34384.0
2024-10-01,231.135,5143.0,36869.0
2024-11-01,244.719,5445.0,39039.0
2024-12-01,237.201,5278.0,37839.0
