measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,205.85600000000002,2108.17,2108.17
2003-02-01,0.0,0.0,0.0,197.363,2021.19,2021.19
2003-03-01,0.0,0.0,0.0,199.42,2042.26,2042.26
2003-04-01,0.0,0.0,0.0,182.309,1867.03,1867.03
2003-05-01,0.0,0.0,0.0,185.566,1900.38,1900.38
2003-06-01,0.0,0.0,0.0,193.90300000000002,1985.76,1985.76
2003-07-01,0.0,0.0,0.0,224.49200000000002,2299.02,2299.02
2003-08-01,0.0,0.0,0.0,240.222,2460.11,2460.11
2003-09-01,0.0,0.0,0.0,204.84900000000002,2097.86,2097.86
2003-10-01,0.0,0.0,0.0,199.523,2043.32,2043.32
2003-11-01,0.0,0.0,0.0,200.621,2054.56,2054.56
2003-12-01,0.0,0.0,0.0,218.876,2241.51,2241.51
2004-01-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-02-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-03-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-04-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-05-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-06-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-07-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-08-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-09-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-10-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-11-01,0.0,0.0,0.0,273.083,2736.84,2736.84
2004-12-01,0.0,0.0,0.0,273.083,2736.84,2736.84
