measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2002-01-01,,,,-14.0,2200.0,2200.0,-5.0,790.0,790.0
2002-02-01,,,,12.0,168.0,168.0,834.0,12178.0,12178.0
2002-03-01,,,,0.0,0.0,0.0,1671.0,24305.0,24305.0
2002-04-01,,,,0.0,0.0,0.0,4432.0,60580.0,60580.0
2002-05-01,,,,0.0,0.0,0.0,7018.0,95711.0,95711.0
2002-06-01,,,,0.0,0.0,0.0,1031.0,14186.0,14186.0
2002-07-01,,,,0.0,0.0,0.0,0.0,21.0,21.0
2002-08-01,,,,0.0,0.0,0.0,5624.0,77615.0,77615.0
2002-09-01,,,,0.0,0.0,0.0,5390.0,75764.0,75764.0
2002-10-01,,,,0.0,0.0,0.0,2619.0,34861.0,34861.0
2002-11-01,,,,0.0,0.0,0.0,3145.0,38168.0,38168.0
2002-12-01,,,,0.0,0.0,0.0,1190.0,9724.0,9724.0
2003-01-01,,,,682.0,5200.0,5200.0,153.0,1166.0,1166.0
2003-02-01,,,,1306.0,16903.0,16903.0,0.0,0.0,0.0
2003-03-01,,,,1120.0,14675.0,14675.0,4349.0,57007.0,57007.0
2003-04-01,,,,0.0,0.0,0.0,2434.0,31665.0,31665.0
2003-05-01,,,,0.0,0.0,0.0,1408.0,20022.0,20022.0
2003-06-01,,,,0.0,0.0,0.0,2057.0,29484.0,29484.0
2003-07-01,,,,0.0,0.0,0.0,1980.0,32813.0,32813.0
2003-08-01,,,,0.0,0.0,0.0,6253.0,86743.0,86743.0
2003-09-01,,,,0.0,0.0,0.0,1398.0,20548.0,20548.0
2003-10-01,,,,0.0,0.0,0.0,2874.0,40079.0,40079.0
2003-11-01,,,,0.0,0.0,0.0,626.0,9407.0,9407.0
2003-12-01,,,,301.0,4489.0,4489.0,647.0,9669.0,9669.0
2004-01-01,,,,1785.058,24409.0,24409.0,659.865,9021.0,9021.0
2004-02-01,,,,106.992,1463.0,1463.0,1422.1270000000002,19442.0,19442.0
2004-03-01,,,,9.176,125.0,125.0,2284.677,31234.0,31234.0
2004-04-01,,,,15.684000000000001,214.0,214.0,4110.862,56200.0,56200.0
2004-05-01,,,,52.715,721.0,721.0,7294.003000000001,99717.0,99717.0
2004-06-01,,,,29.97,410.0,410.0,4543.9890000000005,62121.0,62121.0
2004-07-01,,,,12.463000000000001,170.0,170.0,4701.101000000001,64269.0,64269.0
2004-08-01,,,,71.361,976.0,976.0,5912.947,80837.0,80837.0
2004-09-01,,,,11.552000000000001,158.0,158.0,3053.409,41744.0,41744.0
2004-10-01,,,,2.9290000000000003,40.0,40.0,931.425,12734.0,12734.0
2004-11-01,,,,2.18,30.0,30.0,3256.704,44523.0,44523.0
2004-12-01,,,,321.92,4402.0,4402.0,4251.893,58128.0,58128.0
2005-01-01,,,,1246.102,16571.91,16571.91,3305.998,47586.38,47586.38
2005-02-01,,,,286.82800000000003,3814.53,3814.53,2930.853,42186.57,42186.57
2005-03-01,,,,246.133,3273.32,3273.32,3497.4590000000003,50342.27,50342.27
2005-04-01,,,,246.27300000000002,3275.18,3275.18,3585.753,51613.18,51613.18
2005-05-01,,,,248.30300000000003,3302.18,3302.18,2908.904,41870.64,41870.64
2005-06-01,,,,300.785,4000.14,4000.14,4948.906,71234.33,71234.33
2005-07-01,,,,569.653,7575.81,7575.81,6377.361,91795.45,91795.45
2005-08-01,,,,504.54600000000005,6709.96,6709.96,6818.353,98143.08,98143.08
2005-09-01,,,,280.741,3733.58,3733.58,4510.403,64922.55,64922.55
2005-10-01,,,,393.60400000000004,5234.54,5234.54,3119.179,44897.32,44897.32
2005-11-01,,,,265.03700000000003,3524.73,3524.73,2799.815,40300.41,40300.41
2005-12-01,,,,725.995,9655.01,9655.01,3025.0170000000003,43541.96,43541.96
2006-01-01,,,,623.466,5400.0,5400.0,1636.4360000000001,22847.0,22847.0
2006-02-01,,,,326.24,2825.0,2825.0,1849.8410000000001,25827.0,25827.0
2006-03-01,,,,274.045,2373.0,2373.0,2437.647,34034.0,34034.0
2006-04-01,,,,524.9440000000001,4546.0,4546.0,2017.239,28164.0,28164.0
2006-05-01,,,,490.69100000000003,4250.0,4250.0,2657.219,37099.0,37099.0
2006-06-01,,,,446.004,3863.0,3863.0,3422.8,47788.0,47788.0
2006-07-01,,,,646.048,5595.0,5595.0,6124.985000000001,85515.0,85515.0
