measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-03-01,11223.0,239364.0,239364.0,105.0,1081.0,1081.0,0.0,0.0,0.0
2001-04-01,31153.0,300085.0,300085.0,240.0,2501.0,2501.0,0.0,0.0,0.0
2001-05-01,40535.0,397581.0,397581.0,180.0,1857.0,1857.0,0.0,0.0,0.0
2001-06-01,28193.0,271442.0,271442.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-07-01,29134.0,302713.0,302713.0,320.0,3329.0,3329.0,0.0,0.0,0.0
2001-08-01,38657.0,385992.0,385992.0,130.0,1407.0,1407.0,0.0,0.0,0.0
2001-09-01,22064.0,221193.0,221193.0,130.0,1398.0,1398.0,0.0,0.0,0.0
2001-10-01,8999.0,90460.0,90460.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,26290.0,271421.0,271421.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,9253.0,95551.0,95551.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,11253.0,132480.0,132480.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-02-01,7129.0,89568.0,89568.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,21141.0,239712.0,239712.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-04-01,37487.0,403104.0,403104.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-01,22250.0,263184.0,263184.0,270.0,2789.0,2789.0,0.0,0.0,0.0
2002-06-01,31070.0,357984.0,357984.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-01,35854.0,408984.0,408984.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-01,30096.0,341856.0,341856.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-01,32417.0,357840.0,357840.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-01,26448.0,306648.0,306648.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,33311.0,386088.0,386088.0,0.0,684.0,684.0,0.0,0.0,0.0
2002-12-01,38908.0,446856.0,446856.0,0.0,233.0,233.0,0.0,0.0,0.0
