measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,,,,67932.0,959526.0,959526.0,10394.0,113022.0,113022.0
2003-02-01,,,,,,,79413.0,1082013.0,1082013.0,31698.0,319826.0,319826.0
2003-03-01,,,,,,,27082.0,409998.0,409998.0,166425.0,1680834.0,1680834.0
2003-04-01,,,,,,,31851.0,472923.0,472923.0,95580.0,996496.0,996496.0
2003-05-01,,,,,,,54900.0,586246.0,586246.0,158752.0,1757076.0,1757076.0
2003-06-01,,,,,,,5081.0,71989.0,71989.0,177192.0,1945144.0,1945144.0
2003-07-01,,,,,,,58186.0,840347.0,840347.0,99651.0,1099130.0,1099130.0
2003-08-01,,,,,,,118716.0,1582690.0,1582690.0,0.0,0.0,0.0
2003-09-01,,,,,,,49918.0,716531.0,716531.0,20065.0,240742.0,240742.0
2003-10-01,,,,,,,80098.0,1101907.0,1101907.0,35932.0,430580.0,430580.0
2003-11-01,,,,,,,85969.0,1128342.0,1128342.0,3430.0,35141.0,35141.0
2003-12-01,,,,,,,34262.0,530282.0,530282.0,9935.0,161759.0,161759.0
2004-01-01,,,,,,,45018.0,660550.0,660550.0,0.0,0.0,0.0
2004-02-01,,,,,,,43617.0,690393.0,690393.0,0.0,0.0,0.0
2004-03-01,,,,,,,25880.0,381644.0,381644.0,87171.0,907137.0,907137.0
2004-04-01,,,,,,,450.0,11222.0,11222.0,130021.0,1323435.0,1323435.0
2004-05-01,,,,,,,8544.0,145271.0,145271.0,268703.0,2759967.0,2759967.0
